cell_id,cell_area_m2,inter_area_m2,overhead_fraction_cell,covered_walkway,elevated_rail,elevated_road,pedestrian_bridge,viaduct,other_overhead,overhead_confounding_flag
TP_0624,9999.999999989632,74.67967819629389,0.007467967819637132,3,0,0,0,0,0,clean_or_minor
TP_0625,10000.00000001346,210.58480837801008,0.02105848083777266,4,0,0,0,0,0,moderate_confounding
TP_0626,10000.000000035652,173.75882883085413,0.017375882883023466,2,0,0,0,0,0,clean_or_minor
TP_0627,9999.999999919237,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0628,10000.000000011823,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0629,10000.000000038926,160.0109195230872,0.016001091952246433,0,0,0,1,0,0,clean_or_minor
TP_0630,10000.000000068758,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0631,9999.999999945248,672.8218148239233,0.06728218148276072,0,1,0,0,0,0,moderate_confounding
TP_0632,9999.999999962529,3811.4438557873546,0.38114438558016367,0,1,5,0,0,0,major_confounding
TP_0633,10000.000000053296,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0634,10000.000000006185,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0635,9999.999999955071,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0636,10000.000000046748,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0637,9999.999999932334,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0638,10000.000000020736,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0639,10000.000000016735,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0640,10000.000000052933,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0641,9999.999999939973,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0642,10000.000000173895,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0643,9999.999999848114,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0644,10000.00000001637,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0645,9999.999999969441,191.9507939927032,0.01919507939932898,0,0,0,1,0,0,clean_or_minor
TP_0646,10000.000000064756,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0647,9999.999999948886,113.73803818000418,0.011373803818058553,3,0,0,0,0,0,clean_or_minor
TP_0648,10000.000000046748,234.01489470968392,0.023401489470858995,3,0,0,0,0,0,moderate_confounding
TP_0649,9999.999999933425,639.3527222086728,0.06393527222129293,10,0,0,0,0,0,moderate_confounding
TP_0650,10000.00000010441,575.2095597524784,0.057520955974647264,7,0,0,0,0,0,moderate_confounding
TP_0651,9999.999999907413,333.4936892541929,0.03334936892572806,7,0,0,0,0,0,moderate_confounding
TP_0652,10000.000000001637,85.1887529055367,0.008518875290552275,4,0,0,0,0,0,clean_or_minor
TP_0653,10000.000000030013,58.63479990107094,0.005863479990089496,2,0,0,0,0,0,clean_or_minor
TP_0654,9999.999999913598,106.55814421140754,0.010655814421232822,2,0,0,0,0,0,clean_or_minor
TP_0655,10000.00000000764,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0656,10000.000000026557,29.13575572668172,0.002913575572660434,1,0,0,0,0,0,clean_or_minor
TP_0657,9999.999999983265,198.05204097523534,0.019805204097556678,3,0,0,0,0,0,clean_or_minor
TP_0658,10000.00000007185,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0659,10000.000000016553,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0660,9999.999999907232,1044.7661295842051,0.10447661295938973,0,1,0,0,0,0,major_confounding
TP_0661,10000.000000007822,46.25759603620457,0.004625759603616839,0,0,1,0,0,0,clean_or_minor
TP_0662,10000.000000025648,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0663,10000.00000003838,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0664,9999.99999991851,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0665,10000.000000010368,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0666,9999.99999995398,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0667,9999.999999977263,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0668,9999.999999992178,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0669,10000.000000085856,372.61148485192774,0.037261148484872865,2,0,0,0,1,0,moderate_confounding
TP_0670,9999.999999904321,387.39963437405714,0.03873996343777637,1,0,0,0,1,0,moderate_confounding
TP_0671,10000.000000218824,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0672,9999.999999883585,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0673,9999.999999908869,116.73688323475758,0.011673688323582142,2,0,0,0,0,0,clean_or_minor
TP_0674,10000.00000001237,511.73318663179526,0.05117331866311623,2,0,0,0,0,0,moderate_confounding
TP_0675,10000.00000003838,99.73169271339977,0.009973169271301699,1,0,0,1,0,0,clean_or_minor
TP_0676,9999.999999926149,588.8503926803679,0.05888503926847166,8,0,0,1,0,0,moderate_confounding
TP_0677,10000.000000096043,248.03699483333256,0.024803699483095035,5,0,0,0,0,0,moderate_confounding
TP_0678,9999.999999971624,7.173581988917817,0.0007173581988938173,1,0,0,0,0,0,clean_or_minor
TP_0679,9999.999999991269,367.48588925344563,0.03674858892537665,5,0,0,0,0,0,moderate_confounding
TP_0680,10000.000000021282,237.06556237034715,0.023706556236984262,6,0,0,0,0,0,moderate_confounding
TP_0681,9999.999999981992,508.54036512413984,0.050854036512505564,7,0,0,0,0,0,moderate_confounding
TP_0682,10000.00000007476,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0683,9999.999999886677,81.94341440261961,0.008194341440354821,2,0,0,0,0,0,clean_or_minor
TP_0684,10000.000000052205,437.21995926234496,0.043721995926006244,6,0,0,0,0,0,moderate_confounding
TP_0685,9999.999999998909,203.78824659607866,0.02037882465961009,4,0,0,0,0,0,moderate_confounding
TP_0686,9999.999999943975,163.17076550458967,0.016317076550550383,3,0,0,0,0,0,clean_or_minor
TP_0687,10000.000000043474,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0688,9999.999999999818,1359.365250116986,0.1359365250117011,0,12,0,0,0,0,major_confounding
TP_0689,9999.99999994634,1140.089249326591,0.11400892493327087,0,2,0,0,0,0,major_confounding
TP_0690,10000.000000040018,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0691,9999.99999999327,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0692,10000.000000086766,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0693,9999.999999969623,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0694,9999.99999991669,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0695,10000.00000007658,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0696,9999.999999955071,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0697,10000.0000001015,135.30943600102268,0.013530943599964929,2,0,0,0,0,0,clean_or_minor
TP_0698,9999.999999991269,175.25752186630442,0.017525752186645743,3,0,0,0,0,0,clean_or_minor
TP_0699,9999.999999871943,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0700,10000.00000018299,0.0,0.0,0,0,0,0,0,0,clean_or_minor
