feature_a,feature_b,feature_a_group,feature_b_group,feature_a_base,feature_b_base,feature_a_buffer_m,feature_b_buffer_m,spearman_r,abs_spearman_r,n_pairwise,collinearity_status
major_road_length_m_100m,road_density_m_per_ha_500m,roads,roads,major_road_length_m,road_density_m_per_ha,100,500,0.378708,0.378708,27,low_collinearity
major_road_length_m_100m,road_length_m_500m,roads,roads,major_road_length_m,road_length_m,100,500,0.378708,0.378708,27,low_collinearity
building_count_250m,road_density_m_per_ha_250m,buildings,roads,building_count,road_density_m_per_ha,250,250,0.377825,0.377825,27,low_collinearity
building_count_250m,road_length_m_250m,buildings,roads,building_count,road_length_m,250,250,0.377825,0.377825,27,low_collinearity
road_density_m_per_ha_50m,water_fraction_500m,roads,water,road_density_m_per_ha,water_fraction,50,500,0.376202,0.376202,27,low_collinearity
road_length_m_50m,water_fraction_500m,roads,water,road_length_m,water_fraction,50,500,0.376202,0.376202,27,low_collinearity
water_fraction_100m,water_fraction_500m,water,water,water_fraction,water_fraction,100,500,0.373942,0.373942,27,low_collinearity
landuse_entropy_250m,distance_to_water_m_100m,landuse,water,landuse_entropy,distance_to_water_m,250,100,-0.373855,0.373855,27,low_collinearity
landuse_entropy_250m,distance_to_water_m_250m,landuse,water,landuse_entropy,distance_to_water_m,250,250,-0.373855,0.373855,27,low_collinearity
landuse_entropy_250m,distance_to_water_m_500m,landuse,water,landuse_entropy,distance_to_water_m,250,500,-0.373855,0.373855,27,low_collinearity
landuse_entropy_250m,distance_to_water_m_50m,landuse,water,landuse_entropy,distance_to_water_m,250,50,-0.373855,0.373855,27,low_collinearity
landuse_entropy_50m,water_fraction_50m,landuse,water,landuse_entropy,water_fraction,50,50,0.370190,0.370190,24,low_collinearity
distance_to_park_or_green_m_100m,water_fraction_100m,green,water,distance_to_park_or_green_m,water_fraction,100,100,-0.366342,0.366342,27,low_collinearity
distance_to_park_or_green_m_250m,water_fraction_100m,green,water,distance_to_park_or_green_m,water_fraction,250,100,-0.366342,0.366342,27,low_collinearity
distance_to_park_or_green_m_500m,water_fraction_100m,green,water,distance_to_park_or_green_m,water_fraction,500,100,-0.366342,0.366342,27,low_collinearity
distance_to_park_or_green_m_50m,water_fraction_100m,green,water,distance_to_park_or_green_m,water_fraction,50,100,-0.366342,0.366342,27,low_collinearity
distance_to_park_or_green_m_100m,road_density_m_per_ha_50m,green,roads,distance_to_park_or_green_m,road_density_m_per_ha,100,50,-0.365552,0.365552,27,low_collinearity
distance_to_park_or_green_m_100m,road_length_m_50m,green,roads,distance_to_park_or_green_m,road_length_m,100,50,-0.365552,0.365552,27,low_collinearity
distance_to_park_or_green_m_250m,road_density_m_per_ha_50m,green,roads,distance_to_park_or_green_m,road_density_m_per_ha,250,50,-0.365552,0.365552,27,low_collinearity
distance_to_park_or_green_m_250m,road_length_m_50m,green,roads,distance_to_park_or_green_m,road_length_m,250,50,-0.365552,0.365552,27,low_collinearity
distance_to_park_or_green_m_500m,road_density_m_per_ha_50m,green,roads,distance_to_park_or_green_m,road_density_m_per_ha,500,50,-0.365552,0.365552,27,low_collinearity
distance_to_park_or_green_m_500m,road_length_m_50m,green,roads,distance_to_park_or_green_m,road_length_m,500,50,-0.365552,0.365552,27,low_collinearity
distance_to_park_or_green_m_50m,road_density_m_per_ha_50m,green,roads,distance_to_park_or_green_m,road_density_m_per_ha,50,50,-0.365552,0.365552,27,low_collinearity
distance_to_park_or_green_m_50m,road_length_m_50m,green,roads,distance_to_park_or_green_m,road_length_m,50,50,-0.365552,0.365552,27,low_collinearity
green_space_fraction_50m,road_density_m_per_ha_250m,green,roads,green_space_fraction,road_density_m_per_ha,50,250,0.365016,0.365016,27,low_collinearity
green_space_fraction_50m,road_length_m_250m,green,roads,green_space_fraction,road_length_m,50,250,0.365016,0.365016,27,low_collinearity
road_density_m_per_ha_100m,road_density_m_per_ha_500m,roads,roads,road_density_m_per_ha,road_density_m_per_ha,100,500,0.363858,0.363858,27,low_collinearity
road_density_m_per_ha_100m,road_length_m_500m,roads,roads,road_density_m_per_ha,road_length_m,100,500,0.363858,0.363858,27,low_collinearity
road_density_m_per_ha_500m,road_length_m_100m,roads,roads,road_density_m_per_ha,road_length_m,500,100,0.363858,0.363858,27,low_collinearity
road_length_m_100m,road_length_m_500m,roads,roads,road_length_m,road_length_m,100,500,0.363858,0.363858,27,low_collinearity
landuse_entropy_100m,major_road_length_m_500m,landuse,roads,landuse_entropy,major_road_length_m,100,500,0.359415,0.359415,26,low_collinearity
building_count_250m,green_space_fraction_500m,buildings,green,building_count,green_space_fraction,250,500,-0.358583,0.358583,27,low_collinearity
landuse_entropy_100m,distance_to_water_m_100m,landuse,water,landuse_entropy,distance_to_water_m,100,100,-0.351760,0.351760,26,low_collinearity
landuse_entropy_100m,distance_to_water_m_250m,landuse,water,landuse_entropy,distance_to_water_m,100,250,-0.351760,0.351760,26,low_collinearity
landuse_entropy_100m,distance_to_water_m_500m,landuse,water,landuse_entropy,distance_to_water_m,100,500,-0.351760,0.351760,26,low_collinearity
landuse_entropy_100m,distance_to_water_m_50m,landuse,water,landuse_entropy,distance_to_water_m,100,50,-0.351760,0.351760,26,low_collinearity
building_count_250m,road_density_m_per_ha_100m,buildings,roads,building_count,road_density_m_per_ha,250,100,0.349725,0.349725,27,low_collinearity
building_count_250m,road_length_m_100m,buildings,roads,building_count,road_length_m,250,100,0.349725,0.349725,27,low_collinearity
landuse_entropy_50m,road_density_m_per_ha_100m,landuse,roads,landuse_entropy,road_density_m_per_ha,50,100,-0.348936,0.348936,24,low_collinearity
landuse_entropy_50m,road_length_m_100m,landuse,roads,landuse_entropy,road_length_m,50,100,-0.348936,0.348936,24,low_collinearity
landuse_entropy_50m,major_road_length_m_50m,landuse,roads,landuse_entropy,major_road_length_m,50,50,-0.348795,0.348795,24,low_collinearity
landuse_entropy_500m,road_density_m_per_ha_100m,landuse,roads,landuse_entropy,road_density_m_per_ha,500,100,-0.348596,0.348596,27,low_collinearity
landuse_entropy_500m,road_length_m_100m,landuse,roads,landuse_entropy,road_length_m,500,100,-0.348596,0.348596,27,low_collinearity
building_footprint_fraction_100m,landuse_entropy_250m,buildings,landuse,building_footprint_fraction,landuse_entropy,100,250,-0.348304,0.348304,27,low_collinearity
green_space_fraction_500m,water_fraction_100m,green,water,green_space_fraction,water_fraction,500,100,0.347615,0.347615,27,low_collinearity
building_count_100m,building_count_500m,buildings,buildings,building_count,building_count,100,500,0.347457,0.347457,27,low_collinearity
distance_to_park_or_green_m_100m,water_fraction_500m,green,water,distance_to_park_or_green_m,water_fraction,100,500,-0.345548,0.345548,27,low_collinearity
distance_to_park_or_green_m_250m,water_fraction_500m,green,water,distance_to_park_or_green_m,water_fraction,250,500,-0.345548,0.345548,27,low_collinearity
distance_to_park_or_green_m_500m,water_fraction_500m,green,water,distance_to_park_or_green_m,water_fraction,500,500,-0.345548,0.345548,27,low_collinearity
distance_to_park_or_green_m_50m,water_fraction_500m,green,water,distance_to_park_or_green_m,water_fraction,50,500,-0.345548,0.345548,27,low_collinearity
distance_to_park_or_green_m_100m,major_road_length_m_100m,green,roads,distance_to_park_or_green_m,major_road_length_m,100,100,0.343941,0.343941,27,low_collinearity
distance_to_park_or_green_m_250m,major_road_length_m_100m,green,roads,distance_to_park_or_green_m,major_road_length_m,250,100,0.343941,0.343941,27,low_collinearity
distance_to_park_or_green_m_500m,major_road_length_m_100m,green,roads,distance_to_park_or_green_m,major_road_length_m,500,100,0.343941,0.343941,27,low_collinearity
distance_to_park_or_green_m_50m,major_road_length_m_100m,green,roads,distance_to_park_or_green_m,major_road_length_m,50,100,0.343941,0.343941,27,low_collinearity
green_space_fraction_100m,distance_to_major_road_m_100m,green,roads,green_space_fraction,distance_to_major_road_m,100,100,0.343252,0.343252,27,low_collinearity
green_space_fraction_100m,distance_to_major_road_m_250m,green,roads,green_space_fraction,distance_to_major_road_m,100,250,0.343252,0.343252,27,low_collinearity
green_space_fraction_100m,distance_to_major_road_m_500m,green,roads,green_space_fraction,distance_to_major_road_m,100,500,0.343252,0.343252,27,low_collinearity
green_space_fraction_100m,distance_to_major_road_m_50m,green,roads,green_space_fraction,distance_to_major_road_m,100,50,0.343252,0.343252,27,low_collinearity
distance_to_major_road_m_100m,water_fraction_100m,roads,water,distance_to_major_road_m,water_fraction,100,100,0.342677,0.342677,27,low_collinearity
distance_to_major_road_m_250m,water_fraction_100m,roads,water,distance_to_major_road_m,water_fraction,250,100,0.342677,0.342677,27,low_collinearity
distance_to_major_road_m_500m,water_fraction_100m,roads,water,distance_to_major_road_m,water_fraction,500,100,0.342677,0.342677,27,low_collinearity
distance_to_major_road_m_50m,water_fraction_100m,roads,water,distance_to_major_road_m,water_fraction,50,100,0.342677,0.342677,27,low_collinearity
major_road_length_m_500m,water_fraction_500m,roads,water,major_road_length_m,water_fraction,500,500,0.340231,0.340231,27,low_collinearity
building_footprint_fraction_500m,major_road_length_m_250m,buildings,roads,building_footprint_fraction,major_road_length_m,500,250,0.338735,0.338735,27,low_collinearity
building_count_50m,major_road_length_m_500m,buildings,roads,building_count,major_road_length_m,50,500,-0.338546,0.338546,27,low_collinearity
major_road_length_m_50m,road_density_m_per_ha_100m,roads,roads,major_road_length_m,road_density_m_per_ha,50,100,0.337197,0.337197,27,low_collinearity
major_road_length_m_50m,road_length_m_100m,roads,roads,major_road_length_m,road_length_m,50,100,0.337197,0.337197,27,low_collinearity
landuse_entropy_100m,water_fraction_50m,landuse,water,landuse_entropy,water_fraction,100,50,0.336571,0.336571,26,low_collinearity
green_space_fraction_50m,green_space_fraction_500m,green,green,green_space_fraction,green_space_fraction,50,500,0.334151,0.334151,27,low_collinearity
green_space_fraction_250m,water_fraction_100m,green,water,green_space_fraction,water_fraction,250,100,0.333822,0.333822,27,low_collinearity
building_footprint_fraction_100m,building_footprint_fraction_500m,buildings,buildings,building_footprint_fraction,building_footprint_fraction,100,500,0.328550,0.328550,27,low_collinearity
landuse_entropy_250m,water_fraction_50m,landuse,water,landuse_entropy,water_fraction,250,50,0.327527,0.327527,27,low_collinearity
distance_to_park_or_green_m_100m,distance_to_major_road_m_100m,green,roads,distance_to_park_or_green_m,distance_to_major_road_m,100,100,-0.326397,0.326397,27,low_collinearity
distance_to_park_or_green_m_100m,distance_to_major_road_m_250m,green,roads,distance_to_park_or_green_m,distance_to_major_road_m,100,250,-0.326397,0.326397,27,low_collinearity
distance_to_park_or_green_m_100m,distance_to_major_road_m_500m,green,roads,distance_to_park_or_green_m,distance_to_major_road_m,100,500,-0.326397,0.326397,27,low_collinearity
distance_to_park_or_green_m_100m,distance_to_major_road_m_50m,green,roads,distance_to_park_or_green_m,distance_to_major_road_m,100,50,-0.326397,0.326397,27,low_collinearity
distance_to_park_or_green_m_250m,distance_to_major_road_m_100m,green,roads,distance_to_park_or_green_m,distance_to_major_road_m,250,100,-0.326397,0.326397,27,low_collinearity
distance_to_park_or_green_m_250m,distance_to_major_road_m_250m,green,roads,distance_to_park_or_green_m,distance_to_major_road_m,250,250,-0.326397,0.326397,27,low_collinearity
distance_to_park_or_green_m_250m,distance_to_major_road_m_500m,green,roads,distance_to_park_or_green_m,distance_to_major_road_m,250,500,-0.326397,0.326397,27,low_collinearity
distance_to_park_or_green_m_250m,distance_to_major_road_m_50m,green,roads,distance_to_park_or_green_m,distance_to_major_road_m,250,50,-0.326397,0.326397,27,low_collinearity
distance_to_park_or_green_m_500m,distance_to_major_road_m_100m,green,roads,distance_to_park_or_green_m,distance_to_major_road_m,500,100,-0.326397,0.326397,27,low_collinearity
distance_to_park_or_green_m_500m,distance_to_major_road_m_250m,green,roads,distance_to_park_or_green_m,distance_to_major_road_m,500,250,-0.326397,0.326397,27,low_collinearity
distance_to_park_or_green_m_500m,distance_to_major_road_m_500m,green,roads,distance_to_park_or_green_m,distance_to_major_road_m,500,500,-0.326397,0.326397,27,low_collinearity
distance_to_park_or_green_m_500m,distance_to_major_road_m_50m,green,roads,distance_to_park_or_green_m,distance_to_major_road_m,500,50,-0.326397,0.326397,27,low_collinearity
distance_to_park_or_green_m_50m,distance_to_major_road_m_100m,green,roads,distance_to_park_or_green_m,distance_to_major_road_m,50,100,-0.326397,0.326397,27,low_collinearity
distance_to_park_or_green_m_50m,distance_to_major_road_m_250m,green,roads,distance_to_park_or_green_m,distance_to_major_road_m,50,250,-0.326397,0.326397,27,low_collinearity
distance_to_park_or_green_m_50m,distance_to_major_road_m_500m,green,roads,distance_to_park_or_green_m,distance_to_major_road_m,50,500,-0.326397,0.326397,27,low_collinearity
distance_to_park_or_green_m_50m,distance_to_major_road_m_50m,green,roads,distance_to_park_or_green_m,distance_to_major_road_m,50,50,-0.326397,0.326397,27,low_collinearity
building_footprint_fraction_250m,road_density_m_per_ha_50m,buildings,roads,building_footprint_fraction,road_density_m_per_ha,250,50,0.326007,0.326007,27,low_collinearity
building_footprint_fraction_250m,road_length_m_50m,buildings,roads,building_footprint_fraction,road_length_m,250,50,0.326007,0.326007,27,low_collinearity
green_space_fraction_250m,water_fraction_250m,green,water,green_space_fraction,water_fraction,250,250,0.324366,0.324366,27,low_collinearity
building_footprint_fraction_250m,water_fraction_500m,buildings,water,building_footprint_fraction,water_fraction,250,500,0.322951,0.322951,27,low_collinearity
building_count_100m,building_footprint_fraction_500m,buildings,buildings,building_count,building_footprint_fraction,100,500,0.322314,0.322314,27,low_collinearity
building_footprint_fraction_500m,major_road_length_m_100m,buildings,roads,building_footprint_fraction,major_road_length_m,500,100,0.322011,0.322011,27,low_collinearity
green_space_fraction_50m,major_road_length_m_100m,green,roads,green_space_fraction,major_road_length_m,50,100,-0.320864,0.320864,27,low_collinearity
building_footprint_fraction_100m,landuse_entropy_500m,buildings,landuse,building_footprint_fraction,landuse_entropy,100,500,-0.318779,0.318779,27,low_collinearity
green_space_fraction_500m,road_density_m_per_ha_500m,green,roads,green_space_fraction,road_density_m_per_ha,500,500,-0.315018,0.315018,27,low_collinearity
green_space_fraction_500m,road_length_m_500m,green,roads,green_space_fraction,road_length_m,500,500,-0.315018,0.315018,27,low_collinearity
building_footprint_fraction_500m,road_density_m_per_ha_100m,buildings,roads,building_footprint_fraction,road_density_m_per_ha,500,100,0.314408,0.314408,27,low_collinearity
building_footprint_fraction_500m,road_length_m_100m,buildings,roads,building_footprint_fraction,road_length_m,500,100,0.314408,0.314408,27,low_collinearity
building_footprint_fraction_250m,major_road_length_m_100m,buildings,roads,building_footprint_fraction,major_road_length_m,250,100,0.311674,0.311674,27,low_collinearity
road_density_m_per_ha_500m,water_fraction_500m,roads,water,road_density_m_per_ha,water_fraction,500,500,0.310735,0.310735,27,low_collinearity
road_length_m_500m,water_fraction_500m,roads,water,road_length_m,water_fraction,500,500,0.310735,0.310735,27,low_collinearity
landuse_entropy_50m,major_road_length_m_250m,landuse,roads,landuse_entropy,major_road_length_m,50,250,0.308317,0.308317,24,low_collinearity
major_road_length_m_250m,water_fraction_500m,roads,water,major_road_length_m,water_fraction,250,500,0.307289,0.307289,27,low_collinearity
building_count_500m,green_space_fraction_250m,buildings,green,building_count,green_space_fraction,500,250,-0.306846,0.306846,27,low_collinearity
landuse_entropy_250m,road_density_m_per_ha_500m,landuse,roads,landuse_entropy,road_density_m_per_ha,250,500,0.306659,0.306659,27,low_collinearity
landuse_entropy_250m,road_length_m_500m,landuse,roads,landuse_entropy,road_length_m,250,500,0.306659,0.306659,27,low_collinearity
green_space_fraction_50m,road_density_m_per_ha_100m,green,roads,green_space_fraction,road_density_m_per_ha,50,100,0.306640,0.306640,27,low_collinearity
green_space_fraction_50m,road_length_m_100m,green,roads,green_space_fraction,road_length_m,50,100,0.306640,0.306640,27,low_collinearity
building_count_500m,landuse_entropy_100m,buildings,landuse,building_count,landuse_entropy,500,100,0.305555,0.305555,26,low_collinearity
major_road_length_m_100m,water_fraction_250m,roads,water,major_road_length_m,water_fraction,100,250,-0.305337,0.305337,27,low_collinearity
green_space_fraction_100m,road_density_m_per_ha_250m,green,roads,green_space_fraction,road_density_m_per_ha,100,250,0.304717,0.304717,27,low_collinearity
green_space_fraction_100m,road_length_m_250m,green,roads,green_space_fraction,road_length_m,100,250,0.304717,0.304717,27,low_collinearity
building_count_500m,landuse_entropy_250m,buildings,landuse,building_count,landuse_entropy,500,250,0.304262,0.304262,27,low_collinearity
building_footprint_fraction_250m,road_density_m_per_ha_250m,buildings,roads,building_footprint_fraction,road_density_m_per_ha,250,250,0.304029,0.304029,27,low_collinearity
building_footprint_fraction_250m,road_length_m_250m,buildings,roads,building_footprint_fraction,road_length_m,250,250,0.304029,0.304029,27,low_collinearity
road_density_m_per_ha_50m,distance_to_water_m_100m,roads,water,road_density_m_per_ha,distance_to_water_m,50,100,-0.304029,0.304029,27,low_collinearity
road_density_m_per_ha_50m,distance_to_water_m_250m,roads,water,road_density_m_per_ha,distance_to_water_m,50,250,-0.304029,0.304029,27,low_collinearity
road_density_m_per_ha_50m,distance_to_water_m_500m,roads,water,road_density_m_per_ha,distance_to_water_m,50,500,-0.304029,0.304029,27,low_collinearity
road_density_m_per_ha_50m,distance_to_water_m_50m,roads,water,road_density_m_per_ha,distance_to_water_m,50,50,-0.304029,0.304029,27,low_collinearity
road_length_m_50m,distance_to_water_m_100m,roads,water,road_length_m,distance_to_water_m,50,100,-0.304029,0.304029,27,low_collinearity
road_length_m_50m,distance_to_water_m_250m,roads,water,road_length_m,distance_to_water_m,50,250,-0.304029,0.304029,27,low_collinearity
road_length_m_50m,distance_to_water_m_500m,roads,water,road_length_m,distance_to_water_m,50,500,-0.304029,0.304029,27,low_collinearity
road_length_m_50m,distance_to_water_m_50m,roads,water,road_length_m,distance_to_water_m,50,50,-0.304029,0.304029,27,low_collinearity
landuse_entropy_500m,water_fraction_50m,landuse,water,landuse_entropy,water_fraction,500,50,0.302148,0.302148,27,low_collinearity
distance_to_major_road_m_100m,distance_to_water_m_100m,roads,water,distance_to_major_road_m,distance_to_water_m,100,100,-0.300977,0.300977,27,low_collinearity
distance_to_major_road_m_100m,distance_to_water_m_250m,roads,water,distance_to_major_road_m,distance_to_water_m,100,250,-0.300977,0.300977,27,low_collinearity
distance_to_major_road_m_100m,distance_to_water_m_500m,roads,water,distance_to_major_road_m,distance_to_water_m,100,500,-0.300977,0.300977,27,low_collinearity
distance_to_major_road_m_100m,distance_to_water_m_50m,roads,water,distance_to_major_road_m,distance_to_water_m,100,50,-0.300977,0.300977,27,low_collinearity
distance_to_major_road_m_250m,distance_to_water_m_100m,roads,water,distance_to_major_road_m,distance_to_water_m,250,100,-0.300977,0.300977,27,low_collinearity
distance_to_major_road_m_250m,distance_to_water_m_250m,roads,water,distance_to_major_road_m,distance_to_water_m,250,250,-0.300977,0.300977,27,low_collinearity
distance_to_major_road_m_250m,distance_to_water_m_500m,roads,water,distance_to_major_road_m,distance_to_water_m,250,500,-0.300977,0.300977,27,low_collinearity
distance_to_major_road_m_250m,distance_to_water_m_50m,roads,water,distance_to_major_road_m,distance_to_water_m,250,50,-0.300977,0.300977,27,low_collinearity
distance_to_major_road_m_500m,distance_to_water_m_100m,roads,water,distance_to_major_road_m,distance_to_water_m,500,100,-0.300977,0.300977,27,low_collinearity
distance_to_major_road_m_500m,distance_to_water_m_250m,roads,water,distance_to_major_road_m,distance_to_water_m,500,250,-0.300977,0.300977,27,low_collinearity
distance_to_major_road_m_500m,distance_to_water_m_500m,roads,water,distance_to_major_road_m,distance_to_water_m,500,500,-0.300977,0.300977,27,low_collinearity
distance_to_major_road_m_500m,distance_to_water_m_50m,roads,water,distance_to_major_road_m,distance_to_water_m,500,50,-0.300977,0.300977,27,low_collinearity
distance_to_major_road_m_50m,distance_to_water_m_100m,roads,water,distance_to_major_road_m,distance_to_water_m,50,100,-0.300977,0.300977,27,low_collinearity
distance_to_major_road_m_50m,distance_to_water_m_250m,roads,water,distance_to_major_road_m,distance_to_water_m,50,250,-0.300977,0.300977,27,low_collinearity
distance_to_major_road_m_50m,distance_to_water_m_500m,roads,water,distance_to_major_road_m,distance_to_water_m,50,500,-0.300977,0.300977,27,low_collinearity
distance_to_major_road_m_50m,distance_to_water_m_50m,roads,water,distance_to_major_road_m,distance_to_water_m,50,50,-0.300977,0.300977,27,low_collinearity
major_road_length_m_50m,distance_to_water_m_100m,roads,water,major_road_length_m,distance_to_water_m,50,100,0.300095,0.300095,27,low_collinearity
major_road_length_m_50m,distance_to_water_m_250m,roads,water,major_road_length_m,distance_to_water_m,50,250,0.300095,0.300095,27,low_collinearity
major_road_length_m_50m,distance_to_water_m_500m,roads,water,major_road_length_m,distance_to_water_m,50,500,0.300095,0.300095,27,low_collinearity
major_road_length_m_50m,distance_to_water_m_50m,roads,water,major_road_length_m,distance_to_water_m,50,50,0.300095,0.300095,27,low_collinearity
water_fraction_50m,water_fraction_250m,water,water,water_fraction,water_fraction,50,250,0.300045,0.300045,27,low_collinearity
building_count_500m,major_road_length_m_250m,buildings,roads,building_count,major_road_length_m,500,250,0.296285,0.296285,27,low_collinearity
landuse_entropy_250m,water_fraction_100m,landuse,water,landuse_entropy,water_fraction,250,100,0.295456,0.295456,27,low_collinearity
distance_to_park_or_green_m_100m,distance_to_water_m_100m,green,water,distance_to_park_or_green_m,distance_to_water_m,100,100,0.294446,0.294446,27,low_collinearity
distance_to_park_or_green_m_100m,distance_to_water_m_250m,green,water,distance_to_park_or_green_m,distance_to_water_m,100,250,0.294446,0.294446,27,low_collinearity
distance_to_park_or_green_m_100m,distance_to_water_m_500m,green,water,distance_to_park_or_green_m,distance_to_water_m,100,500,0.294446,0.294446,27,low_collinearity
distance_to_park_or_green_m_100m,distance_to_water_m_50m,green,water,distance_to_park_or_green_m,distance_to_water_m,100,50,0.294446,0.294446,27,low_collinearity
distance_to_park_or_green_m_250m,distance_to_water_m_100m,green,water,distance_to_park_or_green_m,distance_to_water_m,250,100,0.294446,0.294446,27,low_collinearity
distance_to_park_or_green_m_250m,distance_to_water_m_250m,green,water,distance_to_park_or_green_m,distance_to_water_m,250,250,0.294446,0.294446,27,low_collinearity
distance_to_park_or_green_m_250m,distance_to_water_m_500m,green,water,distance_to_park_or_green_m,distance_to_water_m,250,500,0.294446,0.294446,27,low_collinearity
distance_to_park_or_green_m_250m,distance_to_water_m_50m,green,water,distance_to_park_or_green_m,distance_to_water_m,250,50,0.294446,0.294446,27,low_collinearity
distance_to_park_or_green_m_500m,distance_to_water_m_100m,green,water,distance_to_park_or_green_m,distance_to_water_m,500,100,0.294446,0.294446,27,low_collinearity
distance_to_park_or_green_m_500m,distance_to_water_m_250m,green,water,distance_to_park_or_green_m,distance_to_water_m,500,250,0.294446,0.294446,27,low_collinearity
distance_to_park_or_green_m_500m,distance_to_water_m_500m,green,water,distance_to_park_or_green_m,distance_to_water_m,500,500,0.294446,0.294446,27,low_collinearity
distance_to_park_or_green_m_500m,distance_to_water_m_50m,green,water,distance_to_park_or_green_m,distance_to_water_m,500,50,0.294446,0.294446,27,low_collinearity
distance_to_park_or_green_m_50m,distance_to_water_m_100m,green,water,distance_to_park_or_green_m,distance_to_water_m,50,100,0.294446,0.294446,27,low_collinearity
distance_to_park_or_green_m_50m,distance_to_water_m_250m,green,water,distance_to_park_or_green_m,distance_to_water_m,50,250,0.294446,0.294446,27,low_collinearity
distance_to_park_or_green_m_50m,distance_to_water_m_500m,green,water,distance_to_park_or_green_m,distance_to_water_m,50,500,0.294446,0.294446,27,low_collinearity
distance_to_park_or_green_m_50m,distance_to_water_m_50m,green,water,distance_to_park_or_green_m,distance_to_water_m,50,50,0.294446,0.294446,27,low_collinearity
road_density_m_per_ha_250m,water_fraction_500m,roads,water,road_density_m_per_ha,water_fraction,250,500,0.293506,0.293506,27,low_collinearity
road_length_m_250m,water_fraction_500m,roads,water,road_length_m,water_fraction,250,500,0.293506,0.293506,27,low_collinearity
building_count_100m,road_density_m_per_ha_50m,buildings,roads,building_count,road_density_m_per_ha,100,50,0.291530,0.291530,27,low_collinearity
building_count_100m,road_length_m_50m,buildings,roads,building_count,road_length_m,100,50,0.291530,0.291530,27,low_collinearity
building_count_100m,landuse_entropy_500m,buildings,landuse,building_count,landuse_entropy,100,500,-0.287528,0.287528,27,low_collinearity
major_road_length_m_50m,water_fraction_100m,roads,water,major_road_length_m,water_fraction,50,100,-0.285963,0.285963,27,low_collinearity
green_space_fraction_50m,distance_to_major_road_m_100m,green,roads,green_space_fraction,distance_to_major_road_m,50,100,0.285840,0.285840,27,low_collinearity
green_space_fraction_50m,distance_to_major_road_m_250m,green,roads,green_space_fraction,distance_to_major_road_m,50,250,0.285840,0.285840,27,low_collinearity
green_space_fraction_50m,distance_to_major_road_m_500m,green,roads,green_space_fraction,distance_to_major_road_m,50,500,0.285840,0.285840,27,low_collinearity
green_space_fraction_50m,distance_to_major_road_m_50m,green,roads,green_space_fraction,distance_to_major_road_m,50,50,0.285840,0.285840,27,low_collinearity
green_space_fraction_500m,landuse_entropy_500m,green,landuse,green_space_fraction,landuse_entropy,500,500,0.285104,0.285104,27,low_collinearity
building_count_500m,major_road_length_m_500m,buildings,roads,building_count,major_road_length_m,500,500,0.284885,0.284885,27,low_collinearity
building_footprint_fraction_500m,landuse_entropy_100m,buildings,landuse,building_footprint_fraction,landuse_entropy,500,100,0.282719,0.282719,26,low_collinearity
green_space_fraction_100m,landuse_entropy_50m,green,landuse,green_space_fraction,landuse_entropy,100,50,-0.282182,0.282182,24,low_collinearity
green_space_fraction_100m,road_density_m_per_ha_100m,green,roads,green_space_fraction,road_density_m_per_ha,100,100,0.280430,0.280430,27,low_collinearity
green_space_fraction_100m,road_length_m_100m,green,roads,green_space_fraction,road_length_m,100,100,0.280430,0.280430,27,low_collinearity
building_count_250m,building_footprint_fraction_50m,buildings,buildings,building_count,building_footprint_fraction,250,50,0.280382,0.280382,27,low_collinearity
landuse_entropy_500m,major_road_length_m_250m,landuse,roads,landuse_entropy,major_road_length_m,500,250,0.277286,0.277286,27,low_collinearity
distance_to_water_m_100m,water_fraction_50m,water,water,distance_to_water_m,water_fraction,100,50,-0.276969,0.276969,27,low_collinearity
distance_to_water_m_250m,water_fraction_50m,water,water,distance_to_water_m,water_fraction,250,50,-0.276969,0.276969,27,low_collinearity
distance_to_water_m_500m,water_fraction_50m,water,water,distance_to_water_m,water_fraction,500,50,-0.276969,0.276969,27,low_collinearity
distance_to_water_m_50m,water_fraction_50m,water,water,distance_to_water_m,water_fraction,50,50,-0.276969,0.276969,27,low_collinearity
building_count_100m,road_density_m_per_ha_250m,buildings,roads,building_count,road_density_m_per_ha,100,250,0.275829,0.275829,27,low_collinearity
building_count_100m,road_length_m_250m,buildings,roads,building_count,road_length_m,100,250,0.275829,0.275829,27,low_collinearity
building_footprint_fraction_100m,landuse_entropy_50m,buildings,landuse,building_footprint_fraction,landuse_entropy,100,50,-0.275645,0.275645,24,low_collinearity
landuse_entropy_50m,road_density_m_per_ha_50m,landuse,roads,landuse_entropy,road_density_m_per_ha,50,50,-0.275525,0.275525,24,low_collinearity
landuse_entropy_50m,road_length_m_50m,landuse,roads,landuse_entropy,road_length_m,50,50,-0.275525,0.275525,24,low_collinearity
building_footprint_fraction_100m,major_road_length_m_50m,buildings,roads,building_footprint_fraction,major_road_length_m,100,50,0.275262,0.275262,27,low_collinearity
landuse_entropy_500m,water_fraction_100m,landuse,water,landuse_entropy,water_fraction,500,100,0.273549,0.273549,27,low_collinearity
building_footprint_fraction_50m,major_road_length_m_500m,buildings,roads,building_footprint_fraction,major_road_length_m,50,500,-0.271855,0.271855,27,low_collinearity
landuse_entropy_500m,road_density_m_per_ha_50m,landuse,roads,landuse_entropy,road_density_m_per_ha,500,50,-0.269231,0.269231,27,low_collinearity
