cell_id,open_pixel_fraction,building_pixel_fraction,n_total_pixels,n_open_pixels,svf_umep_mean_open,svf_umep_p10_open,svf_umep_p90_open,shade_fraction_umep_10_16_open,shade_fraction_umep_13_15_open,shade_fraction_umep_peak_open,shade_fraction_umep_1000_open,shade_fraction_umep_1100_open,shade_fraction_umep_1200_open,shade_fraction_umep_1300_open,shade_fraction_umep_1400_open,shade_fraction_umep_1500_open,shade_fraction_umep_1600_open,svf_umep_mean_all,dsm_mean_height_all,dsm_max_height,dsm_mean_height_buildings_only,umep_dsm_resolution_m,umep_shadow_date,umep_shadow_time_window
TP_0494,1.0,0.0,2500,2500,0.9974699020385742,0.995816707611084,0.9986055493354797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9974699020385742,0.0,0.0,0.0,2,20260320,10:00-16:00 LST (UTC+8)
TP_0495,1.0,0.0,2500,2500,0.9950472712516785,0.9917431473731995,0.9972111582756042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9950472712516785,0.0,0.0,0.0,2,20260320,10:00-16:00 LST (UTC+8)
TP_0496,1.0,0.0,2500,2500,0.9891716837882996,0.9834862947463989,0.9930278658866882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9891716837882996,0.0,0.0,0.0,2,20260320,10:00-16:00 LST (UTC+8)
TP_0497,1.0,0.0,2500,2500,0.9834021329879761,0.9779085516929626,0.9888445734977722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9834021329879761,0.0,0.0,0.0,2,20260320,10:00-16:00 LST (UTC+8)
TP_0498,0.9944,0.005600000000000049,2500,2486,0.9398683309555054,0.8776488304138184,0.9832668900489807,0.007872657850384712,0.0,0.04143201932311058,0.04143201932311058,0.01045856811106205,0.00321802101098001,0.0,0.0,0.0,0.0,0.9401408433914185,0.16407997906208038,29.299999237060547,29.29999351501465,2,20260320,10:00-16:00 LST (UTC+8)
TP_0499,0.7748,0.22519999999999996,2500,1937,0.6134582161903381,0.38344046473503113,0.868251621723175,0.11335644870996475,0.03906384855508804,0.3582860231399536,0.3190500736236572,0.19411461055278778,0.09654103964567184,0.011874032206833363,0.044914815574884415,0.06040268391370773,0.0665978342294693,0.6961830258369446,7.471959590911865,46.099998474121094,33.17921829223633,2,20260320,10:00-16:00 LST (UTC+8)
TP_0500,0.6556,0.34440000000000004,2500,1639,0.4724252223968506,0.2332029789686203,0.7346152663230896,0.09674889594316483,0.06426683813333511,0.23428919911384583,0.1269066482782364,0.10738255083560944,0.047589994966983795,0.0,0.05369127541780472,0.13910920917987823,0.20256254076957703,0.6398345828056335,10.601640701293945,46.099998474121094,30.78292465209961,2,20260320,10:00-16:00 LST (UTC+8)
TP_0501,0.6596,0.34040000000000004,2500,1649,0.5020779967308044,0.25744161009788513,0.6976038217544556,0.07181841880083084,0.04325854033231735,0.12371134012937546,0.1097634956240654,0.09884778410196304,0.04366282746195793,0.0,0.03699211776256561,0.09278350323438644,0.12067919969558716,0.6595145463943481,9.086679458618164,29.299999237060547,26.694124221801758,2,20260320,10:00-16:00 LST (UTC+8)
TP_0502,0.7048,0.2952,2500,1762,0.5825796723365784,0.283551961183548,0.7773817777633667,0.04824063554406166,0.031971246004104614,0.0919409766793251,0.05448354035615921,0.05448354035615921,0.04086265712976456,0.0,0.030646992847323418,0.06526674330234528,0.0919409766793251,0.702314555644989,8.649360656738281,29.299999237060547,29.299997329711914,2,20260320,10:00-16:00 LST (UTC+8)
TP_0503,0.968,0.03200000000000003,2500,2420,0.8236466646194458,0.7000783085823059,0.9169005751609802,0.059504132717847824,0.023415980860590935,0.2628099322319031,0.13140496611595154,0.06280991435050964,0.020661156624555588,0.0,0.012396694160997868,0.057851240038871765,0.13140496611595154,0.8290327191352844,1.1167999505996704,34.900001525878906,34.89999771118164,2,20260320,10:00-16:00 LST (UTC+8)
TP_0504,0.9088,0.09119999999999995,2500,2272,0.6230772733688354,0.3968815207481384,0.8271974325180054,0.1258174031972885,0.011883803643286228,0.4427816867828369,0.4427816867828369,0.26188379526138306,0.128521129488945,0.0026408450212329626,0.017605634406208992,0.015404929406940937,0.011883802711963654,0.6574526429176331,5.225759506225586,57.29999923706055,57.29998779296875,2,20260320,10:00-16:00 LST (UTC+8)
TP_0505,0.8008,0.19920000000000004,2500,2002,0.548466145992279,0.38269490003585815,0.7294151782989502,0.30376768112182617,0.199966698884964,0.7507492303848267,0.44655343890190125,0.2747252881526947,0.15184815227985382,0.019480518996715546,0.17432567477226257,0.40609389543533325,0.6533466577529907,0.6351924538612366,8.91431999206543,57.29999923706055,44.7505989074707,2,20260320,10:00-16:00 LST (UTC+8)
TP_0506,0.814,0.18600000000000005,2500,2035,0.5090741515159607,0.36186879873275757,0.6426297426223755,0.14426115155220032,0.07567567378282547,0.46781325340270996,0.3007371127605438,0.18280097842216492,0.08845208585262299,0.0,0.06191646307706833,0.16511055827140808,0.2108108103275299,0.5976371169090271,6.491399765014648,34.900001525878906,34.899993896484375,2,20260320,10:00-16:00 LST (UTC+8)
TP_0507,1.0,0.0,2500,2500,0.8907986283302307,0.797577977180481,0.9545323848724365,0.013257143087685108,0.0,0.09279999881982803,0.0,0.0,0.0,0.0,0.0,0.0,0.09279999881982803,0.8907986283302307,0.0,0.0,0.0,2,20260320,10:00-16:00 LST (UTC+8)
TP_0508,1.0,0.0,2500,2500,0.9509013891220093,0.9313756227493286,0.9667531251907349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9509013891220093,0.0,0.0,0.0,2,20260320,10:00-16:00 LST (UTC+8)
TP_0509,0.998,0.0020000000000000018,2500,2495,0.9039972424507141,0.823991596698761,0.9545323848724365,0.031777843832969666,0.0006680026999674737,0.12184368818998337,0.12184368818998337,0.06733466684818268,0.03126252442598343,0.0020040080416947603,0.0,0.0,0.0,0.9041725397109985,0.10339999943971634,51.70000076293945,51.70000076293945,2,20260320,10:00-16:00 LST (UTC+8)
TP_0510,0.788,0.21199999999999997,2500,1970,0.6048331260681152,0.4700825810432434,0.7052586674690247,0.055982597172260284,0.027580372989177704,0.17157360911369324,0.15431472659111023,0.07512690126895905,0.04517766460776329,0.003553299466148019,0.04060913622379303,0.03857868164777756,0.034517765045166016,0.6860640048980713,10.960400581359863,51.70000076293945,51.700008392333984,2,20260320,10:00-16:00 LST (UTC+8)
TP_0511,0.8296,0.1704,2500,2074,0.6058352589607239,0.4219004809856415,0.7634270191192627,0.1797768473625183,0.08582449704408646,0.48119574785232544,0.355351984500885,0.2753134071826935,0.15766634047031403,0.014464802108705044,0.08052073419094086,0.1624879390001297,0.21263259649276733,0.6719345450401306,11.567120552062988,71.30000305175781,67.88214874267578,2,20260320,10:00-16:00 LST (UTC+8)
TP_0512,0.8112,0.18879999999999997,2500,2028,0.5976563096046448,0.43171069025993347,0.8239567875862122,0.12820513546466827,0.10618013888597488,0.3491124212741852,0.09023668617010117,0.0917159765958786,0.09023668617010117,0.006410256493836641,0.09664694219827652,0.21548323333263397,0.30670610070228577,0.6726276874542236,11.759039878845215,71.30000305175781,62.283042907714844,2,20260320,10:00-16:00 LST (UTC+8)
TP_0513,1.0,0.0,2500,2500,0.9274117946624756,0.8630035519599915,0.9696516990661621,0.020971428602933884,0.01613333448767662,0.09920000284910202,0.0,0.0,0.0,0.0,0.012000000104308128,0.036400001496076584,0.09839999675750732,0.9274117946624756,0.0,0.0,0.0,2,20260320,10:00-16:00 LST (UTC+8)
TP_0514,1.0,0.0,2500,2500,0.9799838662147522,0.9710461497306824,0.987450122833252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9799838662147522,0.0,0.0,0.0,2,20260320,10:00-16:00 LST (UTC+8)
TP_0515,1.0,0.0,2500,2500,0.988638162612915,0.9859163165092468,0.991633415222168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.988638162612915,0.0,0.0,0.0,2,20260320,10:00-16:00 LST (UTC+8)
TP_0516,1.0,0.0,2500,2500,0.99137282371521,0.9888445734977722,0.9944223165512085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99137282371521,0.0,0.0,0.0,2,20260320,10:00-16:00 LST (UTC+8)
