building_id,source_name,geometry_source,area_m2,height_m,height_source,height_confidence,lu_desc_v10,height_warning
v10_bldg_001287,osm,osm,544.5129006525021,105.0,osm_levels_x_3m:levels_original,medium_high,RESIDENTIAL,
v10_bldg_001288,osm,osm,544.4982604418957,105.0,osm_levels_x_3m:levels_original,medium_high,RESIDENTIAL,
v10_bldg_000643,ura,ura,828.8433216747106,104.0,explicit:height_m_original,medium_high,RESIDENTIAL,
v10_bldg_000646,ura,ura,774.6177592848637,104.0,explicit:height_m_original,medium_high,RESIDENTIAL,
v10_bldg_000527,hdb3d,hdb3d,570.6526784974674,102.1,height_m,high,RESIDENTIAL,
v10_bldg_000528,hdb3d,hdb3d,570.5595675813346,102.1,height_m,high,RESIDENTIAL,
v10_bldg_000529,hdb3d,hdb3d,568.7037987067761,102.1,height_m,high,RESIDENTIAL,
v10_bldg_000530,hdb3d,hdb3d,567.7375579434358,102.1,height_m,high,RESIDENTIAL,
v10_bldg_001084,osm,osm,860.679545676233,102.0,osm_levels_x_3m:levels_original,medium_high,RESIDENTIAL,
v10_bldg_001477,osm,osm,396.08617485983274,102.0,osm_levels_x_3m:levels_original,medium_high,RESIDENTIAL,
v10_bldg_001148,osm,osm,752.0392247779046,99.0,osm_levels_x_3m:levels_original,medium_high,RESIDENTIAL,
v10_bldg_001262,osm,osm,575.5606814262294,99.0,osm_levels_x_3m:levels_original,medium_high,RESIDENTIAL,
v10_bldg_001260,osm,osm,577.0287400969378,96.0,osm_levels_x_3m:levels_original,medium_high,RESIDENTIAL,
v10_bldg_000002,hdb3d,hdb3d,9589.901957008631,93.7,height_m,high,COMMERCIAL,
v10_bldg_001050,osm,osm,931.3991140612907,93.0,osm_levels_x_3m:levels_original,medium_high,RESIDENTIAL,
v10_bldg_001100,osm,osm,825.9776003861997,93.0,osm_levels_x_3m:levels_original,medium_high,RESIDENTIAL,
v10_bldg_000894,osm,osm,1453.7986620882066,90.0,osm_levels_x_3m:levels_original,medium_high,RESIDENTIAL,
v10_bldg_000899,osm,osm,1418.6684298166822,90.0,osm_levels_x_3m:levels_original,medium_high,RESIDENTIAL,
v10_bldg_000934,osm,osm,1255.7356203942463,90.0,osm_levels_x_3m:levels_original,medium_high,RESIDENTIAL,
v10_bldg_000971,osm,osm,1135.770512692823,90.0,osm_levels_x_3m:levels_original,medium_high,RESIDENTIAL,
v10_bldg_000984,osm,osm,1090.7940854913666,90.0,osm_levels_x_3m:levels_original,medium_high,RESIDENTIAL,
v10_bldg_001049,osm,osm,931.7142033818354,90.0,osm_levels_x_3m:levels_original,medium_high,RESIDENTIAL,
v10_bldg_001070,osm,osm,887.3623609291141,90.0,osm_levels_x_3m:levels_original,medium_high,RESIDENTIAL,
v10_bldg_000645,ura,ura,803.8802384999763,90.0,osm_levels_x_3m:levels_original,medium_high,RESIDENTIAL,
v10_bldg_001164,osm,osm,728.2837340697711,90.0,osm_levels_x_3m:levels_original,medium_high,RESIDENTIAL,
v10_bldg_000452,hdb3d,hdb3d,806.0719622370224,88.1,height_m,high,RESIDENTIAL,
v10_bldg_000505,hdb3d,hdb3d,637.4140971949687,88.1,height_m,high,RESIDENTIAL,
v10_bldg_001251,osm,osm,592.0877728769502,87.0,osm_levels_x_3m:levels_original,medium_high,RESIDENTIAL,
v10_bldg_000001,hdb3d,hdb3d,10357.772791275587,85.3,height_m,high,BUSINESS 1,
v10_bldg_000041,hdb3d,hdb3d,2473.1838064114095,85.3,height_m,high,RESIDENTIAL,
v10_bldg_000222,hdb3d,hdb3d,1377.0122733518867,85.3,height_m,high,RESIDENTIAL,
v10_bldg_000281,hdb3d,hdb3d,1240.110836940508,85.3,height_m,high,RESIDENTIAL,
v10_bldg_000397,hdb3d,hdb3d,958.6012802367768,85.3,height_m,high,RESIDENTIAL,
v10_bldg_000415,hdb3d,hdb3d,912.6703160797464,85.3,height_m,high,RESIDENTIAL,
v10_bldg_000417,hdb3d,hdb3d,908.9421288885303,85.3,height_m,high,RESIDENTIAL,
v10_bldg_000421,hdb3d,hdb3d,902.3378296895786,85.3,height_m,high,RESIDENTIAL,
v10_bldg_000439,hdb3d,hdb3d,852.9593629076497,85.3,height_m,high,RESIDENTIAL,
v10_bldg_000480,hdb3d,hdb3d,712.3361818889398,85.3,height_m,high,RESIDENTIAL,
v10_bldg_001258,osm,osm,582.4872630433896,84.0,osm_levels_x_3m:levels_original,medium_high,RESIDENTIAL,
v10_bldg_001032,osm,osm,972.4929344678422,81.0,osm_levels_x_3m:levels_original,medium_high,RESIDENTIAL,
v10_bldg_001036,osm,osm,962.9547319085674,81.0,osm_levels_x_3m:levels_original,medium_high,RESIDENTIAL,
v10_bldg_001380,osm,osm,456.25302719312623,81.0,osm_levels_x_3m:levels_original,medium_high,RESIDENTIAL,
v10_bldg_000513,hdb3d,hdb3d,600.9325729221994,79.7,height_m,high,RESIDENTIAL,
v10_bldg_000515,hdb3d,hdb3d,590.3396174345935,79.7,height_m,high,RESIDENTIAL,
v10_bldg_000905,osm,osm,1388.7827748112763,78.0,osm_levels_x_3m:levels_original,medium_high,RESIDENTIAL,
v10_bldg_000920,osm,osm,1336.4992584435797,78.0,osm_levels_x_3m:levels_original,medium_high,RESIDENTIAL,
