candidate_id,source_name,source_building_id,area_m2,dedup_status,canonical_building_id,best_candidate_overlap,best_iou,best_existing_overlap,best_centroid_distance_m,best_area_ratio,best_existing_building_id
cand_osm_001816,osm,osm_453720575,388.12704662720887,accepted_new,v10_bldg_001487,0.0,,,,,
cand_osm_004408,osm,osm_1191257880,388.00262863595697,accepted_new,v10_bldg_001488,0.0,,,,,
cand_osm_005143,osm,osm_1479527524,387.8805823425183,accepted_new,v10_bldg_001489,0.0,,,,,
cand_osm_002439,osm,osm_454199753,387.8084362866146,accepted_new,v10_bldg_001490,0.0,,,,,
cand_osm_002533,osm,osm_455063897,386.8306954278974,accepted_new,v10_bldg_001491,0.0,,,,,
cand_osm_003088,osm,osm_700173468,383.63304295308455,accepted_new,v10_bldg_001492,0.0,,,,,
cand_osm_002294,osm,osm_453961437,383.32554431496703,accepted_new,v10_bldg_001493,0.0,,,,,
cand_osm_001554,osm,osm_453380673,382.7112393737041,accepted_new,v10_bldg_001494,0.0,,,,,
cand_osm_000626,osm,osm_201275598,382.5373754542209,accepted_new,v10_bldg_001495,0.0,,,,,
cand_osm_001710,osm,osm_453520122,381.00650127476695,accepted_new,v10_bldg_001496,0.0,,,,,
cand_osm_001332,osm,osm_439331291,379.8643002310796,merged_duplicate,v10_bldg_000668,0.9898560012952895,0.9873726482422615,0.9974655527293241,0.0729676222985632,1.0076875337666054,v10_bldg_000668
cand_osm_001452,osm,osm_453366954,379.8331323864052,accepted_new,v10_bldg_001497,0.0,,,,,
cand_osm_002131,osm,osm_453940662,379.6668778447625,accepted_new,v10_bldg_001498,0.0,,,,,
cand_osm_000828,osm,osm_261019274,379.0803410620913,accepted_new,v10_bldg_001499,0.0,,,,,
cand_osm_000856,osm,osm_261166373,379.05523270346544,accepted_new,v10_bldg_001500,0.0,,,,,
cand_osm_000101,osm,osm_103159958,378.57593034765193,merged_duplicate,v10_bldg_000531,0.988534180612222,0.658336308973038,0.6634019916939229,1.7842692847687738,0.6710966648447733,v10_bldg_000531
cand_osm_002395,osm,osm_454006160,378.3208735276087,accepted_new,v10_bldg_001501,0.0,,,,,
cand_osm_001139,osm,osm_305931889,378.0245765277,accepted_new,v10_bldg_001502,0.0,,,,,
cand_osm_002401,osm,osm_454006168,376.7962609528874,accepted_new,v10_bldg_001503,0.0,,,,,
cand_osm_002786,osm,osm_504335076,376.1456637491483,accepted_new,v10_bldg_001504,0.0,,,,,
cand_osm_001454,osm,osm_453366957,375.6375633389555,accepted_new,v10_bldg_001505,0.0,,,,,
cand_osm_004623,osm,osm_1222166296,375.4025395117753,accepted_new,v10_bldg_001506,0.0,,,,,
cand_osm_002293,osm,osm_453961436,375.3390279632953,accepted_new,v10_bldg_001507,0.0,,,,,
cand_osm_002772,osm,osm_482052550,374.8885869174136,accepted_new,v10_bldg_001508,0.0,,,,,
cand_osm_001510,osm,osm_453369484,374.71091620605944,accepted_new,v10_bldg_001509,0.0,,,,,
cand_osm_002100,osm,osm_453937010,372.518728680016,accepted_new,v10_bldg_001510,0.0,,,,,
cand_osm_002663,osm,osm_455153928,372.49848219806347,accepted_new,v10_bldg_001511,0.0,,,,,
cand_osm_001448,osm,osm_453366950,372.4523117051681,accepted_new,v10_bldg_001512,0.0,,,,,
cand_osm_001676,osm,osm_453477091,371.71891372944,accepted_new,v10_bldg_001513,0.0,,,,,
cand_osm_000854,osm,osm_261166371,369.7889393058531,accepted_new,v10_bldg_001514,0.0,,,,,
cand_osm_002104,osm,osm_453940614,369.434029118188,accepted_new,v10_bldg_001515,0.0,,,,,
cand_osm_001613,osm,osm_453470887,369.3087561874121,accepted_new,v10_bldg_001516,0.0,,,,,
cand_osm_001548,osm,osm_453380666,368.6072220454214,accepted_new,v10_bldg_001517,0.0,,,,,
cand_osm_001015,osm,osm_271791523,368.10009791318816,accepted_new,v10_bldg_001518,0.0,,,,,
cand_osm_001656,osm,osm_453477055,368.0653689144146,accepted_new,v10_bldg_001519,0.0,,,,,
cand_osm_001796,osm,osm_453592414,367.9341627419245,accepted_new,v10_bldg_001520,0.0,,,,,
cand_osm_001223,osm,osm_327714435,367.907210692615,accepted_new,v10_bldg_001521,0.0,,,,,
cand_osm_005111,osm,osm_1468129208,367.7654686412566,merged_duplicate,v10_bldg_000666,0.8756969444871318,0.7403475035497014,0.8272875962766987,2.0057069355556245,0.9447190623249405,v10_bldg_000666
cand_osm_000093,osm,osm_103158981,367.2650837102583,merged_duplicate,v10_bldg_000540,1.0,0.6983197037310498,0.6983197037310498,0.24890270276977802,0.6983197037310498,v10_bldg_000540
cand_osm_002418,osm,osm_454179560,367.22682929747157,accepted_new,v10_bldg_001522,0.0,,,,,
cand_osm_002016,osm,osm_453793332,367.0083265532998,accepted_new,v10_bldg_001523,0.0,,,,,
cand_osm_001528,osm,osm_453378350,366.98876752620276,accepted_new,v10_bldg_001524,0.0,,,,,
cand_osm_000539,osm,osm_170402319,366.15659374205023,merged_duplicate,v10_bldg_000557,0.9999999983337753,0.9999999967055809,0.9999999983718056,3.156745129111345e-08,1.0000000000380302,v10_bldg_000557
cand_osm_000938,osm,osm_261170731,365.2917813181531,accepted_new,v10_bldg_001525,0.0,,,,,
cand_osm_003134,osm,osm_727262794,364.9462160972744,accepted_new,v10_bldg_001526,0.0,,,,,
cand_osm_001800,osm,osm_453592418,364.67000093673164,accepted_new,v10_bldg_001527,0.0,,,,,
cand_osm_001437,osm,osm_453366934,364.5714541517305,accepted_new,v10_bldg_001528,0.0,,,,,
cand_osm_001325,osm,osm_439331272,364.2962491996446,merged_duplicate,v10_bldg_000669,0.9974063519382651,0.9829076364070894,0.9854263326141279,0.028060699952110642,0.9879888279226854,v10_bldg_000669
cand_osm_001467,osm,osm_453369377,363.90423388308255,accepted_new,v10_bldg_001529,0.0,,,,,
cand_osm_002479,osm,osm_454226382,363.6315929177919,accepted_new,v10_bldg_001530,0.0,,,,,
cand_osm_001372,osm,osm_439331513,363.4586279085114,merged_duplicate,v10_bldg_000576,0.6743878149189027,0.6743807508478645,0.9999844677836184,0.7153913558187918,1.4828032856789823,v10_bldg_000576
cand_osm_001110,osm,osm_287647020,363.19201104520414,accepted_new,v10_bldg_001531,0.0,,,,,
cand_osm_001060,osm,osm_287646955,362.6087955630776,accepted_new,v10_bldg_001532,0.0,,,,,
cand_osm_005163,osm,osm_1480682836,362.2458987668487,accepted_new,v10_bldg_001533,0.0,,,,,
cand_osm_001998,osm,osm_453793310,361.76670700807597,accepted_new,v10_bldg_001534,0.0,,,,,
cand_osm_000793,osm,osm_261019199,361.4231549313281,accepted_new,v10_bldg_001535,0.0,,,,,
cand_osm_002753,osm,osm_481628665,360.94203570955256,accepted_new,v10_bldg_001536,0.0,,,,,
cand_osm_001741,osm,osm_453520191,360.80515694306087,accepted_new,v10_bldg_001537,0.0,,,,,
cand_osm_002540,osm,osm_455066672,360.3270785779746,accepted_new,v10_bldg_001538,0.0,,,,,
cand_osm_003652,osm,osm_933817025,359.74046458098684,merged_duplicate,v10_bldg_000673,0.8923682581739029,0.8709459887063328,0.9731761207941031,1.0770255826189656,1.0905543892670067,v10_bldg_000673
cand_osm_002219,osm,osm_453956218,359.63146033839837,accepted_new,v10_bldg_001539,0.0,,,,,
cand_osm_004684,osm,osm_1286200865,358.70838884714436,accepted_new,v10_bldg_001540,0.0,,,,,
cand_osm_003424,osm,osm_827610284,358.47636480381067,accepted_new,v10_bldg_001541,0.0,,,,,
cand_osm_002861,osm,osm_552997977,358.24964602122674,merged_duplicate,v10_bldg_000559,0.9999999979933447,0.9999999959489124,0.9999999979555677,3.269622862745757e-08,0.9999999999622229,v10_bldg_000559
cand_osm_002531,osm,osm_455063890,358.0257370417478,accepted_new,v10_bldg_001542,0.0,,,,,
cand_osm_003594,osm,osm_875707793,357.97463633456067,accepted_new,v10_bldg_001543,0.0,,,,,
cand_osm_002377,osm,osm_453978661,357.0847653081074,accepted_new,v10_bldg_001544,0.0,,,,,
