cell_id,hour,typology_label_base,typology_label_overhead,base_tmrt_mean_c,overhead_tmrt_mean_c,delta_overhead_minus_base_tmrt_mean_c,base_tmrt_p75_c,overhead_tmrt_p75_c,delta_overhead_minus_base_tmrt_p75_c,base_tmrt_p90_c,overhead_tmrt_p90_c,delta_overhead_minus_base_tmrt_p90_c,base_tmrt_p95_c,overhead_tmrt_p95_c,delta_overhead_minus_base_tmrt_p95_c,base_tmrt_max_c,overhead_tmrt_max_c,delta_overhead_minus_base_tmrt_max_c,base_delta_tmrt_p90_c,overhead_delta_tmrt_p90_c,delta_overhead_minus_base_delta_tmrt_p90_c,base_m_rad_pct,overhead_m_rad_pct,delta_overhead_minus_base_m_rad_pct,delta_overhead_minus_base_p90,delta_m_rad_pct
TP_0366,15,school_gate_bus_stop_waiting_node,school_gate_bus_stop_waiting_node,58.29876708984375,57.78426742553711,-0.5144996643066406,59.30849838256836,59.221656799316406,-0.08684158325195312,59.585975646972656,59.53022384643555,-0.055751800537109375,59.74245834350586,59.70760345458984,-0.03485488891602273,60.13865661621094,60.13865661621094,0.0,-0.1762638092041015,-0.2029571533203125,-0.026693344116210993,0.5,0.5,0.0,-0.055751800537109375,0.0
TP_0542,15,river_edge_shaded_walkway,river_edge_shaded_walkway,37.96016693115234,37.48344421386719,-0.47672271728514914,36.38128280639648,35.97400665283203,-0.407276153564446,50.729095458984375,39.148250579833984,-11.58084487915039,56.38058853149414,56.22846603393555,-0.15212249755859375,60.7609977722168,60.7609977722168,0.0,-9.033143997192385,-20.584930419921875,-11.55178642272949,0.25,0.25,0.0,-11.58084487915039,0.0
TP_0627,15,street_canyon_wall_adjacent_low_svf,street_canyon_wall_adjacent_low_svf,54.898536682128906,54.898468017578125,-6.866455078125e-05,59.588260650634766,59.588260650634766,0.0,59.93850326538086,59.93613815307617,-0.0023651123046875,60.11610794067383,60.11610794067383,0.0,60.35102844238281,60.35102844238281,0.0,0.1762638092041015,0.2029571533203125,0.026693344116210993,0.625,0.625,0.0,-0.0023651123046875,0.0
TP_0326,15,stable_high_rise_residential_estate,stable_high_rise_residential_estate,46.957332611083984,46.71669006347656,-0.24064254760742188,56.22281646728516,55.94364929199219,-0.27916717529297586,57.98851776123047,57.98851776123047,0.0,60.7007064819336,60.7007064819336,0.0,60.86220932006836,60.86220932006836,0.0,-1.773721694946289,-1.7446632385253906,0.029058456420898438,0.375,0.375,0.0,0.0,0.0
TP_0059,15,open_paved_hardscape_parking_lot,open_paved_hardscape_parking_lot,59.99581146240234,56.77565002441406,-3.220161437988274,60.13153839111328,59.86094665527344,-0.27059173583984375,60.21817779541016,60.00592422485352,-0.21225357055664062,60.265323638916016,60.0940055847168,-0.17131805419921875,60.4014892578125,60.23877334594727,-0.16271591186522727,0.4559383392333984,0.2727432250976562,-0.1831951141357422,0.75,0.75,0.0,-0.21225357055664062,0.0
TP_0835,15,grass_park_green_mixed,grass_park_green_mixed,35.5153923034668,35.5153923034668,0.0,35.520511627197266,35.520511627197266,0.0,35.522274017333984,35.522274017333984,0.0,35.52436447143555,35.52436447143555,0.0,35.524810791015625,35.524810791015625,0.0,-24.239965438842773,-24.210906982421875,0.029058456420898438,0.125,0.125,0.0,0.0,0.0
TP_0565,16,school_gate_road_edge_hot_anchor,school_gate_road_edge_hot_anchor,48.52577972412109,48.51470565795898,-0.011074066162109375,51.37728118896485,51.37728118896485,0.0,51.47970199584961,51.47970199584961,0.0,51.52318954467773,51.52318954467773,0.0,51.60087203979492,51.59041595458984,-0.01045608520508523,0.7850875854492188,0.8231525421142578,0.03806495666503906,0.875,0.875,0.0,0.0,0.0
TP_0986,16,low_rise_residential_null_control,low_rise_residential_null_control,48.35227584838867,48.35227584838867,0.0,51.519752502441406,51.519752502441406,0.0,51.617000579833984,51.617000579833984,0.0,51.64312362670898,51.64312362670898,0.0,51.73898315429688,51.73898315429688,0.0,0.9223861694335938,0.9604511260986328,0.03806495666503906,1.0,1.0,0.0,0.0,0.0
TP_0366,16,school_gate_bus_stop_waiting_node,school_gate_bus_stop_waiting_node,49.14167022705078,48.664546966552734,-0.4771232604980469,50.21564102172852,50.13271331787109,-0.08292770385743609,50.52740478515625,50.4512939453125,-0.07611083984375,50.69112396240234,50.65715408325195,-0.03396987915038352,51.05937576293945,51.05937576293945,0.0,-0.1672096252441406,-0.2052555084228515,-0.03804588317871091,0.5,0.5,0.0,-0.07611083984375,0.0
TP_0542,16,river_edge_shaded_walkway,river_edge_shaded_walkway,35.2979850769043,35.257110595703125,-0.040874481201171875,34.45002746582031,34.348358154296875,-0.1016693115234375,35.83605194091797,35.672447204589844,-0.163604736328125,47.38528823852539,47.27739715576172,-0.10789108276367188,51.76914978027344,51.76914978027344,0.0,-14.858562469482422,-14.984102249145508,-0.12553977966308594,0.25,0.25,0.0,-0.163604736328125,0.0
TP_0627,16,street_canyon_wall_adjacent_low_svf,street_canyon_wall_adjacent_low_svf,45.90528106689453,45.90522003173828,-6.103515625e-05,50.48138046264648,50.48138046264648,0.0,50.86182403564453,50.8618049621582,-1.9073486328125e-05,51.05247116088867,51.05202102661133,-0.00045013427734375,51.31413650512695,51.31413650512695,0.0,0.1672096252441406,0.2052555084228515,0.03804588317871091,0.625,0.625,0.0,-1.9073486328125e-05,0.0
TP_0326,16,stable_high_rise_residential_estate,stable_high_rise_residential_estate,39.777225494384766,39.573951721191406,-0.20327377319335938,46.13737869262695,45.827186584472656,-0.3101921081542969,48.77465057373047,48.77465057373047,0.0,51.70894241333008,51.70894241333008,0.0,51.87575912475586,51.87575912475586,0.0,-1.9199638366699217,-1.8818988800048828,0.03806495666503884,0.375,0.375,0.0,0.0,0.0
TP_0059,16,open_paved_hardscape_parking_lot,open_paved_hardscape_parking_lot,50.93610000610352,48.38574981689453,-2.5503501892089915,51.08073425292969,50.80424499511719,-0.2764892578125,51.179500579833984,50.961875915527344,-0.21762466430664062,51.2299690246582,51.05080032348633,-0.179168701171875,51.38248062133789,51.20589447021485,-0.17658615112303977,0.4848861694335937,0.3053264617919922,-0.1795597076416015,0.75,0.75,0.0,-0.21762466430664062,0.0
TP_0835,16,grass_park_green_mixed,grass_park_green_mixed,34.29240036010742,34.29240036010742,0.0,34.296504974365234,34.296504974365234,0.0,34.29826736450195,34.29826736450195,0.0,34.29981231689453,34.29981231689453,0.0,34.30018615722656,34.30018615722656,0.0,-16.396347045898438,-16.3582820892334,0.03806495666503906,0.125,0.125,0.0,0.0,0.0
