run_id,cell_id,scenario,hour,tmrt_output_path,n_pixels,valid_pixel_count,tmrt_mean_c,tmrt_p50_c,tmrt_p75_c,tmrt_p90_c,tmrt_p95_c,tmrt_max_c,pct_pixels_tmrt_ge_40,pct_pixels_tmrt_ge_45,pct_pixels_tmrt_ge_50,pct_pixels_tmrt_ge_55,hour_sgt,source_run_id,selection_status,reuse_existing_n24_label,source,target_version,reference_domain_version
v12_n150_overhead_TP_0020_h12,TP_0020,overhead_as_canopy,12,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n150_tiles\TP_0020\solweig_overhead_as_canopy\solweig_outputs_h12\Tmrt_average.tif,2500,2500,53.21860122680664,60.03109359741211,62.30289077758789,62.3538932800293,62.35667419433594,62.38705062866211,83.96000000000001,64.16,64.16,64.16,12,v12_n150_overhead_TP_0020_h12,selected_new,False,solweig_b7_new,systemb_target_family_v0_1_b5,n150_training_future
v12_n150_overhead_TP_0020_h13,TP_0020,overhead_as_canopy,13,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n150_tiles\TP_0020\solweig_overhead_as_canopy\solweig_outputs_h13\Tmrt_average.tif,2500,2500,53.5468864440918,58.86711120605469,62.40886306762695,62.61883544921875,62.62423324584961,62.62423324584961,84.32,67.80000000000001,67.80000000000001,67.75999999999999,13,v12_n150_overhead_TP_0020_h13,selected_new,False,solweig_b7_new,systemb_target_family_v0_1_b5,n150_training_future
v12_n150_overhead_TP_0020_h15,TP_0020,overhead_as_canopy,15,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n150_tiles\TP_0020\solweig_overhead_as_canopy\solweig_outputs_h15\Tmrt_average.tif,2500,2500,48.22040557861328,53.183406829833984,60.36929321289063,60.84413528442383,60.864105224609375,60.864105224609375,56.24,50.84,50.84,38.04,15,v12_n150_overhead_TP_0020_h15,selected_new,False,solweig_b7_new,systemb_target_family_v0_1_b5,n150_training_future
v12_n150_overhead_TP_0020_h16,TP_0020,overhead_as_canopy,16,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n150_tiles\TP_0020\solweig_overhead_as_canopy\solweig_outputs_h16\Tmrt_average.tif,2500,2500,40.982460021972656,35.869224548339844,51.323997497558594,51.8553352355957,51.87765121459961,51.87765121459961,39.36,38.4,25.88,0.0,16,v12_n150_overhead_TP_0020_h16,selected_new,False,solweig_b7_new,systemb_target_family_v0_1_b5,n150_training_future
v12_n150_base_TP_0023_h10,TP_0023,base,10,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n150_tiles\TP_0023\solweig_base\solweig_outputs_h10\Tmrt_average.tif,2500,2500,37.06184387207031,33.7425651550293,42.31682205200195,44.306732177734375,46.242706298828125,46.6167106628418,36.56,8.959999999999999,0.0,0.0,10,v12_n150_base_TP_0023_h10,selected_new,False,solweig_b7_new,systemb_target_family_v0_1_b5,n150_training_future
v12_n150_base_TP_0023_h12,TP_0023,base,12,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n150_tiles\TP_0023\solweig_base\solweig_outputs_h12\Tmrt_average.tif,2500,2500,47.166595458984375,40.40595245361328,59.46603393554688,60.7532844543457,62.08124542236328,62.34739303588867,51.64,43.8,43.64,43.64,12,v12_n150_base_TP_0023_h12,selected_new,False,solweig_b7_new,systemb_target_family_v0_1_b5,n150_training_future
v12_n150_base_TP_0023_h13,TP_0023,base,13,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n150_tiles\TP_0023\solweig_base\solweig_outputs_h13\Tmrt_average.tif,2500,2500,46.65172958374024,40.18206787109375,58.558067321777344,60.4276008605957,62.27213668823242,62.61883163452149,51.04,42.36,42.36,41.84,13,v12_n150_base_TP_0023_h13,selected_new,False,solweig_b7_new,systemb_target_family_v0_1_b5,n150_training_future
v12_n150_base_TP_0023_h15,TP_0023,base,15,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n150_tiles\TP_0023\solweig_base\solweig_outputs_h15\Tmrt_average.tif,2500,2500,44.39265823364258,38.43046951293945,55.470458984375,58.221954345703125,60.56060409545898,60.8446044921875,42.08,37.36,37.36,28.44,15,v12_n150_base_TP_0023_h15,selected_new,False,solweig_b7_new,systemb_target_family_v0_1_b5,n150_training_future
v12_n150_base_TP_0023_h16,TP_0023,base,16,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n150_tiles\TP_0023\solweig_base\solweig_outputs_h16\Tmrt_average.tif,2500,2500,39.247684478759766,35.40073013305664,46.33180618286133,49.11055374145508,51.552059173583984,51.85580062866211,31.680000000000003,30.72,8.959999999999999,0.0,16,v12_n150_base_TP_0023_h16,selected_new,False,solweig_b7_new,systemb_target_family_v0_1_b5,n150_training_future
v12_n150_overhead_TP_0023_h10,TP_0023,overhead_as_canopy,10,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n150_tiles\TP_0023\solweig_overhead_as_canopy\solweig_outputs_h10\Tmrt_average.tif,2500,2500,36.74210357666016,33.65577697753906,42.05956268310547,44.306732177734375,46.242706298828125,46.6167106628418,33.239999999999995,8.959999999999999,0.0,0.0,10,v12_n150_overhead_TP_0023_h10,selected_new,False,solweig_b7_new,systemb_target_family_v0_1_b5,n150_training_future
