cell_id,hazard_score_base_v10,rank_base_v10_hazard_score,hazard_score_overhead_sens,rank_overhead_sens_hazard_score,rank_change_base_minus_overhead,score_change_overhead_minus_base,overhead_fraction_total,overhead_shade_proxy,pedestrian_shelter_fraction,transport_deck_fraction,overhead_confounding_flag,overhead_interpretation
TP_0450,0.4763985901318939,371.0,0.4847749950272659,334.0,37.0,0.008376404895372003,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0560,0.4941829531573662,348.0,0.4978841772438679,320.0,28.0,0.0037012240865016977,0.0084628552834444,0.0072795421890017,0.0066665637726244,0.0017962915108199,clean_or_minor,minor_or_none
TP_0285,0.4794477208635373,368.0,0.487128579231289,331.0,37.0,0.007680858367751675,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0701,0.3515242306580435,550.0,0.3535256260610229,528.0,22.0,0.002001395402979389,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0353,0.3360268783560621,572.0,0.3440183841981704,544.0,28.0,0.007991505842108282,0.0114061381881703,0.0102655243693533,0.0114061381881703,0.0,clean_or_minor,minor_or_none
TP_0201,0.6248412379204104,152.0,0.6256762598298631,134.0,18.0,0.0008350219094527267,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0392,0.4476566816404736,411.0,0.4514970718103112,382.0,29.0,0.0038403901698375598,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0048,0.4435984703828314,418.0,0.4446870013012887,390.0,28.0,0.0010885309184572867,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0291,0.4975050658518103,339.0,0.4859731586215629,333.0,6.0,-0.01153190723024744,0.0391938944943652,0.0352745050449287,0.0391938944943652,0.0,moderate_confounding,pedestrian_shelter_shade
TP_0261,0.4089743720463484,472.0,0.4084776691769695,451.0,21.0,-0.0004967028693789177,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0729,0.4745451869306321,375.0,0.4800385755381678,343.0,32.0,0.005493388607535732,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0624,0.4242634762762018,448.0,0.4238145820433058,425.0,23.0,-0.00044889423289601327,0.0074679678196371,0.0067211710376734,0.0074679678196371,0.0,clean_or_minor,minor_or_none
TP_0599,0.3594602671884347,537.0,0.3676400822857237,506.0,31.0,0.00817981509728899,0.0055125432124932,0.0041344074093699,0.0,0.0055125432124932,clean_or_minor,minor_or_none
TP_0932,0.6182354286310638,160.0,0.6234217733771699,135.0,25.0,0.00518634474610602,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0257,0.338603130702909,569.0,0.3319658523861116,566.0,3.0,-0.00663727831679739,0.0627907184074936,0.0490263704394923,0.0128888775591476,0.0499018408483459,moderate_confounding,transport_deck_or_viaduct
TP_0037,0.5638911182389579,236.0,0.452688891879538,381.0,-145.0,-0.1112022263594199,0.2178881634841498,0.1960993471357348,0.2178881634841498,0.0,major_confounding,pedestrian_shelter_shade
TP_0642,0.6548992093170541,99.0,0.6574199745616441,83.0,16.0,0.0025207652445899953,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0360,0.34608379511945,560.0,0.351568582451569,530.0,30.0,0.0054847873321190455,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0673,0.6533541815420701,101.0,0.6502286745712059,93.0,8.0,-0.0031255069708642225,0.0116736883235821,0.0105063194912239,0.0116736883235821,0.0,clean_or_minor,minor_or_none
TP_0968,0.4165803678183525,465.0,0.3896018788390502,478.0,-13.0,-0.02697848897930233,0.073742939608079,0.0647562867996131,0.0647137300611972,0.0090292095468817,moderate_confounding,pedestrian_shelter_shade
TP_0601,0.6527255080002393,102.0,0.6047134895786194,161.0,-59.0,-0.04801201842161995,0.119736902863797,0.0908127042211412,0.0067335138219563,0.1130033890418407,major_confounding,transport_deck_or_viaduct
TP_0475,0.3554617386467698,541.0,0.3444422346161234,542.0,-1.0,-0.011019504030646388,0.0612760540458388,0.0468247587063481,0.0173543634393808,0.0439216906064579,moderate_confounding,transport_deck_or_viaduct
TP_0793,0.462385014667645,387.0,0.3878982720697628,482.0,-95.0,-0.07448674259788218,0.2105857869889442,0.166956627957392,0.0240187719548249,0.1865670150341193,major_confounding,mixed_pedestrian_and_transport_overhead
TP_0204,0.4657864314143926,381.0,0.468906228037822,355.0,26.0,0.003119796623429427,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0164,0.4650919243494725,382.0,0.4694388802160185,353.0,29.0,0.004346955866545987,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0100,0.42089828021559,456.0,0.4191078679194329,433.0,23.0,-0.0017904122961571178,0.0017232444034343,0.0015509199630908,0.0017232444034343,0.0,clean_or_minor,minor_or_none
TP_0905,0.6021788948893272,178.0,0.6107034132245053,148.0,30.0,0.008524518335178088,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0633,0.32032212409605,598.0,0.3324809386355947,565.0,33.0,0.012158814539544704,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0865,0.4747143929304813,374.0,0.4635760408427814,362.0,12.0,-0.011138352087699865,0.0263146753866196,0.0236832078479576,0.0263146753866196,0.0,moderate_confounding,pedestrian_shelter_shade
TP_0223,0.4629982801277819,384.0,0.4719567719517583,350.0,34.0,0.0089584918239764,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0194,0.4625597207157248,386.0,0.4670882581080732,357.0,29.0,0.004528537392348375,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0769,0.462211953438242,388.0,0.4607538996536671,367.0,21.0,-0.0014580537845749197,0.0106995413077403,0.0096295871769663,0.0106995413077403,0.0,clean_or_minor,minor_or_none
TP_0692,0.3717545239209835,519.0,0.3785205020097097,494.0,25.0,0.006765978088726199,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0307,0.4619157270057937,390.0,0.4701142982382925,352.0,38.0,0.008198571232498786,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0672,0.6472804946791506,113.0,0.6481517723237245,96.0,17.0,0.0008712776445738424,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0643,0.6466531572701412,114.0,0.6501167875783715,94.0,20.0,0.003463630308230381,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0365,0.365317010344397,526.0,0.3551238537115176,525.0,1.0,-0.010193156632879397,0.061292450557328,0.046653178166014,0.0136768049603599,0.047615645596968,moderate_confounding,transport_deck_or_viaduct
TP_0974,0.4961573254312094,346.0,0.2558421516760977,687.0,-341.0,-0.2403151737551117,0.7421723541051265,0.5937378832841012,0.0,0.7421723541051265,major_confounding,transport_deck_or_viaduct
TP_0240,0.3585821176051454,538.0,0.3494938864251328,536.0,2.0,-0.009088231180012618,0.0351794981771313,0.0316615483594181,0.0351794981771313,0.0,moderate_confounding,pedestrian_shelter_shade
TP_0414,0.3164330219508779,601.0,0.3317964606907133,568.0,33.0,0.015363438739835367,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0591,0.4316733383173718,434.0,0.421341521944206,430.0,4.0,-0.010331816373165825,0.130282681847701,0.0977120113857757,0.0,0.130282681847701,major_confounding,transport_deck_or_viaduct
TP_0963,0.4056756901836037,477.0,0.4144389135099351,442.0,35.0,0.008763223326331393,0.0102803217488771,0.0092522895739894,0.0102803217488771,0.0,clean_or_minor,minor_or_none
TP_0186,0.4436192865707728,417.0,0.397531502080157,466.0,-49.0,-0.046087784490615846,0.1192955358765677,0.0922586389882525,0.0348800011456423,0.0844155347309254,major_confounding,mixed_pedestrian_and_transport_overhead
TP_0007,0.3620057202755105,531.0,0.3686732409228447,504.0,27.0,0.006667520647334224,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0273,0.4804507507489092,365.0,0.4922685402552482,326.0,39.0,0.011817789506338994,0.0009271814741047,0.0008344633266943,0.0009271814741047,0.0,clean_or_minor,minor_or_none
TP_0470,0.3535547070959063,546.0,0.3557583756953183,524.0,22.0,0.002203668599412012,0.0160943442024828,0.0144849097822345,0.0160943442024828,0.0,clean_or_minor,minor_or_none
TP_0587,0.4416587736184719,421.0,0.415987139260771,438.0,-17.0,-0.025671634357700868,0.1407175786706099,0.1055381840029574,0.0,0.1407175786706099,major_confounding,transport_deck_or_viaduct
TP_0346,0.4048534396384213,478.0,0.4119023964895265,449.0,29.0,0.0070489568511051814,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0821,0.3678559145842558,522.0,0.368588540074039,505.0,17.0,0.0007326254897832007,0.0108750166509857,0.0097875149858872,0.0108750166509857,0.0,clean_or_minor,minor_or_none
TP_0948,0.4427114491058174,419.0,0.4058047496596134,456.0,-37.0,-0.036906699446204005,0.1355371846201182,0.1016528884650886,0.0,0.1355371846201182,major_confounding,transport_deck_or_viaduct
TP_0178,0.451994448367051,405.0,0.4593327114189215,368.0,37.0,0.007338263051870519,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0002,0.3520619470802976,549.0,0.3633831012171584,512.0,37.0,0.0113211541368608,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0203,0.6008324397134523,180.0,0.6081117062061276,152.0,28.0,0.007279266492675296,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0663,0.3716746074378274,520.0,0.3789759582678838,492.0,28.0,0.007301350830056397,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0403,0.3331811479644854,578.0,0.3309884984034106,571.0,7.0,-0.0021926495610747887,0.0208934678149891,0.0158078039564794,0.0027540619047515,0.0181394059102376,moderate_confounding,minor_or_none
TP_0415,0.3627297211991855,529.0,0.3690719881092589,503.0,26.0,0.006342266910073391,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0659,0.6336397574822079,134.0,0.6398088138788757,106.0,28.0,0.00616905639666776,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0446,0.4470576389922139,413.0,0.4497121695693122,385.0,28.0,0.002654530577098302,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0385,0.3295067184575821,584.0,0.3439404974915353,545.0,39.0,0.014433779033953209,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0412,0.4166382398931236,462.0,0.4202895197620273,431.0,31.0,0.0036512798689036785,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0253,0.3352760183705741,573.0,0.3419176824376906,549.0,24.0,0.006641664067116526,0.0497229364895686,0.0447506428406117,0.0497229364895686,0.0,moderate_confounding,pedestrian_shelter_shade
TP_0288,0.5728736631808118,224.0,0.576635621925818,203.0,21.0,0.0037619587450061776,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0363,0.3034215276244117,620.0,0.3186696478269413,586.0,34.0,0.01524812020252958,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0115,0.5226846113219041,296.0,0.5325222764573349,264.0,32.0,0.009837665135430718,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0743,0.4426141866955339,420.0,0.4396724084790973,400.0,20.0,-0.002941778216436597,0.0061322826001183,0.0055190543401064,0.0061322826001183,0.0,clean_or_minor,minor_or_none
