model_name,event_target,output_kind,output_id,validation_method,operating_point,station_id,focus_station_flag,threshold_mean,n,event_count,observed_event_rate,mean_output_value,probability_bias,Brier,TP,FP,FN,TN,precision,recall,F1,CSI,false_alarm_ratio,miss_rate
M7_compact_weather_ridge,ge31,probability,logistic_score_hour_diagnostic,station_grouped_loso,recall_90,S180,False,0.16000000000000003,62,9,0.14516129032258066,0.12067812699634661,-0.024483163326234042,0.04199653869267591,9,5,0,48,0.6428571428571429,1.0,0.782608695652174,0.6428571428571429,0.35714285714285715,0.0
M7_compact_weather_ridge,ge31,probability,logistic_score_hour_diagnostic,station_grouped_loso,recall_90,S184,False,0.16000000000000003,62,6,0.0967741935483871,0.12272716992671276,0.025952976378325665,0.05610623468300564,5,8,1,48,0.38461538461538464,0.8333333333333334,0.5263157894736842,0.35714285714285715,0.6153846153846154,0.16666666666666666
M7_compact_weather_ridge,ge31,probability,logistic_score_hour_diagnostic,station_grouped_loso,recall_90,S187,False,0.16000000000000003,62,8,0.12903225806451613,0.12097607968328342,-0.00805617838123271,0.04288943879580517,7,6,1,48,0.5384615384615384,0.875,0.6666666666666667,0.5,0.46153846153846156,0.125
M7_compact_weather_ridge,ge31,probability,logistic_score_only,station_grouped_loso,best_F1,S124,False,0.33999999999999997,62,0,0.0,0.13418632605796774,0.13418632605796774,0.07827065718811702,0,11,0,51,0.0,,,0.0,1.0,
M7_compact_weather_ridge,ge31,probability,logistic_score_only,station_grouped_loso,best_F1,S125,False,0.32000000000000006,62,8,0.12903225806451613,0.12165394807385913,-0.0073783099906570004,0.05902325367156275,5,4,3,50,0.5555555555555556,0.625,0.5882352941176471,0.4166666666666667,0.4444444444444444,0.375
M7_compact_weather_ridge,ge31,probability,logistic_score_only,station_grouped_loso,best_F1,S126,False,0.32000000000000006,62,8,0.12903225806451613,0.11815979559312864,-0.010872462471387484,0.06476383250752589,6,4,2,50,0.6,0.75,0.6666666666666665,0.5,0.4,0.25
M7_compact_weather_ridge,ge31,probability,logistic_score_only,station_grouped_loso,best_F1,S127,False,0.32000000000000006,62,10,0.16129032258064516,0.1285123989669926,-0.03277792361365256,0.04086274135108537,9,2,1,50,0.8181818181818182,0.9,0.8571428571428572,0.75,0.18181818181818182,0.1
M7_compact_weather_ridge,ge31,probability,logistic_score_only,station_grouped_loso,best_F1,S128,False,0.3099999999999999,62,11,0.1774193548387097,0.11632233788886247,-0.06109701694984722,0.05691945308634249,9,1,2,50,0.9,0.8181818181818182,0.8571428571428572,0.75,0.1,0.18181818181818182
M7_compact_weather_ridge,ge31,probability,logistic_score_only,station_grouped_loso,best_F1,S129,False,0.33999999999999997,62,10,0.16129032258064516,0.12267507914578203,-0.038615243434863125,0.04747375589927535,7,2,3,50,0.7777777777777778,0.7,0.7368421052631577,0.5833333333333334,0.2222222222222222,0.3
M7_compact_weather_ridge,ge31,probability,logistic_score_only,station_grouped_loso,best_F1,S130,False,0.32999999999999985,62,6,0.0967741935483871,0.12141945721346409,0.024645263665076994,0.0530966105145857,6,4,0,52,0.6,1.0,0.7499999999999999,0.6,0.4,0.0
M7_compact_weather_ridge,ge31,probability,logistic_score_only,station_grouped_loso,best_F1,S132,False,0.3000000000000001,62,9,0.14516129032258066,0.11948430734877889,-0.025676982973801762,0.04423476434957735,8,3,1,50,0.7272727272727273,0.8888888888888888,0.7999999999999999,0.6666666666666666,0.2727272727272727,0.1111111111111111
M7_compact_weather_ridge,ge31,probability,logistic_score_only,station_grouped_loso,best_F1,S135,False,0.3099999999999999,62,11,0.1774193548387097,0.10506957332943657,-0.07234978150927311,0.074060934672117,8,1,3,50,0.8888888888888888,0.7272727272727273,0.7999999999999999,0.6666666666666666,0.1111111111111111,0.2727272727272727
M7_compact_weather_ridge,ge31,probability,logistic_score_only,station_grouped_loso,best_F1,S137,False,0.3099999999999999,62,13,0.20967741935483872,0.11735744559644416,-0.09231997375839456,0.0954650322200374,8,2,5,47,0.8,0.6153846153846154,0.6956521739130435,0.5333333333333333,0.2,0.38461538461538464
M7_compact_weather_ridge,ge31,probability,logistic_score_only,station_grouped_loso,best_F1,S139,True,0.32999999999999985,62,1,0.016129032258064516,0.1541885545771091,0.13805952231904456,0.09528911649891438,1,10,0,51,0.09090909090909091,1.0,0.16666666666666669,0.09090909090909091,0.9090909090909091,0.0
