target,model,feature_set,split_family,MAE,RMSE,R2,bias,median_abs_error,p90_abs_error,spearman,pearson,improvement_over_featureless_MAE,n_folds,n_test_rows,is_candidate_model,is_best_non_featureless_by_mae,model_card_interpretation
tmrt_p90_c,extra_trees,physical_core,feature_bin_holdout,6.779235831674669,7.579683865428923,0.1742066512676753,1.2507658676113829,6.133633588798135,11.896429920366838,0.3742500406400462,0.4447931269346445,1.290479198080933,10,3480,True,True,secondary_absolute_tmrt_diagnostic
tmrt_p90_c,random_forest,physical_core,feature_bin_holdout,6.838085423874658,7.639735892906096,0.1612230955645393,1.2934719292123054,6.121761568547827,11.9099452618539,0.3360481511575395,0.4234931512650749,1.2316296058809444,10,3480,False,False,secondary_absolute_tmrt_diagnostic
tmrt_p90_c,hist_gradient_boosting,physical_core,feature_bin_holdout,6.895755447052743,7.702073595985064,0.153089451452848,1.306245782227076,6.193845801019458,11.970795885499587,0.358936548942334,0.4182554074376378,1.1739595827028595,10,3480,False,False,secondary_absolute_tmrt_diagnostic
tmrt_p90_c,featureless_mean,physical_core,feature_bin_holdout,8.069715029755603,9.27812117470065,-0.1640080748582808,1.7354806106384282,7.561557770531261,14.041751034298668,,,0.0,10,3480,False,False,secondary_absolute_tmrt_diagnostic
tmrt_p90_c,elasticnet,physical_core,feature_bin_holdout,12.050984190597548,20.4151949173343,-24.50469149214142,2.487987228955192,7.57756608255375,22.90669261600463,0.2825560723212478,0.3544733177466699,-3.9812691608419457,10,3480,False,False,secondary_absolute_tmrt_diagnostic
tmrt_p90_c,ridge,physical_core,feature_bin_holdout,12.343207748457504,21.516213967024704,-30.974263053083085,3.058319379866364,7.26978915926284,23.49214542861433,0.297441729104889,0.3584627937871324,-4.273492718701904,10,3480,False,False,secondary_absolute_tmrt_diagnostic
tmrt_p90_c,extra_trees,physical_core,hour_holdout,7.456524166107178,7.648623183686857,-3.087512299652647,-1.7763568394002506e-16,7.729691106074151,8.333332520842552,0.96350445854026,0.9749952793512388,1.2273439435831703,5,1500,True,True,secondary_absolute_tmrt_diagnostic
tmrt_p90_c,hist_gradient_boosting,physical_core,hour_holdout,7.456525051639349,7.657228201599048,-3.090817311677597,-5.749775766616949e-10,7.745862778423593,8.336345235110244,0.964035144759643,0.9749205157186605,1.2273430580509994,5,1500,False,False,secondary_absolute_tmrt_diagnostic
tmrt_p90_c,elasticnet,physical_core,hour_holdout,7.460768492274042,7.684049424300221,-3.1016641778194307,1.953992523340276e-15,7.710855595508272,8.880918162608348,0.75182110198951,0.965852676242394,1.2230996174163062,5,1500,False,False,secondary_absolute_tmrt_diagnostic
tmrt_p90_c,ridge,physical_core,hour_holdout,7.464211983993684,7.693157539346056,-3.104490082892505,3.197442310920451e-15,7.715931779495753,8.925382429714771,0.7574623774701257,0.963583637669403,1.2196561256966638,5,1500,False,False,secondary_absolute_tmrt_diagnostic
tmrt_p90_c,random_forest,physical_core,hour_holdout,7.46649307398931,7.663163562306783,-3.0921198165535,-0.0216473050671334,7.7426862930833265,8.446710382597363,0.923643789386012,0.9739134776077496,1.2173750357010389,5,1500,False,False,secondary_absolute_tmrt_diagnostic
