dataset,model,event_threshold_c,threshold_c,precision,recall,f1,tp,fp,fn,tn,n_pos,n_pred_pos
hourly_max,M3_weather_ridge,31.0,31.5,0.76,0.09313725490196079,0.16593886462882096,19,6,185,1464,204,25
hourly_max,M3_weather_ridge,31.0,31.55,0.75,0.07352941176470588,0.13392857142857142,15,5,189,1465,204,20
hourly_max,M3_weather_ridge,31.0,31.6,0.7222222222222222,0.06372549019607843,0.1171171171171171,13,5,191,1465,204,18
hourly_max,M3_weather_ridge,31.0,31.65,0.6875,0.05392156862745098,0.09999999999999999,11,5,193,1465,204,16
hourly_max,M3_weather_ridge,31.0,31.7,0.7333333333333333,0.05392156862745098,0.1004566210045662,11,4,193,1466,204,15
hourly_max,M3_weather_ridge,31.0,31.75,0.75,0.04411764705882353,0.08333333333333334,9,3,195,1467,204,12
hourly_max,M3_weather_ridge,31.0,31.8,0.7272727272727273,0.0392156862745098,0.07441860465116279,8,3,196,1467,204,11
hourly_max,M3_weather_ridge,31.0,31.85,0.875,0.03431372549019608,0.06603773584905662,7,1,197,1469,204,8
hourly_max,M3_weather_ridge,31.0,31.9,0.8571428571428571,0.029411764705882353,0.05687203791469194,6,1,198,1469,204,7
hourly_max,M3_weather_ridge,31.0,31.95,0.8571428571428571,0.029411764705882353,0.05687203791469194,6,1,198,1469,204,7
hourly_max,M3_weather_ridge,31.0,32.0,1.0,0.029411764705882353,0.05714285714285715,6,0,198,1470,204,6
hourly_max,M3_weather_ridge,31.0,32.05,1.0,0.029411764705882353,0.05714285714285715,6,0,198,1470,204,6
hourly_max,M3_weather_ridge,31.0,32.1,1.0,0.029411764705882353,0.05714285714285715,6,0,198,1470,204,6
hourly_max,M3_weather_ridge,31.0,32.15,1.0,0.029411764705882353,0.05714285714285715,6,0,198,1470,204,6
hourly_max,M3_weather_ridge,31.0,32.2,1.0,0.029411764705882353,0.05714285714285715,6,0,198,1470,204,6
hourly_max,M3_weather_ridge,31.0,32.25,1.0,0.029411764705882353,0.05714285714285715,6,0,198,1470,204,6
hourly_max,M3_weather_ridge,31.0,32.3,1.0,0.029411764705882353,0.05714285714285715,6,0,198,1470,204,6
hourly_max,M3_weather_ridge,31.0,32.35,1.0,0.029411764705882353,0.05714285714285715,6,0,198,1470,204,6
hourly_max,M3_weather_ridge,31.0,32.4,1.0,0.029411764705882353,0.05714285714285715,6,0,198,1470,204,6
hourly_max,M3_weather_ridge,31.0,32.45,1.0,0.029411764705882353,0.05714285714285715,6,0,198,1470,204,6
hourly_max,M3_weather_ridge,31.0,32.5,1.0,0.029411764705882353,0.05714285714285715,6,0,198,1470,204,6
hourly_max,M3_weather_ridge,31.0,32.55,1.0,0.029411764705882353,0.05714285714285715,6,0,198,1470,204,6
hourly_max,M3_weather_ridge,31.0,32.6,1.0,0.029411764705882353,0.05714285714285715,6,0,198,1470,204,6
hourly_max,M3_weather_ridge,31.0,32.65,1.0,0.029411764705882353,0.05714285714285715,6,0,198,1470,204,6
hourly_max,M3_weather_ridge,31.0,32.7,1.0,0.029411764705882353,0.05714285714285715,6,0,198,1470,204,6
hourly_max,M3_weather_ridge,31.0,32.75,1.0,0.029411764705882353,0.05714285714285715,6,0,198,1470,204,6
hourly_max,M3_weather_ridge,31.0,32.8,1.0,0.029411764705882353,0.05714285714285715,6,0,198,1470,204,6
hourly_max,M3_weather_ridge,31.0,32.85,1.0,0.029411764705882353,0.05714285714285715,6,0,198,1470,204,6
hourly_max,M3_weather_ridge,31.0,32.9,1.0,0.029411764705882353,0.05714285714285715,6,0,198,1470,204,6
hourly_max,M3_weather_ridge,31.0,32.95,1.0,0.024509803921568627,0.04784688995215312,5,0,199,1470,204,5
hourly_max,M3_weather_ridge,31.0,33.0,1.0,0.024509803921568627,0.04784688995215312,5,0,199,1470,204,5
hourly_max,M3_weather_ridge,31.0,33.05,1.0,0.014705882352941176,0.028985507246376812,3,0,201,1470,204,3
hourly_max,M3_weather_ridge,31.0,33.1,,0.0,,0,0,204,1470,204,0
hourly_max,M3_weather_ridge,31.0,33.15,,0.0,,0,0,204,1470,204,0
hourly_max,M3_weather_ridge,31.0,33.2,,0.0,,0,0,204,1470,204,0
hourly_max,M3_weather_ridge,31.0,33.25,,0.0,,0,0,204,1470,204,0
hourly_max,M3_weather_ridge,31.0,33.3,,0.0,,0,0,204,1470,204,0
hourly_max,M3_weather_ridge,31.0,33.35,,0.0,,0,0,204,1470,204,0
hourly_max,M3_weather_ridge,31.0,33.4,,0.0,,0,0,204,1470,204,0
hourly_max,M3_weather_ridge,31.0,33.45,,0.0,,0,0,204,1470,204,0
hourly_max,M3_weather_ridge,31.0,33.5,,0.0,,0,0,204,1470,204,0
hourly_max,M3_weather_ridge,31.0,33.55,,0.0,,0,0,204,1470,204,0
hourly_max,M3_weather_ridge,31.0,33.6,,0.0,,0,0,204,1470,204,0
hourly_max,M3_weather_ridge,31.0,33.65,,0.0,,0,0,204,1470,204,0
hourly_max,M3_weather_ridge,31.0,33.7,,0.0,,0,0,204,1470,204,0
hourly_max,M3_weather_ridge,31.0,33.75,,0.0,,0,0,204,1470,204,0
hourly_max,M3_weather_ridge,31.0,33.8,,0.0,,0,0,204,1470,204,0
hourly_max,M3_weather_ridge,31.0,33.85,,0.0,,0,0,204,1470,204,0
hourly_max,M3_weather_ridge,31.0,33.9,,0.0,,0,0,204,1470,204,0
hourly_max,M3_weather_ridge,31.0,33.95,,0.0,,0,0,204,1470,204,0
hourly_max,M3_weather_ridge,31.0,34.0,,0.0,,0,0,204,1470,204,0
hourly_max,M4_inertia_ridge,31.0,27.0,0.28772919605077574,1.0,0.4468784227820372,204,505,0,965,204,709
hourly_max,M4_inertia_ridge,31.0,27.05,0.2935251798561151,1.0,0.45383759733036705,204,491,0,979,204,695
hourly_max,M4_inertia_ridge,31.0,27.1,0.2956521739130435,1.0,0.4563758389261745,204,486,0,984,204,690
hourly_max,M4_inertia_ridge,31.0,27.15,0.2982456140350877,1.0,0.45945945945945943,204,480,0,990,204,684
hourly_max,M4_inertia_ridge,31.0,27.2,0.3022222222222222,1.0,0.4641638225255973,204,471,0,999,204,675
hourly_max,M4_inertia_ridge,31.0,27.25,0.3031203566121842,1.0,0.4652223489167616,204,469,0,1001,204,673
hourly_max,M4_inertia_ridge,31.0,27.3,0.30493273542600896,1.0,0.46735395189003437,204,465,0,1005,204,669
hourly_max,M4_inertia_ridge,31.0,27.35,0.3081570996978852,1.0,0.47113163972286376,204,458,0,1012,204,662
hourly_max,M4_inertia_ridge,31.0,27.4,0.3124042879019908,1.0,0.47607934655775963,204,449,0,1021,204,653
hourly_max,M4_inertia_ridge,31.0,27.45,0.31627906976744186,1.0,0.480565371024735,204,441,0,1029,204,645
hourly_max,M4_inertia_ridge,31.0,27.5,0.32125984251968503,1.0,0.48629320619785454,204,431,0,1039,204,635
hourly_max,M4_inertia_ridge,31.0,27.55,0.3264,1.0,0.49215922798552475,204,421,0,1049,204,625
hourly_max,M4_inertia_ridge,31.0,27.6,0.33116883116883117,1.0,0.4975609756097561,204,412,0,1058,204,616
hourly_max,M4_inertia_ridge,31.0,27.65,0.33607907742998355,1.0,0.5030826140567202,204,403,0,1067,204,607
hourly_max,M4_inertia_ridge,31.0,27.7,0.33774834437086093,1.0,0.504950495049505,204,400,0,1070,204,604
hourly_max,M4_inertia_ridge,31.0,27.75,0.33774834437086093,1.0,0.504950495049505,204,400,0,1070,204,604
hourly_max,M4_inertia_ridge,31.0,27.8,0.34056761268781305,1.0,0.5080946450809465,204,395,0,1075,204,599
hourly_max,M4_inertia_ridge,31.0,27.85,0.34576271186440677,1.0,0.5138539042821159,204,386,0,1084,204,590
hourly_max,M4_inertia_ridge,31.0,27.9,0.3463497453310696,1.0,0.5145018915510718,204,385,0,1085,204,589
hourly_max,M4_inertia_ridge,31.0,27.95,0.3469387755102041,1.0,0.5151515151515151,204,384,0,1086,204,588
hourly_max,M4_inertia_ridge,31.0,28.0,0.34991423670668953,1.0,0.5184243964421855,204,379,0,1091,204,583
hourly_max,M4_inertia_ridge,31.0,28.05,0.35602094240837695,1.0,0.5250965250965252,204,369,0,1101,204,573
hourly_max,M4_inertia_ridge,31.0,28.1,0.35602094240837695,1.0,0.5250965250965252,204,369,0,1101,204,573
hourly_max,M4_inertia_ridge,31.0,28.15,0.3591549295774648,1.0,0.5284974093264249,204,364,0,1106,204,568
