column_name,role,feature_family,non_null_count,missing_fraction,include_in_any_b87f2_feature_set,drop_reason
caveat_flags,feature,other_patch,50,0.9833333333333333,yes,
execution_precheck_status,metadata_or_forbidden,other_patch,1500,0.5,no,forbidden_token:status
b87f2_tv_any_true_vector_source,metadata_or_forbidden,other_patch,3000,0.0,no,forbidden_token:source
b87f2_connected_shade_corridor_explicit_available,feature,pedestrian_overhead_patch,3000,0.0,no,constant_or_empty
b87f2_tree_canopy_true_vector_available,feature,tree_building_patch,3000,0.0,no,constant_or_empty
b87f2_covered_walkway_count_50m,feature,pedestrian_overhead_patch,3000,0.0,yes,
b87f2_covered_walkway_length_proxy_m_50m,feature,pedestrian_overhead_patch,3000,0.0,yes,
b87f2_covered_walkway_density_proxy_50m,feature,pedestrian_overhead_patch,3000,0.0,yes,
b87f2_overhead_count_50m,feature,pedestrian_overhead_patch,3000,0.0,yes,
b87f2_overhead_area_m2_50m,feature,pedestrian_overhead_patch,3000,0.0,yes,
b87f2_overhead_coverage_fraction_50m,feature,pedestrian_overhead_patch,3000,0.0,yes,
b87f2_pedestrian_path_count_50m,metadata_or_forbidden,pedestrian_overhead_patch,3000,0.0,no,forbidden_token:path
b87f2_pedestrian_path_length_m_50m,metadata_or_forbidden,pedestrian_overhead_patch,3000,0.0,no,forbidden_token:path
b87f2_pedestrian_path_density_50m,metadata_or_forbidden,pedestrian_overhead_patch,3000,0.0,no,forbidden_token:path
b87f2_overhead_x_pedestrian_length_50m,feature,pedestrian_overhead_patch,3000,0.0,yes,
b87f2_water_feature_count_50m,feature,water_edge_patch,3000,0.0,yes,
b87f2_water_area_proxy_m2_50m,feature,water_edge_patch,3000,0.0,yes,
b87f2_water_fraction_proxy_50m,feature,water_edge_patch,3000,0.0,yes,
b87f2_building_vector_count_50m,feature,tree_building_patch,3000,0.0,yes,
b87f2_building_vector_area_m2_50m,feature,tree_building_patch,3000,0.0,yes,
b87f2_building_vector_density_50m,feature,tree_building_patch,3000,0.0,yes,
b87f2_building_vector_mean_height_m_50m,feature,tree_building_patch,590,0.8033333333333333,yes,
b87f2_covered_walkway_count_100m,feature,pedestrian_overhead_patch,3000,0.0,yes,
b87f2_covered_walkway_length_proxy_m_100m,feature,pedestrian_overhead_patch,3000,0.0,yes,
b87f2_covered_walkway_density_proxy_100m,feature,pedestrian_overhead_patch,3000,0.0,yes,
b87f2_overhead_count_100m,feature,pedestrian_overhead_patch,3000,0.0,yes,
b87f2_overhead_area_m2_100m,feature,pedestrian_overhead_patch,3000,0.0,yes,
b87f2_overhead_coverage_fraction_100m,feature,pedestrian_overhead_patch,3000,0.0,yes,
b87f2_pedestrian_path_count_100m,metadata_or_forbidden,pedestrian_overhead_patch,3000,0.0,no,forbidden_token:path
b87f2_pedestrian_path_length_m_100m,metadata_or_forbidden,pedestrian_overhead_patch,3000,0.0,no,forbidden_token:path
b87f2_pedestrian_path_density_100m,metadata_or_forbidden,pedestrian_overhead_patch,3000,0.0,no,forbidden_token:path
b87f2_overhead_x_pedestrian_length_100m,feature,pedestrian_overhead_patch,3000,0.0,yes,
b87f2_water_feature_count_100m,feature,water_edge_patch,3000,0.0,yes,
b87f2_water_area_proxy_m2_100m,feature,water_edge_patch,3000,0.0,yes,
b87f2_water_fraction_proxy_100m,feature,water_edge_patch,3000,0.0,yes,
b87f2_building_vector_count_100m,feature,tree_building_patch,3000,0.0,yes,
b87f2_building_vector_area_m2_100m,feature,tree_building_patch,3000,0.0,yes,
b87f2_building_vector_density_100m,feature,tree_building_patch,3000,0.0,yes,
b87f2_building_vector_mean_height_m_100m,feature,tree_building_patch,1150,0.6166666666666667,yes,
b87f2_covered_walkway_count_150m,feature,pedestrian_overhead_patch,3000,0.0,yes,
b87f2_covered_walkway_length_proxy_m_150m,feature,pedestrian_overhead_patch,3000,0.0,yes,
b87f2_covered_walkway_density_proxy_150m,feature,pedestrian_overhead_patch,3000,0.0,yes,
b87f2_overhead_count_150m,feature,pedestrian_overhead_patch,3000,0.0,yes,
b87f2_overhead_area_m2_150m,feature,pedestrian_overhead_patch,3000,0.0,yes,
b87f2_overhead_coverage_fraction_150m,feature,pedestrian_overhead_patch,3000,0.0,yes,
b87f2_pedestrian_path_count_150m,metadata_or_forbidden,pedestrian_overhead_patch,3000,0.0,no,forbidden_token:path
b87f2_pedestrian_path_length_m_150m,metadata_or_forbidden,pedestrian_overhead_patch,3000,0.0,no,forbidden_token:path
b87f2_pedestrian_path_density_150m,metadata_or_forbidden,pedestrian_overhead_patch,3000,0.0,no,forbidden_token:path
b87f2_overhead_x_pedestrian_length_150m,feature,pedestrian_overhead_patch,3000,0.0,yes,
b87f2_water_feature_count_150m,feature,water_edge_patch,3000,0.0,yes,
b87f2_water_area_proxy_m2_150m,feature,water_edge_patch,3000,0.0,yes,
b87f2_water_fraction_proxy_150m,feature,water_edge_patch,3000,0.0,yes,
b87f2_building_vector_count_150m,feature,tree_building_patch,3000,0.0,yes,
b87f2_building_vector_area_m2_150m,feature,tree_building_patch,3000,0.0,yes,
b87f2_building_vector_density_150m,feature,tree_building_patch,3000,0.0,yes,
b87f2_building_vector_mean_height_m_150m,feature,tree_building_patch,1510,0.49666666666666665,yes,
b87f2_covered_walkway_count_250m,feature,pedestrian_overhead_patch,3000,0.0,yes,
b87f2_covered_walkway_length_proxy_m_250m,feature,pedestrian_overhead_patch,3000,0.0,yes,
b87f2_covered_walkway_density_proxy_250m,feature,pedestrian_overhead_patch,3000,0.0,yes,
b87f2_overhead_count_250m,feature,pedestrian_overhead_patch,3000,0.0,yes,
b87f2_overhead_area_m2_250m,feature,pedestrian_overhead_patch,3000,0.0,yes,
b87f2_overhead_coverage_fraction_250m,feature,pedestrian_overhead_patch,3000,0.0,yes,
b87f2_pedestrian_path_count_250m,metadata_or_forbidden,pedestrian_overhead_patch,3000,0.0,no,forbidden_token:path
b87f2_pedestrian_path_length_m_250m,metadata_or_forbidden,pedestrian_overhead_patch,3000,0.0,no,forbidden_token:path
b87f2_pedestrian_path_density_250m,metadata_or_forbidden,pedestrian_overhead_patch,3000,0.0,no,forbidden_token:path
b87f2_overhead_x_pedestrian_length_250m,feature,pedestrian_overhead_patch,3000,0.0,yes,
b87f2_water_feature_count_250m,feature,water_edge_patch,3000,0.0,yes,
b87f2_water_area_proxy_m2_250m,feature,water_edge_patch,3000,0.0,yes,
b87f2_water_fraction_proxy_250m,feature,water_edge_patch,3000,0.0,yes,
b87f2_building_vector_count_250m,feature,tree_building_patch,3000,0.0,yes,
b87f2_building_vector_area_m2_250m,feature,tree_building_patch,3000,0.0,yes,
b87f2_building_vector_density_250m,feature,tree_building_patch,3000,0.0,yes,
b87f2_building_vector_mean_height_m_250m,feature,tree_building_patch,2070,0.31,yes,
b87f2_nearest_covered_walkway_m,feature,pedestrian_overhead_patch,3000,0.0,yes,
b87f2_nearest_overhead_m,feature,pedestrian_overhead_patch,3000,0.0,yes,
b87f2_nearest_pedestrian_path_m,metadata_or_forbidden,pedestrian_overhead_patch,3000,0.0,no,forbidden_token:path
b87f2_nearest_water_m,feature,water_edge_patch,3000,0.0,yes,
b87f2_nearest_building_vector_m,feature,tree_building_patch,3000,0.0,yes,
b87f2_overhead_cell_overlap_proxy_fraction,feature,pedestrian_overhead_patch,3000,0.0,yes,
b87f2_water_edge_caveat_flag,feature,water_edge_patch,3000,0.0,yes,
b87f2_veg_x_building_density,feature,tree_building_patch,3000,0.0,yes,
b87f2_veg_x_building_height,feature,tree_building_patch,3000,0.0,yes,
b87f2_veg_x_svf,feature,tree_building_patch,3000,0.0,yes,
b87f2_shade_x_building_density,feature,tree_building_patch,3000,0.0,yes,
b87f2_tree_building_proxy_strength,feature,tree_building_patch,3000,0.0,yes,
b87f2_overhead_x_vegetation_proxy,feature,pedestrian_overhead_patch,3000,0.0,yes,
b87f2_overhead_x_building_density,feature,pedestrian_overhead_patch,3000,0.0,yes,
b87f2_overhead_x_pedestrian_proxy,feature,pedestrian_overhead_patch,3000,0.0,yes,
b87f2_water_x_open_sky_proxy,feature,water_edge_patch,3000,0.0,yes,
b87f2_water_x_pedestrian_proxy,feature,pedestrian_overhead_patch,3000,0.0,yes,
b87f2_morphology_density_x_height,feature,tree_building_patch,3000,0.0,yes,
b87f2_built_fraction_x_svf_proxy,feature,tree_building_patch,3000,0.0,yes,
b87f2_proxy_only_tree_building_flag,feature,tree_building_patch,3000,0.0,no,constant_or_empty
