sensitivity_id,validation_method,event_target,official_event_threshold_c,companion_id,model_family,output_kind,diagnostic_only,operating_point,threshold_source,status,n_folds_evaluated,threshold,threshold_min,threshold_max,precision,recall,F1,CSI,false_alarm_ratio,miss_rate,TP,FP,FN,TN,n,fold_recall_std,fold_precision_std
all,station_grouped_loso,ge31,31.0,m7_compact_weather_score,M7_compact_weather_ridge,score,False,recall90,train_selected,evaluated_on_heldout,27,29.25,29.25,29.25,0.4921052631578947,0.9166666666666666,0.6404109589041096,0.47103274559193953,0.5078947368421053,0.08333333333333333,187.0,193.0,17.0,1277.0,1674.0,0.07991962430201832,0.21192548077515205
all,station_grouped_loso,ge31,31.0,platt_m4_score_ge31,sklearn_logistic_regression,probability,False,best_F1,train_selected,evaluated_on_heldout,27,0.43999999999999995,0.43,0.45,0.6652360515021459,0.7598039215686274,0.7093821510297483,0.549645390070922,0.33476394849785407,0.24019607843137256,155.0,78.0,49.0,1392.0,1674.0,0.14882541428974747,0.27289512797765647
all,station_grouped_loso,ge31,31.0,platt_m4_score_ge31,sklearn_logistic_regression,probability,False,precision70,train_selected,evaluated_on_heldout,27,0.6751851851851852,0.44,0.73,0.4074074074074074,0.10784313725490197,0.17054263565891473,0.09322033898305085,0.5925925925925926,0.8921568627450981,22.0,32.0,182.0,1438.0,1674.0,0.2665854188705614,0.3471569815251791
all,station_grouped_loso,ge31,31.0,platt_m4_score_ge31,sklearn_logistic_regression,probability,False,recall90,train_selected,evaluated_on_heldout,27,0.29,0.29,0.29,0.5522388059701493,0.9068627450980392,0.6864564007421151,0.5225988700564972,0.44776119402985076,0.09313725490196079,185.0,150.0,19.0,1320.0,1674.0,0.0971997154204919,0.23982118975964908
all,station_grouped_loso,ge31,31.0,prior_l1h2_m4_isotonic,source_a_l1h2_isotonic_score_only,probability,False,best_F1,train_selected,evaluated_on_heldout,27,0.4459259259259259,0.34,0.45,0.6782608695652174,0.7647058823529411,0.7188940092165899,0.5611510791366906,0.3217391304347826,0.23529411764705882,156.0,74.0,48.0,1396.0,1674.0,0.14026166715264068,0.2726803925032969
all,station_grouped_loso,ge31,31.0,prior_l1h2_m4_isotonic,source_a_l1h2_isotonic_score_only,probability,False,precision70,train_selected,evaluated_on_heldout,27,0.6537037037037039,0.45,0.67,0.6727272727272727,0.3627450980392157,0.4713375796178344,0.30833333333333335,0.32727272727272727,0.6372549019607843,74.0,36.0,130.0,1434.0,1674.0,0.2031360072589772,0.30827934801486623
all,station_grouped_loso,ge31,31.0,prior_l1h2_m4_isotonic,source_a_l1h2_isotonic_score_only,probability,False,recall90,train_selected,evaluated_on_heldout,27,0.2122222222222222,0.21,0.27,0.5451977401129944,0.946078431372549,0.6917562724014337,0.5287671232876713,0.4548022598870056,0.05392156862745098,193.0,161.0,11.0,1309.0,1674.0,0.06841577136147403,0.22688519210089467
all,station_grouped_loso,ge31,31.0,v09_proxy_score,M0_raw_proxy,score,False,best_F1,train_selected,evaluated_on_heldout,27,26.850000000000005,26.85,26.85,0.423444976076555,0.8676470588235294,0.5691318327974276,0.39775280898876403,0.5765550239234449,0.1323529411764706,177.0,241.0,27.0,1229.0,1674.0,0.19109835748954748,0.19274981440233724
all,station_grouped_loso,ge31,31.0,v09_proxy_score,M0_raw_proxy,score,False,fixed_31,fixed,evaluated_on_heldout,27,31.0,31.0,31.0,,0.0,,0.0,,1.0,0.0,0.0,204.0,1470.0,1674.0,0.0,
all,station_grouped_loso,ge31,31.0,v09_proxy_score,M0_raw_proxy,score,False,precision70,train_selected,evaluated_on_heldout,27,27.790740740740738,27.75,27.8,0.7087378640776699,0.35784313725490197,0.47557003257328995,0.31196581196581197,0.2912621359223301,0.6421568627450981,73.0,30.0,131.0,1440.0,1674.0,0.21777654292699475,0.3242032729061362
