companion_id,model_family,operating_point,station_id,focus_station_flag,n,event_count_ge31,TP,FP,FN,TN,precision,recall,F1,false_alarm_ratio,miss_rate,mean_output_value,mean_expected_exceedance_ge31_c
wbgt_a_m4_score,M4_inertia_ridge,best_F1,S126,False,62,8,6,2,2,52,0.75,0.75,0.75,0.25,0.25,27.43847835772222,0.08919566540618101
wbgt_a_m4_score,M4_inertia_ridge,best_F1,S127,False,62,10,9,0,1,52,1.0,0.9,0.9473684210526316,0.0,0.1,27.589204317032504,0.12005875098099912
wbgt_a_m4_score,M4_inertia_ridge,best_F1,S128,False,62,11,8,1,3,50,0.8888888888888888,0.7272727272727273,0.7999999999999999,0.1111111111111111,0.2727272727272727,27.471709821657047,0.10361391851435259
wbgt_a_m4_score,M4_inertia_ridge,best_F1,S129,False,62,10,7,1,3,51,0.875,0.7,0.7777777777777777,0.125,0.3,27.608620230064748,0.10267409217676263
wbgt_a_m4_score,M4_inertia_ridge,best_F1,S130,False,62,6,5,3,1,53,0.625,0.8333333333333334,0.7142857142857143,0.375,0.16666666666666666,27.498698037876174,0.11402809472831008
wbgt_a_m4_score,M4_inertia_ridge,best_F1,S132,False,62,9,7,1,2,52,0.875,0.7777777777777778,0.823529411764706,0.125,0.2222222222222222,27.436893177773687,0.09568681415346668
wbgt_a_m4_score,M4_inertia_ridge,best_F1,S135,False,62,11,7,1,4,50,0.875,0.6363636363636364,0.7368421052631579,0.125,0.36363636363636365,27.353662913507637,0.09103077590946063
wbgt_a_m4_score,M4_inertia_ridge,best_F1,S137,False,62,13,6,2,7,47,0.75,0.46153846153846156,0.5714285714285714,0.25,0.5384615384615384,27.510787950783335,0.10644218964300546
wbgt_a_m4_score,M4_inertia_ridge,best_F1,S139,True,62,1,1,8,0,53,0.1111111111111111,1.0,0.19999999999999998,0.8888888888888888,0.0,27.83131119225161,0.11224474738870474
wbgt_a_m4_score,M4_inertia_ridge,best_F1,S140,False,62,4,4,4,0,54,0.5,1.0,0.6666666666666666,0.5,0.0,27.449193793997605,0.09363213526842022
wbgt_a_m4_score,M4_inertia_ridge,best_F1,S141,False,62,10,7,2,3,50,0.7777777777777778,0.7,0.7368421052631577,0.2222222222222222,0.3,27.463268473140474,0.10584264001171449
wbgt_a_m4_score,M4_inertia_ridge,best_F1,S142,True,62,15,8,0,7,47,1.0,0.5333333333333333,0.6956521739130436,0.0,0.4666666666666667,27.49188766029836,0.09251547053085184
wbgt_a_m4_score,M4_inertia_ridge,best_F1,S143,False,62,7,7,3,0,52,0.7,1.0,0.8235294117647058,0.3,0.0,27.445271677830572,0.10468007231569113
wbgt_a_m4_score,M4_inertia_ridge,best_F1,S144,False,62,8,7,2,1,52,0.7777777777777778,0.875,0.823529411764706,0.2222222222222222,0.125,27.589783107457194,0.12394909533697276
wbgt_a_m4_score,M4_inertia_ridge,best_F1,S145,False,62,8,7,1,1,53,0.875,0.875,0.875,0.125,0.125,27.345854832909456,0.09253661635910584
wbgt_a_m4_score,M4_inertia_ridge,best_F1,S146,False,62,3,3,5,0,54,0.375,1.0,0.5454545454545454,0.625,0.0,27.453332773102638,0.09569176276951703
wbgt_a_m4_score,M4_inertia_ridge,best_F1,S147,False,62,10,9,0,1,52,1.0,0.9,0.9473684210526316,0.0,0.1,27.60409872025495,0.12157144850993377
wbgt_a_m4_score,M4_inertia_ridge,best_F1,S148,False,62,5,3,6,2,51,0.3333333333333333,0.6,0.42857142857142855,0.6666666666666666,0.4,27.66011740710261,0.10812414852581541
wbgt_a_m4_score,M4_inertia_ridge,best_F1,S149,False,62,5,4,5,1,52,0.4444444444444444,0.8,0.5714285714285714,0.5555555555555556,0.2,27.663081154960533,0.10907540260645433
wbgt_a_m4_score,M4_inertia_ridge,best_F1,S150,False,62,3,2,6,1,53,0.25,0.6666666666666666,0.36363636363636365,0.75,0.3333333333333333,27.525114530332218,0.11054668292721574
wbgt_a_m4_score,M4_inertia_ridge,best_F1,S151,False,62,9,7,1,2,52,0.875,0.7777777777777778,0.823529411764706,0.125,0.2222222222222222,27.47127575635378,0.09496931996842535
wbgt_a_m4_score,M4_inertia_ridge,best_F1,S153,False,62,7,6,2,1,53,0.75,0.8571428571428571,0.7999999999999999,0.25,0.14285714285714285,27.43457216077793,0.09558584458465486
wbgt_a_m4_score,M4_inertia_ridge,best_F1,S180,False,62,9,8,0,1,53,1.0,0.8888888888888888,0.9411764705882353,0.0,0.1111111111111111,27.445441333438758,0.09739936340840563
wbgt_a_m4_score,M4_inertia_ridge,best_F1,S184,False,62,6,5,4,1,52,0.5555555555555556,0.8333333333333334,0.6666666666666667,0.4444444444444444,0.16666666666666666,27.480060550136887,0.10952723202015846
wbgt_a_m4_score,M4_inertia_ridge,best_F1,S187,False,62,8,7,1,1,53,0.875,0.875,0.875,0.125,0.125,27.51021506392724,0.11173380893192192
wbgt_a_m4_score,M4_inertia_ridge,fixed_31,S124,False,62,0,0,7,0,55,0.0,,,1.0,,27.641790436159532,0.10773295157177701
wbgt_a_m4_score,M4_inertia_ridge,fixed_31,S125,False,62,8,4,2,4,52,0.6666666666666666,0.5,0.5714285714285715,0.3333333333333333,0.5,27.39933263588739,0.10505955855720618
wbgt_a_m4_score,M4_inertia_ridge,fixed_31,S126,False,62,8,5,2,3,52,0.7142857142857143,0.625,0.6666666666666666,0.2857142857142857,0.375,27.43847835772222,0.08919566540618101
wbgt_a_m4_score,M4_inertia_ridge,fixed_31,S127,False,62,10,6,0,4,52,1.0,0.6,0.7499999999999999,0.0,0.4,27.589204317032504,0.12005875098099912
wbgt_a_m4_score,M4_inertia_ridge,fixed_31,S128,False,62,11,6,0,5,51,1.0,0.5454545454545454,0.7058823529411764,0.0,0.45454545454545453,27.471709821657047,0.10361391851435259
wbgt_a_m4_score,M4_inertia_ridge,fixed_31,S129,False,62,10,6,0,4,52,1.0,0.6,0.7499999999999999,0.0,0.4,27.608620230064748,0.10267409217676263
wbgt_a_m4_score,M4_inertia_ridge,fixed_31,S130,False,62,6,4,3,2,53,0.5714285714285714,0.6666666666666666,0.6153846153846153,0.42857142857142855,0.3333333333333333,27.498698037876174,0.11402809472831008
wbgt_a_m4_score,M4_inertia_ridge,fixed_31,S132,False,62,9,6,1,3,52,0.8571428571428571,0.6666666666666666,0.75,0.14285714285714285,0.3333333333333333,27.436893177773687,0.09568681415346668
wbgt_a_m4_score,M4_inertia_ridge,fixed_31,S135,False,62,11,4,1,7,50,0.8,0.36363636363636365,0.5000000000000001,0.2,0.6363636363636364,27.353662913507637,0.09103077590946063
wbgt_a_m4_score,M4_inertia_ridge,fixed_31,S137,False,62,13,6,1,7,48,0.8571428571428571,0.46153846153846156,0.6,0.14285714285714285,0.5384615384615384,27.510787950783335,0.10644218964300546
wbgt_a_m4_score,M4_inertia_ridge,fixed_31,S139,True,62,1,0,7,1,54,0.0,0.0,,1.0,1.0,27.83131119225161,0.11224474738870474
wbgt_a_m4_score,M4_inertia_ridge,fixed_31,S140,False,62,4,4,3,0,55,0.5714285714285714,1.0,0.7272727272727273,0.42857142857142855,0.0,27.449193793997605,0.09363213526842022
wbgt_a_m4_score,M4_inertia_ridge,fixed_31,S141,False,62,10,5,1,5,51,0.8333333333333334,0.5,0.625,0.16666666666666666,0.5,27.463268473140474,0.10584264001171449
wbgt_a_m4_score,M4_inertia_ridge,fixed_31,S142,True,62,15,6,0,9,47,1.0,0.4,0.5714285714285715,0.0,0.6,27.49188766029836,0.09251547053085184
wbgt_a_m4_score,M4_inertia_ridge,fixed_31,S143,False,62,7,5,3,2,52,0.625,0.7142857142857143,0.6666666666666666,0.375,0.2857142857142857,27.445271677830572,0.10468007231569113
wbgt_a_m4_score,M4_inertia_ridge,fixed_31,S144,False,62,8,5,1,3,53,0.8333333333333334,0.625,0.7142857142857143,0.16666666666666666,0.375,27.589783107457194,0.12394909533697276
wbgt_a_m4_score,M4_inertia_ridge,fixed_31,S145,False,62,8,5,1,3,53,0.8333333333333334,0.625,0.7142857142857143,0.16666666666666666,0.375,27.345854832909456,0.09253661635910584
wbgt_a_m4_score,M4_inertia_ridge,fixed_31,S146,False,62,3,2,5,1,54,0.2857142857142857,0.6666666666666666,0.4,0.7142857142857143,0.3333333333333333,27.453332773102638,0.09569176276951703
wbgt_a_m4_score,M4_inertia_ridge,fixed_31,S147,False,62,10,5,0,5,52,1.0,0.5,0.6666666666666666,0.0,0.5,27.60409872025495,0.12157144850993377
wbgt_a_m4_score,M4_inertia_ridge,fixed_31,S148,False,62,5,3,4,2,53,0.42857142857142855,0.6,0.5,0.5714285714285714,0.4,27.66011740710261,0.10812414852581541
wbgt_a_m4_score,M4_inertia_ridge,fixed_31,S149,False,62,5,3,4,2,53,0.42857142857142855,0.6,0.5,0.5714285714285714,0.4,27.663081154960533,0.10907540260645433
wbgt_a_m4_score,M4_inertia_ridge,fixed_31,S150,False,62,3,2,5,1,54,0.2857142857142857,0.6666666666666666,0.4,0.7142857142857143,0.3333333333333333,27.525114530332218,0.11054668292721574
wbgt_a_m4_score,M4_inertia_ridge,fixed_31,S151,False,62,9,6,0,3,53,1.0,0.6666666666666666,0.8,0.0,0.3333333333333333,27.47127575635378,0.09496931996842535
