model,split_type,hour_sgt_numeric,n,bias_pred_minus_obs,mae,official_wbgt_mean,pred_wbgt_mean
M1_global_bias,LOSO,10.75,27,-1.449043794619394,1.45890977587333,29.97037037037037,28.52132657575098
M1_global_bias,LOSO,11.0,27,-1.4915850344814874,1.4915850344814874,30.1,28.608414965518516
M1_global_bias,LOSO,11.25,27,-1.4322905487413513,1.4322905487413513,30.133333333333333,28.701042784591976
M1_global_bias,LOSO,11.5,27,-1.5635975290787656,1.5635975290787656,30.355555555555558,28.79195802647679
M1_global_bias,LOSO,11.75,27,-1.6892083858811826,1.696251580836429,30.570370370370373,28.881161984489193
M1_global_bias,LOSO,12.0,27,-1.6165261351465663,1.6165261351465663,30.58518518518519,28.96865905003862
M1_global_bias,LOSO,12.25,27,-1.6954635729134344,1.6954635729134344,30.57407407407407,28.87861050116064
M1_global_bias,LOSO,12.5,27,-1.9264377421002474,1.95237034703403,30.71481481481481,28.788377072714567
M1_global_bias,LOSO,12.75,27,-2.16501229414596,2.16501229414596,30.86296296296296,28.697950668817004
M1_global_bias,LOSO,13.0,27,-2.337118645216553,2.351946102320452,30.94444444444444,28.60732579922789
M1_global_bias,LOSO,13.25,27,-2.364509302526876,2.364509302526876,31.07407407407408,28.709564771547203
M1_global_bias,LOSO,13.5,27,-2.3167904760333644,2.3167904760333644,31.13333333333333,28.816542857299964
M1_global_bias,LOSO,13.75,27,-2.064364699868382,2.0736082436014733,31.0,28.93563530013162
M1_global_bias,LOSO,14.0,27,-1.5256382951348955,1.6510684756534977,30.62962962962963,29.103991334494733
M1_global_bias,LOSO,14.25,27,-1.7227620142134543,1.7867970276787806,30.56666666666667,28.84390465245321
M1_global_bias,LOSO,14.5,27,-2.000461472099483,2.018301067658782,30.633333333333333,28.632871861233845
M1_global_bias,LOSO,14.75,26,-2.3246926238083403,2.3246926238083403,30.765384615384615,28.440691991576273
M1_global_bias,LOSO,15.0,27,-2.7149375340397635,2.7190516604002393,30.955555555555552,28.240618021515793
M1_global_bias,LOSO,15.25,27,-3.1352130681688712,3.1352130681688712,31.3037037037037,28.168490635534827
M1_global_bias,LOSO,15.5,27,-3.297035161297693,3.297035161297693,31.392592592592592,28.0955574312949
M1_global_bias,LOSO,15.75,27,-3.0671615394966816,3.0671615394966816,31.08888888888889,28.021727349392204
M1_global_bias,LOSO,16.0,27,-2.8753167723317596,2.8753167723317596,30.82222222222222,27.946905449890462
M1_global_bias,LOSO,16.25,27,-2.4330580162243116,2.4330580162243116,30.4037037037037,27.970645687479397
M1_global_bias,LOSO,16.5,27,-1.997830705218433,2.0184914387161474,29.992592592592594,27.994761887374157
M1_global_bias,LOSO,16.75,27,-1.5697711705457056,1.6499354840975458,29.58888888888889,28.019117718343182
M1_global_bias,LOSO,17.0,27,-0.7897282672899103,0.9323436783152443,28.833333333333332,28.043605066043423
M1_global_bias,LOSO,17.25,27,-0.12233449728790691,0.4962052394981253,28.15555555555555,28.03322105826765
M1_global_bias,LOSO,17.5,27,0.29691711979380586,0.4699361231633515,27.72592592592593,28.02284304571973
M1_global_bias,LOSO,17.75,27,0.6607645891331619,0.7336818826823155,27.35185185185185,28.012616440985013
M1_global_bias,LOSO,18.0,27,0.9139686705437894,0.9406698559057675,27.088888888888892,28.00285755943268
M1_global_bias,LOSO,18.25,27,1.0515698508588949,1.0515698508588949,26.911111111111108,27.96268096197001
M1_global_bias,LOSO,18.5,27,1.240408735337015,1.240408735337015,26.677777777777774,27.918186513114794
M1_global_bias,LOSO,18.75,27,1.3801478943612073,1.3801478943612073,26.48888888888889,27.869036783250095
M1_global_bias,LOSO,19.0,27,1.4701403233855754,1.4701403233855754,26.344444444444438,27.81458476783002
M1_global_bias,LOSO,19.25,27,1.418532982980483,1.418532982980483,26.196296296296296,27.614829279276776
M1_global_bias,LOSO,19.5,27,1.2753788233637502,1.2753788233637502,26.137037037037036,27.412415860400788
M1_global_bias,LOSO,19.75,27,1.09185468487441,1.09185468487441,26.114814814814817,27.206669499689223
M1_global_bias,LOSO,20.0,27,0.9192798572834397,0.9192798572834397,26.07777777777778,26.997057635061214
M1_global_bias,LOSO,20.25,27,0.9792427305200854,0.9792427305200854,26.05925925925926,27.038501989779345
M1_global_bias,LOSO,20.5,27,1.0132497776074874,1.0132497776074874,26.06666666666667,27.079916444274154
M1_global_bias,LOSO,20.75,27,1.0768567995051979,1.0768567995051979,26.04444444444444,27.121301243949645
M1_global_bias,LOSO,21.0,27,1.1256195877699022,1.1256195877699022,26.037037037037035,27.16265662480694
M1_global_bias,LOSO,21.5,27,1.0895352649887924,1.0895352649887924,26.066666666666666,27.15620193165546
M1_global_bias,LOSO,21.75,27,1.0825234570037208,1.0825234570037208,26.070370370370366,27.152893827374093
M1_global_bias,LOSO,22.0,27,1.0199010958077763,1.0199010958077763,26.129629629629626,27.149530725437412
