scan_root,path,exists,suffix,size_bytes,read_status,columns,column_count,has_cell_id,has_hour,has_scenario,has_primary_target,has_tmrt_p90,has_m_rad,has_feature_keywords,filename_mentions_n150,filename_mentions_surrogate
outputs/v12_surrogate,outputs/v12_surrogate/b8_5_f2c_met_forcing/b85_f2c_readiness_projection.csv,True,.csv,530,READABLE_HEADER,forcing_day_id|total_runs|fd02_run_rows|validated_met_hours|validated_met_file_count|projected_ready_runs_if_output_root_created_and_qgis_check_passes|projected_ready_runs_after_fd02_met_generation|projected_file_assets_ready_after_fd02_met_generation|remaining_blockers|notes,10,False,False,False,False,False,False,False,False,True
outputs/v12_surrogate,outputs/v12_surrogate/b8_5_f2c_met_forcing/b85_f2c_source_inventory.csv,True,.csv,3266,READABLE_HEADER,source_alias|source_kind|path_display|path_exists|matched_rows|matched_hours|usable_for_template|usable_for_weather|selected|notes,10,False,False,False,False,False,False,False,False,True
outputs/v12_surrogate,outputs/v12_surrogate/b8_5_f2c_met_forcing/b85_f2c_template_schema_inventory.csv,True,.csv,8523,READABLE_HEADER,template_source_alias|template_path_display|hour_sgt|file_exists|file_size_bytes|sha256|header|column_count|columns|data_row_count|line_count|duplicate_rows|required_columns_present|schema_status|notes,15,False,True,False,False,False,False,False,False,True
outputs/v12_surrogate,outputs/v12_surrogate/b8_5_f2c_met_forcing/B8_5_F2C_STATUS.md,True,.md,2479,TEXT_OR_CONFIG,,0,False,False,False,False,False,False,False,False,True
outputs/v12_surrogate,outputs/v12_surrogate/b8_5_f2d_readiness_final/b85_f2d_asset_status.csv,True,.csv,119601,READABLE_HEADER,asset_type|logical_name|forcing_day_id|hour_sgt|cell_id|scenario|source|selected_root_alias|expected_path|selected_relative_path|resolved_path|exists|sha256_expected|sha256_actual|sha256_match|asset_ready|used_in_run_readiness|forbidden_asset_opened_or_copied|notes,19,True,True,True,False,False,False,False,False,True
outputs/v12_surrogate,outputs/v12_surrogate/b8_5_f2d_readiness_final/b85_f2d_execution_precheck_checklist.md,True,.md,822,TEXT_OR_CONFIG,,0,False,False,False,False,False,False,False,False,True
outputs/v12_surrogate,outputs/v12_surrogate/b8_5_f2d_readiness_final/b85_f2d_readiness_summary.csv,True,.csv,509,READABLE_HEADER,decision_status|manifest_status|manifest_rows|manifest_cells|manifest_forcing_days|manifest_hours|manifest_scenarios|file_assets_ready_count|total_run_count|ready_for_manual_qgis_count|output_root_status|output_root_exists|output_root_outside_git_worktree|qgis_manual_check_status|remaining_blockers|qgis_solweig_executed|rasters_created_copied_opened|svfs_zip_copied_opened|dry_run_only|created_at,20,False,False,False,False,False,False,True,False,True
outputs/v12_surrogate,outputs/v12_surrogate/b8_5_f2d_readiness_final/b85_f2d_root_inventory.csv,True,.csv,1384,READABLE_HEADER,root_alias|root_path|root_kind|role|exists|is_dir|inside_current_git_worktree|outside_current_git_worktree|commit_safe_to_reference|status|notes,11,False,False,False,False,False,False,True,False,True
outputs/v12_surrogate,outputs/v12_surrogate/b8_5_f2d_readiness_final/b85_f2d_run_readiness.csv,True,.csv,173582,READABLE_HEADER,run_id|cell_id|forcing_day_id|date|hour_sgt|scenario|expected_output_group|cell_geometry_ready|raster_tiles_ready|svf_ready|met_forcing_ready|file_assets_ready|output_root_ready|qgis_manual_check_status|ready_for_manual_qgis|run_readiness|missing_file_assets|expected_output_dir|qgis_solweig_executed,19,True,True,True,False,False,False,True,False,True
outputs/v12_surrogate,outputs/v12_surrogate/b8_5_f2d_readiness_final/B8_5_F2D_STATUS.md,True,.md,1610,TEXT_OR_CONFIG,,0,False,False,False,False,False,False,False,False,True
