cell_id,hazard_score_v08,rank_v08_hazard_score,hazard_score_v10,rank_v10_hazard_score,rank_change_v08_minus_v10,is_old_dsm_gap_false_positive_candidate
TP_0592,0.4817746516926771,361.0,0.5069100779413386,322.0,39.0,False
TP_0328,0.5025250716410088,317.0,0.5008245983644268,331.0,-14.0,False
TP_0612,0.4926834438458067,339.0,0.4981649720450702,338.0,1.0,False
TP_0314,0.5145440563358397,297.0,0.5560114090816345,251.0,46.0,False
TP_0272,0.3899818397732885,494.0,0.4232901125492531,451.0,43.0,False
TP_0049,0.4990558309945977,321.0,0.5311786934741819,283.0,38.0,False
TP_0604,0.4870999548117888,346.0,0.5301823750273454,284.0,62.0,False
TP_0842,0.5263168691538458,281.0,0.4664109488016104,380.0,-99.0,False
TP_0974,0.5358433259767053,262.0,0.4961573254312094,346.0,-84.0,False
TP_0174,0.6827634745515521,60.0,0.6948697919406248,39.0,21.0,False
TP_0680,0.4969481144134358,328.0,0.5464927249080266,262.0,66.0,False
TP_0035,0.4930233765306413,338.0,0.4973203273309709,340.0,-2.0,False
TP_0508,0.5335749501194956,267.0,0.536497924973875,277.0,-10.0,False
TP_0102,0.4557071362939217,391.0,0.5032446221243935,325.0,66.0,False
TP_0741,0.4948669629427228,330.0,0.5316358674552293,282.0,48.0,False
TP_0810,0.4945045489042177,331.0,0.4064222508054416,476.0,-145.0,False
TP_0382,0.3786345224884961,508.0,0.3868457108967559,504.0,4.0,False
TP_0560,0.5067962991680176,307.0,0.4941829531573662,348.0,-41.0,False
TP_0396,0.3493914233066187,544.0,0.340601496764514,566.0,-22.0,False
TP_0107,0.4976789483150137,325.0,0.5263559762142318,292.0,33.0,False
TP_0683,0.491211492967581,340.0,0.5291833417940751,288.0,52.0,False
TP_0387,0.4720328411415243,368.0,0.4847156422186593,361.0,7.0,False
TP_0039,0.4826463643183074,356.0,0.4177868360718005,459.0,-103.0,False
TP_0641,0.675242477753777,70.0,0.6996900700290926,38.0,32.0,False
TP_0598,0.4875624013564338,345.0,0.5249693477125593,293.0,52.0,False
TP_0048,0.4558679750325677,390.0,0.4435984703828314,418.0,-28.0,False
TP_0361,0.486777365362639,347.0,0.5036886349883711,324.0,23.0,False
TP_0304,0.4482053561534801,396.0,0.4846587570431901,362.0,34.0,False
TP_0353,0.3415162750940941,562.0,0.3360268783560621,572.0,-10.0,False
TP_0502,0.4383938681271213,410.0,0.4754026786654208,373.0,37.0,False
TP_0785,0.4867038788247257,348.0,0.4965926651604729,343.0,5.0,False
TP_0546,0.4759227931735604,364.0,0.4942596850604076,347.0,17.0,False
TP_0230,0.6658622135774229,81.0,0.6828328349849091,62.0,19.0,False
TP_0280,0.46186716770584,379.0,0.4875275327185325,354.0,25.0,False
TP_0811,0.4473218872848609,398.0,0.3724395843992388,518.0,-120.0,False
TP_0232,0.3522344097089397,539.0,0.3581882666968167,539.0,0.0,False
TP_0977,0.4566530619254192,388.0,0.4848230249450811,360.0,28.0,False
TP_0259,0.6612437335193311,92.0,0.6833941946672506,61.0,31.0,False
TP_0480,0.3390565474707961,564.0,0.3965408411580219,490.0,74.0,False
TP_0797,0.4348294761760702,416.0,0.4740138188757642,376.0,40.0,False
TP_0883,0.4933966466545578,336.0,0.4552424574818081,397.0,-61.0,False
TP_0070,0.3918098221919544,489.0,0.2749912092625854,674.0,-185.0,False
