cell_id,suggested_asset_folder,user_selected_asset_folder,user_decision,notes
TP_0972,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0832,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0917,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0570,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0197,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0110,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0255,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0632,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0944,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0546,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0603,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0538,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0568,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0074,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0227,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0139,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0588,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0519,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0978,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0829,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0929,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0523,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0002,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0372,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0464,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0146,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0827,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0206,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0383,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
