prediction_source,validation_scheme,dataset_label,target_col,model,event_target,official_event_threshold_c,score_threshold_c,TP,FP,TN,FN,precision,recall,F1,specificity,false_alarm_ratio,miss_rate,critical_success_index,predicted_positive_count,official_positive_count,youden_J
future_holdout,future_holdout,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge32,32.0,28.5,121,686,1704,0,0.14993804213135067,1.0,0.26077586206896547,0.7129707112970711,0.8500619578686494,0.0,0.14993804213135067,807,121,0.7129707112970711
future_holdout,future_holdout,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge32,32.0,28.6,121,652,1738,0,0.15653298835705046,1.0,0.27069351230425054,0.7271966527196653,0.8434670116429496,0.0,0.15653298835705046,773,121,0.7271966527196652
future_holdout,future_holdout,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge32,32.0,28.7,120,638,1752,1,0.158311345646438,0.9917355371900827,0.27303754266211605,0.7330543933054393,0.841688654353562,0.008264462809917356,0.15810276679841898,758,121,0.7247899304955219
future_holdout,future_holdout,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge32,32.0,28.8,120,632,1758,1,0.1595744680851064,0.9917355371900827,0.27491408934707906,0.7355648535564854,0.8404255319148937,0.008264462809917356,0.1593625498007968,752,121,0.727300390746568
future_holdout,future_holdout,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge32,32.0,28.9,120,605,1785,1,0.16551724137931034,0.9917355371900827,0.2836879432624113,0.7468619246861925,0.8344827586206897,0.008264462809917356,0.1652892561983471,725,121,0.7385974618762752
future_holdout,future_holdout,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge32,32.0,29.0,119,564,1826,2,0.17423133235724744,0.9834710743801653,0.2960199004975124,0.7640167364016737,0.8257686676427526,0.01652892561983471,0.17372262773722627,683,121,0.747487810781839
future_holdout,future_holdout,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge32,32.0,29.1,119,550,1840,2,0.17787742899850523,0.9834710743801653,0.3012658227848101,0.7698744769874477,0.8221225710014948,0.01652892561983471,0.17734724292101342,669,121,0.753345551367613
future_holdout,future_holdout,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge32,32.0,29.2,118,532,1858,3,0.18153846153846154,0.9752066115702479,0.3060959792477302,0.7774058577405858,0.8184615384615385,0.024793388429752067,0.1807044410413476,650,121,0.7526124693108338
future_holdout,future_holdout,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge32,32.0,29.3,117,507,1883,4,0.1875,0.9669421487603306,0.3140939597315436,0.7878661087866109,0.8125,0.03305785123966942,0.18630573248407642,624,121,0.7548082575469415
future_holdout,future_holdout,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge32,32.0,29.4,116,479,1911,5,0.1949579831932773,0.9586776859504132,0.3240223463687151,0.799581589958159,0.8050420168067227,0.04132231404958678,0.19333333333333333,595,121,0.7582592759085722
