prediction_source,validation_scheme,dataset_label,target_col,model,event_target,official_event_threshold_c,bin_type,quantile_bin,bin_lower,bin_upper,n,mean_prediction_score,mean_official_wbgt,event_rate_ge31,official_mean_exceedance_above31,official_mean_exceedance_above33,mean_residual,residual_MAE,residual_bias,residual_p90,station_count,event_count,low_support,event_rate_ge33
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,ge31,31.0,decile,2,25.346,25.658,1047,25.51558627715819,25.629703915950333,0.0,0.0,0.0,0.11411763879214559,0.6137969796048988,0.11411763879214559,1.1387816408758844,26,0,False,
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,ge31,31.0,decile,3,25.658,25.914,1046,25.7769350782229,25.72562141491396,0.0,0.0,0.0,-0.05131366330893959,0.6444750436570293,-0.05131366330893959,0.98985115233471,27,0,False,
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,ge31,31.0,decile,4,25.914,26.255,1046,26.08255248949482,25.99225621414914,0.0,0.0,0.0,-0.09029627534567976,0.6344295146867256,-0.09029627534567976,0.873019420701624,27,0,False,
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,ge31,31.0,decile,5,26.255,26.792,1050,26.50334567037682,26.410857142857143,0.0038095238095238095,0.0020952380952380945,0.0,-0.09248852751967308,0.7030028911024888,-0.09248852751967308,0.8515074652055656,27,4,False,
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,ge31,31.0,decile,6,26.792,27.682,1045,27.195897111378798,27.350717703349282,0.04114832535885168,0.03205741626794258,0.0011483253588516706,0.15482059197048137,1.3091019875152397,0.15482059197048137,2.8152808348009852,27,43,False,
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,ge31,31.0,decile,7,27.682,28.554,1049,28.113797803324818,27.91525262154433,0.06768350810295519,0.05052430886558627,0.0009532888465204957,-0.19854518178049527,1.461760465174092,-0.19854518178049527,2.349307503674796,27,71,False,
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,ge31,31.0,decile,8,28.554,29.581,1045,29.08268023908922,28.674545454545456,0.2,0.15282296650717708,0.0033492822966507177,-0.40813478454376717,2.053894621081964,-0.40813478454376717,2.5242356340825483,27,209,False,
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,ge31,31.0,decile,9,29.581,30.619,1047,30.145743205610927,29.32292263610315,0.28462273161413565,0.2216809933142312,0.007449856733524366,-0.8228205695077763,1.8591049517919493,-0.8228205695077763,1.6442848578985743,27,298,False,
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,ge31,31.0,decile,10,30.619,32.415,1048,31.094413246240823,30.779580152671755,0.5448473282442748,0.5431297709923665,0.03101145038167941,-0.3148330935690685,1.2954535328873145,-0.3148330935690685,1.558609769657036,27,571,False,
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,ge33,33.0,decile,1,23.938,25.346,1050,25.02547687855351,25.453047619047616,,0.0,0.0,0.42757074049410776,0.5904726948541517,0.42757074049410776,1.3343953101192403,26,0,False,0.0
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,ge33,33.0,decile,2,25.346,25.658,1047,25.51558627715819,25.629703915950333,,0.0,0.0,0.11411763879214559,0.6137969796048988,0.11411763879214559,1.1387816408758844,26,0,False,0.0
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,ge33,33.0,decile,3,25.658,25.914,1046,25.7769350782229,25.72562141491396,,0.0,0.0,-0.05131366330893959,0.6444750436570293,-0.05131366330893959,0.98985115233471,27,0,False,0.0
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,ge33,33.0,decile,4,25.914,26.255,1046,26.08255248949482,25.99225621414914,,0.0,0.0,-0.09029627534567976,0.6344295146867256,-0.09029627534567976,0.873019420701624,27,0,False,0.0
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,ge33,33.0,decile,5,26.255,26.792,1050,26.50334567037682,26.410857142857143,,0.0020952380952380945,0.0,-0.09248852751967308,0.7030028911024888,-0.09248852751967308,0.8515074652055656,27,0,False,0.0
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,ge33,33.0,decile,6,26.792,27.682,1045,27.195897111378798,27.350717703349282,,0.03205741626794258,0.0011483253588516706,0.15482059197048137,1.3091019875152397,0.15482059197048137,2.8152808348009852,27,3,False,0.0028708133971291866
