prediction_source,validation_scheme,dataset_label,target_col,model,event_target,operating_point,achievable,official_event_threshold_c,score_threshold_c,TP,FP,TN,FN,precision,recall,F1,specificity,false_alarm_ratio,miss_rate,critical_success_index,predicted_positive_count,official_positive_count,youden_J
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,ge32,recall_90,True,32.0,28.7,431.0,2570.0,7429.0,43.0,0.14361879373542152,0.9092827004219409,0.24805755395683451,0.742974297429743,0.8563812062645785,0.09071729957805907,0.14159001314060446,3001.0,474.0,0.6522569978516839
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,ge32,precision_70,False,32.0,,,,,,,,,,,,,,,
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,ge32,balanced_J,True,32.0,28.7,431.0,2570.0,7429.0,43.0,0.14361879373542152,0.9092827004219409,0.24805755395683451,0.742974297429743,0.8563812062645785,0.09071729957805907,0.14159001314060446,3001.0,474.0,0.6522569978516839
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,ge32,low_false_alarm_candidate,False,32.0,,,,,,,,,,,,,,,
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,ge33,fixed_nominal,True,33.0,33.0,0.0,0.0,10354.0,119.0,,0.0,0.0,1.0,,1.0,0.0,0.0,119.0,0.0
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,ge33,best_F1,True,33.0,31.3,30.0,232.0,10122.0,89.0,0.11450381679389313,0.25210084033613445,0.15748031496062995,0.9775932006953835,0.8854961832061069,0.7478991596638656,0.08547008547008547,262.0,119.0,0.22969404103151803
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,ge33,recall_90,True,33.0,29.3,109.0,2280.0,8074.0,10.0,0.04562578484721641,0.9159663865546218,0.08692185007974482,0.779795248213251,0.9543742151527836,0.08403361344537816,0.04543559816590246,2389.0,119.0,0.6957616347678728
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,ge33,precision_70,False,33.0,,,,,,,,,,,,,,,
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,ge33,balanced_J,True,33.0,29.3,109.0,2280.0,8074.0,10.0,0.04562578484721641,0.9159663865546218,0.08692185007974482,0.779795248213251,0.9543742151527836,0.08403361344537816,0.04543559816590246,2389.0,119.0,0.6957616347678728
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,ge33,low_false_alarm_candidate,False,33.0,,,,,,,,,,,,,,,
