prediction_source,validation_scheme,dataset_label,target_col,model,event_target,bin_kind,n_bins,n_low_support_bins,monotonicity,event_rate_min,event_rate_max,mean_abs_residual_official_minus_score
future_holdout,future_holdout_last_block,hourly_mean,official_wbgt_c_mean,L1_proxy_radiation,ge33,quantile,10,0,monotonic,0.0,0.0199203187250996,0.22632649481222344
future_holdout,future_holdout_last_block,hourly_mean,official_wbgt_c_mean,M4_like_inertia_ridge,ge31,quantile,10,0,monotonic,0.0,0.44223107569721115,0.32407273287444766
future_holdout,future_holdout_last_block,hourly_mean,official_wbgt_c_mean,M4_like_inertia_ridge,ge33,quantile,10,0,monotonic,0.0,0.0199203187250996,0.32407273287444766
future_holdout,future_holdout_last_block,hourly_mean,official_wbgt_c_mean,M7_like_compact_weather_ridge,ge31,quantile,10,0,monotonic,0.0,0.4581673306772908,0.27325412992529613
future_holdout,future_holdout_last_block,hourly_mean,official_wbgt_c_mean,M7_like_compact_weather_ridge,ge33,quantile,10,0,monotonic,0.0,0.01593625498007968,0.27325412992529613
loso_oof,loso_oof,hourly_max,official_wbgt_c_max,L1_full_dynamic,ge31,quantile,10,0,monotonic,0.0,0.6192748091603053,0.14913542725805265
loso_oof,loso_oof,hourly_max,official_wbgt_c_max,L1_full_dynamic,ge33,quantile,10,0,monotonic,0.0,0.08015267175572519,0.14913542725805265
loso_oof,loso_oof,hourly_max,official_wbgt_c_max,L1_proxy_only,ge31,quantile,10,0,mostly_monotonic,0.0,0.5505725190839694,0.48672607053064604
loso_oof,loso_oof,hourly_max,official_wbgt_c_max,L1_proxy_only,ge33,quantile,10,0,monotonic,0.0,0.06393129770992366,0.48672607053064604
loso_oof,loso_oof,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge31,quantile,10,0,mostly_monotonic,0.0,0.566793893129771,0.1542309415310406
loso_oof,loso_oof,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge33,quantile,10,0,monotonic,0.0,0.07824427480916031,0.1542309415310406
loso_oof,loso_oof,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,ge31,quantile,10,0,monotonic,0.0,0.6326335877862596,0.1398075750240686
loso_oof,loso_oof,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,ge33,quantile,10,0,monotonic,0.0,0.08206106870229007,0.1398075750240686
loso_oof,loso_oof,hourly_max,official_wbgt_c_max,M7_like_compact_weather_ridge,ge31,quantile,10,0,monotonic,0.0,0.6059160305343512,0.14761378600966993
loso_oof,loso_oof,hourly_max,official_wbgt_c_max,M7_like_compact_weather_ridge,ge33,quantile,10,0,monotonic,0.0,0.07824427480916031,0.14761378600966993
loso_oof,loso_oof,hourly_mean,official_wbgt_c_mean,L1_full_dynamic,ge31,quantile,10,0,monotonic,0.0,0.3711832061068702,0.12818871314961058
loso_oof,loso_oof,hourly_mean,official_wbgt_c_mean,L1_full_dynamic,ge33,quantile,10,0,monotonic,0.0,0.02099236641221374,0.12818871314961058
loso_oof,loso_oof,hourly_mean,official_wbgt_c_mean,L1_proxy_only,ge31,quantile,10,0,mostly_monotonic,0.0,0.3282442748091603,0.4195224500247171
loso_oof,loso_oof,hourly_mean,official_wbgt_c_mean,L1_proxy_only,ge33,quantile,10,0,monotonic,0.0,0.01812977099236641,0.4195224500247171
loso_oof,loso_oof,hourly_mean,official_wbgt_c_mean,L1_proxy_radiation,ge31,quantile,10,0,mostly_monotonic,0.0,0.34923664122137404,0.1417875753420727
loso_oof,loso_oof,hourly_mean,official_wbgt_c_mean,L1_proxy_radiation,ge33,quantile,10,0,monotonic,0.0,0.020038167938931296,0.1417875753420727
loso_oof,loso_oof,hourly_mean,official_wbgt_c_mean,M4_like_inertia_ridge,ge31,quantile,10,0,monotonic,0.0,0.37690839694656486,0.11781558007023954
loso_oof,loso_oof,hourly_mean,official_wbgt_c_mean,M4_like_inertia_ridge,ge33,quantile,10,0,mostly_monotonic,0.0,0.02099236641221374,0.11781558007023954
loso_oof,loso_oof,hourly_mean,official_wbgt_c_mean,M7_like_compact_weather_ridge,ge31,quantile,10,0,monotonic,0.0,0.36927480916030536,0.13875713491783123
loso_oof,loso_oof,hourly_mean,official_wbgt_c_mean,M7_like_compact_weather_ridge,ge33,quantile,10,0,monotonic,0.0,0.020038167938931296,0.13875713491783123
