dataset_label,model,event_target,validation_scheme,calibrator,selected_probability_threshold,station_id,focus_station_flag,n,event_count,observed_event_rate,mean_predicted_probability,probability_bias,Brier,precision,recall,F1
hourly_max,M7_like_compact_weather_ridge,ge31,blocked_date_calibration,logistic_score_calibration,0.3,S141,False,388,53,0.13659793814432988,0.11629616369947905,-0.02030177444485083,0.08040100508596196,0.5238095238095238,0.6226415094339622,0.5689655172413793
hourly_max,M7_like_compact_weather_ridge,ge31,blocked_date_calibration,logistic_score_calibration,0.3,S142,True,388,84,0.21649484536082475,0.1055857822061701,-0.11090906315465465,0.09973991799610119,0.8727272727272727,0.5714285714285714,0.6906474820143884
hourly_max,M7_like_compact_weather_ridge,ge31,blocked_date_calibration,logistic_score_calibration,0.3,S143,False,388,54,0.13917525773195877,0.1271888241905714,-0.01198643354138737,0.07042556257132529,0.5942028985507246,0.7592592592592593,0.6666666666666666
hourly_max,M7_like_compact_weather_ridge,ge31,blocked_date_calibration,logistic_score_calibration,0.3,S144,False,388,44,0.1134020618556701,0.10562942894302092,-0.00777263291264918,0.061850119866751464,0.5535714285714286,0.7045454545454546,0.62
hourly_max,M7_like_compact_weather_ridge,ge31,blocked_date_calibration,logistic_score_calibration,0.3,S145,False,388,48,0.12371134020618557,0.12096543813099,-0.0027459020751955665,0.05401751094419959,0.5846153846153846,0.7916666666666666,0.672566371681416
hourly_max,M7_like_compact_weather_ridge,ge31,blocked_date_calibration,logistic_score_calibration,0.3,S146,False,388,29,0.07474226804123711,0.11703896664163235,0.04229669860039524,0.048438243986235995,0.36363636363636365,0.8275862068965517,0.5052631578947369
hourly_max,M7_like_compact_weather_ridge,ge31,blocked_date_calibration,logistic_score_calibration,0.3,S147,False,388,55,0.14175257731958762,0.10462112880540426,-0.03713144851418336,0.06713910663867935,0.6964285714285714,0.7090909090909091,0.7027027027027026
hourly_max,M7_like_compact_weather_ridge,ge31,blocked_date_calibration,logistic_score_calibration,0.3,S148,False,388,21,0.05412371134020619,0.11347200450545632,0.05934829316525013,0.048828318120941024,0.27419354838709675,0.8095238095238095,0.4096385542168674
hourly_max,M7_like_compact_weather_ridge,ge31,blocked_date_calibration,logistic_score_calibration,0.3,S149,False,388,31,0.07989690721649484,0.1128896284547921,0.03299272123829726,0.05591101092685309,0.3548387096774194,0.7096774193548387,0.4731182795698926
hourly_max,M7_like_compact_weather_ridge,ge31,blocked_date_calibration,logistic_score_calibration,0.3,S150,False,388,34,0.08762886597938144,0.1088017441420893,0.021172878162707867,0.05693133020781176,0.39285714285714285,0.6470588235294118,0.4888888888888888
hourly_max,M7_like_compact_weather_ridge,ge31,blocked_date_calibration,logistic_score_calibration,0.3,S151,False,388,58,0.14948453608247422,0.12181796305149183,-0.027666573030982397,0.06569683624614023,0.6666666666666666,0.7586206896551724,0.7096774193548386
hourly_max,M7_like_compact_weather_ridge,ge31,blocked_date_calibration,logistic_score_calibration,0.3,S153,False,388,37,0.09536082474226804,0.11917373858560422,0.023812913843336184,0.05762425980730536,0.421875,0.7297297297297297,0.5346534653465346
hourly_max,M7_like_compact_weather_ridge,ge31,blocked_date_calibration,logistic_score_calibration,0.3,S180,False,388,47,0.1211340206185567,0.11883365803368744,-0.0023003625848692644,0.062084812679969965,0.53125,0.723404255319149,0.6126126126126127
hourly_max,M7_like_compact_weather_ridge,ge31,blocked_date_calibration,logistic_score_calibration,0.3,S184,False,388,36,0.09278350515463918,0.11794760863047608,0.025164103475836905,0.0627845475305654,0.421875,0.75,0.54
hourly_max,M7_like_compact_weather_ridge,ge31,blocked_date_calibration,logistic_score_calibration,0.3,S187,False,388,47,0.1211340206185567,0.10783180425734734,-0.01330221636120936,0.06392289628590332,0.5636363636363636,0.6595744680851063,0.6078431372549019
hourly_max,L1_full_dynamic,ge31,blocked_date_calibration,logistic_score_calibration,0.312,S124,False,388,10,0.02577319587628866,0.11577223779130309,0.08999904191501443,0.05403285054881457,0.12903225806451613,0.8,0.2222222222222222
hourly_max,L1_full_dynamic,ge31,blocked_date_calibration,logistic_score_calibration,0.312,S125,False,388,52,0.13402061855670103,0.11770279444915813,-0.0163178241075429,0.06305724059094693,0.6290322580645161,0.75,0.6842105263157896
hourly_max,L1_full_dynamic,ge31,blocked_date_calibration,logistic_score_calibration,0.312,S126,False,388,38,0.0979381443298969,0.11493430195115374,0.016996157621256835,0.06871761717831526,0.4,0.631578947368421,0.4897959183673469
hourly_max,L1_full_dynamic,ge31,blocked_date_calibration,logistic_score_calibration,0.312,S127,False,388,56,0.14432989690721648,0.10888485020809106,-0.03544504669912542,0.06866125112994168,0.6551724137931034,0.6785714285714286,0.6666666666666666
hourly_max,L1_full_dynamic,ge31,blocked_date_calibration,logistic_score_calibration,0.312,S128,False,388,57,0.14690721649484537,0.1144817415839817,-0.03242547491086367,0.08110188253718345,0.5737704918032787,0.6140350877192983,0.5932203389830507
hourly_max,L1_full_dynamic,ge31,blocked_date_calibration,logistic_score_calibration,0.312,S129,False,385,47,0.12207792207792208,0.10910684638861844,-0.01297107568930364,0.05697251081191341,0.6206896551724138,0.7659574468085106,0.6857142857142856
hourly_max,L1_full_dynamic,ge31,blocked_date_calibration,logistic_score_calibration,0.312,S130,False,388,32,0.08247422680412371,0.10998000989390416,0.027505783089780453,0.05319226447047674,0.38596491228070173,0.6875,0.49438202247191015
hourly_max,L1_full_dynamic,ge31,blocked_date_calibration,logistic_score_calibration,0.312,S132,False,388,45,0.11597938144329897,0.11586946131395608,-0.00010992012934289697,0.06319102733662096,0.5245901639344263,0.7111111111111111,0.6037735849056605
hourly_max,L1_full_dynamic,ge31,blocked_date_calibration,logistic_score_calibration,0.312,S135,True,388,69,0.17783505154639176,0.11457876892925406,-0.0632562826171377,0.08831996249549226,0.6949152542372882,0.5942028985507246,0.6406250000000001
hourly_max,L1_full_dynamic,ge31,blocked_date_calibration,logistic_score_calibration,0.312,S137,True,388,77,0.19845360824742267,0.1103948938813075,-0.08805871436611518,0.10374000284907907,0.7017543859649122,0.5194805194805194,0.5970149253731343
hourly_max,L1_full_dynamic,ge31,blocked_date_calibration,logistic_score_calibration,0.312,S139,True,388,8,0.020618556701030927,0.10055142202719414,0.07993286532616321,0.03260577386368829,0.1282051282051282,0.625,0.21276595744680848
hourly_max,L1_full_dynamic,ge31,blocked_date_calibration,logistic_score_calibration,0.312,S140,False,388,27,0.06958762886597938,0.11629513616289787,0.046707507296918485,0.050191283447720746,0.3442622950819672,0.7777777777777778,0.4772727272727273
hourly_max,L1_full_dynamic,ge31,blocked_date_calibration,logistic_score_calibration,0.312,S141,False,388,53,0.13659793814432988,0.11499718509700879,-0.021600753047321092,0.08078382397302163,0.5409836065573771,0.6226415094339622,0.5789473684210527
hourly_max,L1_full_dynamic,ge31,blocked_date_calibration,logistic_score_calibration,0.312,S142,True,388,84,0.21649484536082475,0.1072587474564365,-0.10923609790438825,0.09777222812138271,0.875,0.5833333333333334,0.7000000000000001
hourly_max,L1_full_dynamic,ge31,blocked_date_calibration,logistic_score_calibration,0.312,S143,False,388,54,0.13917525773195877,0.12369935827967825,-0.01547589945228052,0.07027057113561073,0.5882352941176471,0.7407407407407407,0.6557377049180328
hourly_max,L1_full_dynamic,ge31,blocked_date_calibration,logistic_score_calibration,0.312,S144,False,388,44,0.1134020618556701,0.10962627232320425,-0.003775789532465851,0.06105741642109763,0.5172413793103449,0.6818181818181818,0.5882352941176471
hourly_max,L1_full_dynamic,ge31,blocked_date_calibration,logistic_score_calibration,0.312,S145,False,388,48,0.12371134020618557,0.11660924949693476,-0.007102090709250816,0.05490626622963136,0.6166666666666667,0.7708333333333334,0.6851851851851851
hourly_max,L1_full_dynamic,ge31,blocked_date_calibration,logistic_score_calibration,0.312,S146,False,388,29,0.07474226804123711,0.11383955940836132,0.03909729136712421,0.045345737006984986,0.36507936507936506,0.7931034482758621,0.5
hourly_max,L1_full_dynamic,ge31,blocked_date_calibration,logistic_score_calibration,0.312,S147,False,388,55,0.14175257731958762,0.10869426666525475,-0.03305831065433287,0.06446923465318594,0.6724137931034483,0.7090909090909091,0.6902654867256638
hourly_max,L1_full_dynamic,ge31,blocked_date_calibration,logistic_score_calibration,0.312,S148,False,388,21,0.05412371134020619,0.11696551486303769,0.0628418035228315,0.050327813567510406,0.2903225806451613,0.8571428571428571,0.43373493975903615
hourly_max,L1_full_dynamic,ge31,blocked_date_calibration,logistic_score_calibration,0.312,S149,False,388,31,0.07989690721649484,0.11642234685447264,0.0365254396379778,0.05488789881655325,0.39344262295081966,0.7741935483870968,0.5217391304347826
hourly_max,L1_full_dynamic,ge31,blocked_date_calibration,logistic_score_calibration,0.312,S150,False,388,34,0.08762886597938144,0.11025595731802765,0.02262709133864621,0.056197451401931796,0.40350877192982454,0.6764705882352942,0.5054945054945055
hourly_max,L1_full_dynamic,ge31,blocked_date_calibration,logistic_score_calibration,0.312,S151,False,388,58,0.14948453608247422,0.12226803670863841,-0.027216499373835815,0.06549352439152994,0.671875,0.7413793103448276,0.7049180327868853
hourly_max,L1_full_dynamic,ge31,blocked_date_calibration,logistic_score_calibration,0.312,S153,False,388,37,0.09536082474226804,0.1155128953584371,0.020152070616169068,0.056273984526090254,0.45,0.7297297297297297,0.556701030927835
hourly_max,L1_full_dynamic,ge31,blocked_date_calibration,logistic_score_calibration,0.312,S180,False,388,47,0.1211340206185567,0.11522771633538675,-0.005906304283169947,0.06291184254145178,0.5666666666666667,0.723404255319149,0.6355140186915887
hourly_max,L1_full_dynamic,ge31,blocked_date_calibration,logistic_score_calibration,0.312,S184,False,388,36,0.09278350515463918,0.11650291517150264,0.023719410016863465,0.06035150122549728,0.4426229508196721,0.75,0.556701030927835
hourly_max,L1_full_dynamic,ge31,blocked_date_calibration,logistic_score_calibration,0.312,S187,False,388,47,0.1211340206185567,0.10940006561196713,-0.011733955006589566,0.06308333847023147,0.5517241379310345,0.6808510638297872,0.6095238095238096
