prediction_source,dataset_label,target_col,model,event_target,official_event_threshold_c,validation_scheme,calibrator,n_folds_evaluated,n,event_count,event_rate,Brier,log_loss,ROC_AUC,average_precision,ECE_10,MCE_10,calibration_intercept,calibration_slope,mean_predicted_probability,observed_event_rate,probability_bias
loso_oof,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge33,33.0,future_block_calibration,empirical_bin_calibration,1,1863,18,0.00966183574879227,0.00929739442293006,0.04173963199637792,0.9088527551942186,0.05279427427723428,0.005715552970213389,0.005715552970213389,0.7764089139961851,1.4581459007420834,0.01537738871900566,0.00966183574879227,0.005715552970213389
loso_oof,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge33,33.0,station_grouped_calibration,logistic_score_calibration,27,10473,119,0.0113625513224482,0.010762349808615233,0.04622218625976569,0.9160783880869326,0.0851699266314773,0.0009192113934850857,0.30612647877226534,-0.2799168656062109,0.908446336565745,0.01137874660598444,0.0113625513224482,1.6195283536239724e-05
loso_oof,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge33,33.0,station_grouped_calibration,logistic_score_calibration_balanced,27,10473,119,0.0113625513224482,0.12376195957942507,0.3704778605712789,0.9249021609802894,0.09865291894387487,0.18881878602554414,0.8296402385303981,-4.349096109018957,0.8289225544451774,0.20018133734799234,0.0113625513224482,0.18881878602554414
loso_oof,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge33,33.0,station_grouped_calibration,isotonic_score_calibration,27,10473,119,0.0113625513224482,0.0107790279356255,0.047003990737656744,0.9013834624056306,0.07367026871645495,0.001071694341978643,0.020576828286729465,-1.141759572085518,0.6103284597748854,0.011375399061465893,0.0113625513224482,1.2847739017692386e-05
loso_oof,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge33,33.0,station_grouped_calibration,empirical_bin_calibration,27,10473,119,0.0113625513224482,0.010816455687874196,0.04636833421372945,0.8797249631936993,0.04759841204247806,1.3186712107541437e-05,1.3186712107541437e-05,-0.7857069962665937,0.7372188519567241,0.011375738034555742,0.0113625513224482,1.3186712107541437e-05
loso_oof,hourly_max,official_wbgt_c_max,L1_proxy_only,ge31,31.0,blocked_date_calibration,logistic_score_calibration,5,10473,1196,0.11419841497183233,0.07000382467997675,0.22227230369256548,0.9080332450917019,0.5431446221550615,0.012002074324366018,0.14467425214011775,-0.0022256756116679956,0.9738624962269272,0.11233281938528085,0.11419841497183233,-0.0018655955865514856
loso_oof,hourly_max,official_wbgt_c_max,L1_proxy_only,ge31,31.0,blocked_date_calibration,logistic_score_calibration_balanced,5,10473,1196,0.11419841497183233,0.12778016883097076,0.38832636871966264,0.912464764334278,0.5691855155874175,0.1750208416261022,0.4827150868930636,-2.0106605177173917,0.9136041380116766,0.28921925659793457,0.11419841497183233,0.17502084162610224
loso_oof,hourly_max,official_wbgt_c_max,L1_proxy_only,ge31,31.0,blocked_date_calibration,isotonic_score_calibration,5,10473,1196,0.11419841497183233,0.07025304763812559,0.2257453833264306,0.9046198603876311,0.5345537595373352,0.007792082952514254,0.139967154181725,-0.07753401750785288,0.8897803493164951,0.11170859180952107,0.11419841497183233,-0.0024898231623112638
loso_oof,hourly_max,official_wbgt_c_max,L1_proxy_only,ge31,31.0,blocked_date_calibration,empirical_bin_calibration,5,10473,1196,0.11419841497183233,0.073521918462606,0.23269355929163185,0.8988753518158874,0.442863444545958,0.022425247592892713,0.5954285214807047,-0.0362655212136508,0.9157598368540857,0.1105682814611797,0.11419841497183233,-0.003630133510652639
loso_oof,hourly_max,official_wbgt_c_max,L1_proxy_only,ge31,31.0,future_block_calibration,logistic_score_calibration,1,1863,243,0.13043478260869565,0.07775669421728879,0.24733207623993558,0.9015190773764161,0.5776492142089904,0.02149523956918731,0.17680631710996542,-0.34172844841477634,0.9161602473746948,0.15193002217788296,0.13043478260869565,0.021495239569187308
loso_oof,hourly_max,official_wbgt_c_max,L1_proxy_only,ge31,31.0,future_block_calibration,logistic_score_calibration_balanced,1,1863,243,0.13043478260869565,0.16303252058358234,0.4963969059482269,0.9015190773764161,0.5776492142089904,0.2161022877009263,0.546153227840692,-2.2218374847324665,0.8427696895019974,0.34653707030962194,0.13043478260869565,0.2161022877009263
loso_oof,hourly_max,official_wbgt_c_max,L1_proxy_only,ge31,31.0,future_block_calibration,isotonic_score_calibration,1,1863,243,0.13043478260869565,0.07802162495279785,0.24931403595255355,0.9010872326373012,0.5496768541528703,0.022916335605096854,0.12672626535209297,-0.3614801069688542,0.8564801829130562,0.15098854221081462,0.13043478260869565,0.02055375960211897
loso_oof,hourly_max,official_wbgt_c_max,L1_proxy_only,ge31,31.0,future_block_calibration,empirical_bin_calibration,1,1863,243,0.13043478260869565,0.08003767888642589,0.2535602819603881,0.892794543514708,0.45950675864815943,0.014051639170947707,0.06267629002820642,-0.1832919559265218,0.9781467353945229,0.14446343804331652,0.13043478260869565,0.014028655434620868
loso_oof,hourly_max,official_wbgt_c_max,L1_proxy_only,ge31,31.0,station_grouped_calibration,logistic_score_calibration,27,10473,1196,0.11419841497183233,0.06879746425582908,0.21866051850550644,0.9110923804438856,0.5613522908792702,0.015387910012091499,0.09808877991655607,-0.01296549715980011,0.9900315072399272,0.1143409747413408,0.11419841497183233,0.00014255976950847127
loso_oof,hourly_max,official_wbgt_c_max,L1_proxy_only,ge31,31.0,station_grouped_calibration,logistic_score_calibration_balanced,27,10473,1196,0.11419841497183233,0.12868636227969993,0.390032856912575,0.9119098442835033,0.5640106506091644,0.17708153364048,0.4710821209628405,-2.0174792970446416,0.9274869628056617,0.29127994861231227,0.11419841497183233,0.17708153364047993
loso_oof,hourly_max,official_wbgt_c_max,L1_proxy_only,ge31,31.0,station_grouped_calibration,isotonic_score_calibration,27,10473,1196,0.11419841497183233,0.06842787855346273,0.21883273221581845,0.9051929863585383,0.5366418103522113,0.005126087126809043,0.3691382603885097,-0.06639140701398483,0.9363815354966158,0.1143957279814979,0.11419841497183233,0.00019731300966556453
loso_oof,hourly_max,official_wbgt_c_max,L1_proxy_only,ge31,31.0,station_grouped_calibration,empirical_bin_calibration,27,10473,1196,0.11419841497183233,0.07108861962810736,0.22316049588052497,0.8928550956567884,0.42119324020240245,0.01044344180984412,0.11208309742124739,-0.01559420954153786,0.9822243005848356,0.11411610198620332,0.11419841497183233,-8.231298562901002e-05
loso_oof,hourly_max,official_wbgt_c_max,L1_proxy_only,ge33,33.0,blocked_date_calibration,logistic_score_calibration,5,10473,119,0.0113625513224482,0.010920880130331125,0.049149283796482965,0.8929224770843243,0.06967797951251417,0.0016914484011427873,0.3572378100531807,-0.06430058444910401,0.9672150580793152,0.010892681296233104,0.0113625513224482,-0.00046987002621509677
loso_oof,hourly_max,official_wbgt_c_max,L1_proxy_only,ge33,33.0,blocked_date_calibration,logistic_score_calibration_balanced,5,10473,119,0.0113625513224482,0.1446571508454655,0.4382580905648136,0.8968271102143774,0.08890330801015003,0.23034298847662488,0.8601952507091227,-4.345964616257316,0.6992647116744777,0.24170553979907305,0.0113625513224482,0.23034298847662485
loso_oof,hourly_max,official_wbgt_c_max,L1_proxy_only,ge33,33.0,blocked_date_calibration,isotonic_score_calibration,5,10473,119,0.0113625513224482,0.010972252251342653,0.04966808091752976,0.8888425372080453,0.06833661006154418,0.0028881896645448625,0.240276395714908,-1.210711251767925,0.6029172159228533,0.010522360039329926,0.0113625513224482,-0.0008401912831182742
loso_oof,hourly_max,official_wbgt_c_max,L1_proxy_only,ge33,33.0,blocked_date_calibration,empirical_bin_calibration,5,10473,119,0.0113625513224482,0.010900781705412045,0.04897030788518215,0.8818704418216967,0.05161139260043796,0.0006515317362290451,0.0006515317362290451,-0.554612156402574,0.8141216244643055,0.010711019586219155,0.0113625513224482,-0.0006515317362290451
