dataset_label,target_col,model,event_target,calibrator,validation_scheme_count,mean_Brier,std_Brier,mean_log_loss,std_log_loss,mean_average_precision,std_average_precision,mean_ROC_AUC,std_ROC_AUC,mean_ECE,std_ECE,mean_probability_bias,std_probability_bias
hourly_mean,official_wbgt_c_mean,L1_proxy_only,ge31,empirical_bin_calibration,3,0.04803626230230603,0.0019169843463654873,0.15816760660239895,0.003996016627408637,0.2645581768482497,0.03039764100903323,0.895309548045566,0.01021021381243398,0.009264981029168383,0.006202815904260002,0.0016470498466513415,0.004631812107334782
hourly_mean,official_wbgt_c_mean,L1_proxy_only,ge31,isotonic_score_calibration,3,0.047160605808014046,0.002761880232831148,0.15568563667206073,0.0062488059565373524,0.3403095121428737,0.012753137539159215,0.9041062986730424,0.0055962174240479405,0.010883152882417356,0.005946292956124336,0.0032951041498420347,0.006686125088038266
hourly_mean,official_wbgt_c_mean,L1_proxy_only,ge31,logistic_score_calibration,3,0.047047142499414774,0.0026646135146809287,0.15618572556858762,0.00628655608653897,0.36112342970744393,0.012627458278060569,0.9097318427114928,0.003429041849069821,0.009843133793440298,0.003090666218190179,0.004044639683607731,0.0069369318056280195
hourly_mean,official_wbgt_c_mean,L1_proxy_only,ge31,logistic_score_calibration_balanced,3,0.1466991247988506,0.01882585726766346,0.44280054239493366,0.05730260134142628,0.3771851627153076,0.00628308626155296,0.9120469872145115,0.001833196535917415,0.2177285018291458,0.024040481398101794,0.21772850182914583,0.02404048139810178
hourly_mean,official_wbgt_c_mean,L1_proxy_only,ge33,empirical_bin_calibration,3,0.0026010152515981676,0.0003367906144913488,0.017193516705358246,0.004365937278128764,0.012827522376502634,0.002933082545106122,0.8430739631720782,0.090542616152675,0.0007138102613585945,0.0008610541935054989,0.000571794399199571,0.0009612442865464698
hourly_mean,official_wbgt_c_mean,L1_proxy_only,ge33,isotonic_score_calibration,3,0.0019186407659747549,0.0002020839300968418,0.012034324261890703,0.001136644561124039,0.013109205696571882,0.003591505595996862,0.8802981926744113,0.03911479050665704,0.0013188291840261236,0.0007170614186678181,0.0013188291840261236,0.0007170614186678181
hourly_mean,official_wbgt_c_mean,L1_proxy_only,ge33,logistic_score_calibration,3,0.0026177679733864327,0.00031934608550875814,0.015559595356112245,0.0017409551571189066,0.01959638974550704,0.0023584380856157233,0.8926289375066251,0.03183175588831101,0.0008366337645640295,0.000995164164903129,0.0006972865986650196,0.0010935300436616573
hourly_mean,official_wbgt_c_mean,L1_proxy_only,ge33,logistic_score_calibration_balanced,3,0.16212979085132348,0.02428095453579379,0.4809539915064291,0.06879951333630949,0.024086106534134233,0.0014535328829216514,0.9069787944017277,0.01911065660761231,0.2636399711368594,0.028571389236522016,0.2636399711368594,0.02857138923652204
hourly_mean,official_wbgt_c_mean,L1_proxy_radiation,ge31,empirical_bin_calibration,3,0.046356632905018604,0.001399099738126937,0.1489169796036055,0.0031826213920660555,0.2889245577771033,0.046958455391674384,0.9101547723491515,0.013684293832600983,0.012735870466547172,0.008977014930397638,0.0008796039423218452,0.003324055181284704
hourly_mean,official_wbgt_c_mean,L1_proxy_radiation,ge31,isotonic_score_calibration,3,0.045911465480614366,0.001838350677500457,0.14775532935214586,0.004207080981288506,0.34283435482270713,0.0291566081400691,0.9206056761878115,0.011171149383132994,0.014967751424414472,0.008592602876292234,0.00033476119478169597,0.002374257458780889
hourly_mean,official_wbgt_c_mean,L1_proxy_radiation,ge31,logistic_score_calibration,3,0.04505241856144381,0.0007135565236873761,0.1456201383893843,0.0013270771277145914,0.3732658774778314,0.03901392584693339,0.927133940538413,0.010538129560578662,0.013270854392052424,0.0065950832766911004,0.0006816867883505986,0.002067694818344866
hourly_mean,official_wbgt_c_mean,L1_proxy_radiation,ge31,logistic_score_calibration_balanced,3,0.13030585801292963,0.01422012685602002,0.4014450003597699,0.03926474958229446,0.3941668995185681,0.02176363884935941,0.9298142196311715,0.008551486419268079,0.19380793158230106,0.023513374115037598,0.19380793158230106,0.023513374115037577
hourly_mean,official_wbgt_c_mean,L1_proxy_radiation,ge33,empirical_bin_calibration,3,0.0026004854659739765,0.00033921045658320674,0.01542162078099771,0.002267361174209309,0.014413050239440445,0.0020074836017824394,0.8844831567214614,0.03754062241309192,0.0006837803387106093,0.0007829264174259861,0.0005027991174926632,0.0009097924896146835
hourly_mean,official_wbgt_c_mean,L1_proxy_radiation,ge33,isotonic_score_calibration,3,0.0019139741261901225,0.0001915193615573773,0.01201684748320838,0.000911992453058531,0.013458935178890083,0.0031993562866681094,0.8932290494291882,0.0233486218542015,0.0010945796097306918,0.00038371158446008164,0.0010945796097306918,0.00038371158446008164
hourly_mean,official_wbgt_c_mean,L1_proxy_radiation,ge33,logistic_score_calibration,3,0.0025930207708108237,0.0003348954525241896,0.014475519700809528,0.0018374547361757248,0.02442568380628275,0.0022890318378003803,0.9249245487826355,0.020748602899317712,0.0005625284935830225,0.0006381735480984062,0.00043239062638388595,0.0007285602024136987
hourly_mean,official_wbgt_c_mean,L1_proxy_radiation,ge33,logistic_score_calibration_balanced,3,0.13696091883212594,0.018621005371746064,0.4049450280153936,0.048632417227433875,0.034317901709301775,0.004978156582675257,0.9330841878816599,0.01416705756310661,0.213770447408378,0.025036621305076136,0.21377044740837803,0.025036621305076154
