model_name,station_id,is_S142,is_S139,n,n_obs_ge31,n_pred_ge31,n_ge31_hit,n_ge31_miss,ge31_miss_rate_among_observed,false_alarm_count,mean_official_wbgt_c,mean_model_score,mean_residual_c,median_residual_c,p75_residual_c,p90_residual_c,mean_abs_error_c,p90_abs_error_c,max_abs_error_c,high_tail_obs_ge31_mean_residual_c,high_tail_obs_ge31_p90_residual_c,sample_size_note
M7_compact_weather_ridge,S153,False,False,124,14,13,9,5,0.35714285714285715,4,27.456451612903226,27.446356060657322,0.010095552245901225,0.05606961320287418,0.5806562721483859,0.8275196510782085,0.6284731432087411,1.322879875149375,2.6734572371449055,0.3791006071705062,2.0045174731810653,
M7_compact_weather_ridge,S126,False,False,124,16,13,7,9,0.5625,6,27.427419354838708,27.44898096557977,-0.02156161074106408,-0.1273728652860715,0.4530828314303994,1.6030210823898217,0.8370684413512018,2.061009179479824,3.3177999969778718,1.3720355448770345,2.6882192721371005,
M7_compact_weather_ridge,S125,False,False,124,16,13,10,6,0.375,3,27.319354838709682,27.378862887666134,-0.05950804895645933,0.018410481284417912,0.5069768644628887,1.0505804898190583,0.7650218576950476,1.794311399066764,4.8577116936666656,0.6233306797293494,2.2850486967954087,
M7_compact_weather_ridge,S187,False,False,124,16,13,11,5,0.3125,2,27.467741935483872,27.54967346099526,-0.08193152551139252,-0.19175703514141063,0.28278779922957753,0.835271683538733,0.6471021845170076,1.5080765471066335,3.4164595320497106,0.7557890412459041,2.797158355965424,
M7_compact_weather_ridge,S184,False,False,124,12,12,8,4,0.3333333333333333,4,27.383870967741935,27.496680802110404,-0.11280983436846709,0.00042822059919522815,0.38863635168145105,0.846866095610185,0.7031136447244329,1.3344113078618798,3.813751169150457,0.9674156877358877,3.120583859088599,
M7_compact_weather_ridge,S151,False,False,124,18,11,10,8,0.4444444444444444,1,27.282258064516128,27.45061860288045,-0.16836053836431833,-0.2958373850070988,0.3628500609525922,0.8062478864400694,0.7706281494727253,1.607734789339963,5.146123153269606,0.9626270036462908,2.9968979401056055,
M7_compact_weather_ridge,S145,False,False,124,16,12,10,6,0.375,2,27.187096774193545,27.35759204851446,-0.17049527432090789,-0.17325173119864878,0.29169029633902,0.7358246894975523,0.6166352604518108,1.4025081086617963,1.9442216284913272,0.8670210206028912,1.713678329391314,
M7_compact_weather_ridge,S135,False,False,124,22,12,9,13,0.5909090909090909,3,27.18709677419354,27.36147539743707,-0.17437862324351702,-0.3115385565201798,0.3738905983738219,1.6539292854799348,1.0139039955706795,2.0958537744557093,4.245548918988845,1.2766001673396365,2.8733070475759703,
M7_compact_weather_ridge,S180,False,False,124,18,13,11,7,0.3888888888888889,2,27.251612903225805,27.451626389054002,-0.2000134858281976,-0.11657131654025044,0.34189694233267875,0.7991603131442212,0.6945185782712974,1.4114534961283345,2.4031761094969113,0.30103749196509594,1.5110398273850072,
M7_compact_weather_ridge,S143,False,False,124,14,14,9,5,0.35714285714285715,5,27.219354838709677,27.43539739018138,-0.2160425514717063,-0.25277791929415727,0.44963432224592736,0.9147840926655545,0.7663841203002375,1.5927826830775984,4.959678255197005,0.3930661144030232,2.0058439157764187,
M7_compact_weather_ridge,S140,False,False,124,8,13,5,3,0.375,8,27.114516129032257,27.454297648449323,-0.339781519417066,-0.3182789512044941,0.15689460172758718,0.7767781808893605,0.8044380280810964,1.9164191708915148,3.201735083908236,-0.14934871851197462,0.26181697103581847,
M7_compact_weather_ridge,S124,False,False,124,0,15,0,0,,15,27.312903225806448,27.659218909438398,-0.34631568363194404,-0.19213524677689264,0.45069543886272534,0.7870547541024601,0.8159828081745556,1.896636321660523,3.284587890563813,,,
M7_compact_weather_ridge,S148,False,False,124,10,15,6,4,0.4,9,27.31451612903226,27.676515091401267,-0.36199896236901097,-0.26476866582684444,0.16408933230882283,0.5165775862174127,0.6839857718474288,1.573849610118106,3.9320131269351073,0.21051928899604952,1.8968762826688872,
M7_compact_weather_ridge,S149,False,False,124,10,15,6,4,0.4,9,27.30322580645161,27.67833552731322,-0.37510972086160704,-0.3717100390006145,0.13438005547148268,0.5251779048150379,0.708180399597427,1.3618578555605882,3.532013126935105,0.3814479531866958,2.1170950976592664,
M7_compact_weather_ridge,S146,False,False,124,6,12,5,1,0.16666666666666666,7,27.012903225806447,27.430614964930957,-0.41771173912450404,-0.3705190245590906,0.04912407495001325,0.5316258638810989,0.7375696903595746,1.6458182801803298,2.9178933868080428,-0.10226875071783088,0.20032476710359504,
M7_compact_weather_ridge,S150,False,False,124,6,13,4,2,0.3333333333333333,9,27.130645161290325,27.556549948826294,-0.42590478753597705,-0.41874187769013993,-0.013831540771128914,0.33971300460385556,0.6427007001178727,1.3419539716859656,2.0190545352751847,-0.017739248223710646,0.8063819426366692,
M7_compact_weather_ridge,S139,False,True,124,2,19,2,0,0.0,17,27.406451612903222,27.86901256426506,-0.46256095136183023,-0.4522906769772579,0.2648374970695002,0.8604680738583873,0.8790431159759214,1.7617055409811517,3.0148677356805322,-0.05682873961009349,0.05585210148484593,
