scenario,hour,metric_a,metric_b,spearman_r,n_cells,emphasis_pair
base,16,tmrt_p90_c,tmrt_max_c,0.6008695652173912,24,True
base,16,tmrt_p90_c,pct_pixels_tmrt_ge_40,0.8511752570916922,24,True
base,16,tmrt_p90_c,pct_pixels_tmrt_ge_45,0.8503049347429278,24,True
base,16,tmrt_p90_c,pct_pixels_tmrt_ge_50,0.8234374099501903,24,True
base,16,tmrt_p90_c,pct_pixels_tmrt_ge_55,,24,True
base,16,tmrt_p95_c,tmrt_max_c,0.8617391304347826,24,False
base,16,tmrt_p95_c,pct_pixels_tmrt_ge_40,0.6344649922493288,24,False
base,16,tmrt_p95_c,pct_pixels_tmrt_ge_45,0.6370759592956223,24,False
base,16,tmrt_p95_c,pct_pixels_tmrt_ge_50,0.6196820529964047,24,False
base,16,tmrt_p95_c,pct_pixels_tmrt_ge_55,,24,False
base,16,tmrt_max_c,pct_pixels_tmrt_ge_40,0.4412534308236073,24,False
base,16,tmrt_max_c,pct_pixels_tmrt_ge_45,0.44299407552113634,24,False
base,16,tmrt_max_c,pct_pixels_tmrt_ge_50,0.43674517816615804,24,False
base,16,tmrt_max_c,pct_pixels_tmrt_ge_55,,24,False
base,16,pct_pixels_tmrt_ge_40,pct_pixels_tmrt_ge_45,0.9991289198606274,24,False
base,16,pct_pixels_tmrt_ge_40,pct_pixels_tmrt_ge_50,0.956267344215519,24,False
base,16,pct_pixels_tmrt_ge_40,pct_pixels_tmrt_ge_55,,24,False
base,16,pct_pixels_tmrt_ge_45,pct_pixels_tmrt_ge_50,0.9544940158071452,24,False
base,16,pct_pixels_tmrt_ge_45,pct_pixels_tmrt_ge_55,,24,False
base,16,pct_pixels_tmrt_ge_50,pct_pixels_tmrt_ge_55,,24,False
overhead_as_canopy,10,tmrt_mean_c,tmrt_p50_c,0.9565217391304346,24,False
overhead_as_canopy,10,tmrt_mean_c,tmrt_p75_c,0.9739130434782608,24,False
overhead_as_canopy,10,tmrt_mean_c,tmrt_p90_c,0.9347826086956521,24,True
overhead_as_canopy,10,tmrt_mean_c,tmrt_p95_c,0.7826086956521738,24,False
overhead_as_canopy,10,tmrt_mean_c,tmrt_max_c,0.62,24,False
overhead_as_canopy,10,tmrt_mean_c,pct_pixels_tmrt_ge_40,0.9947784446378366,24,True
overhead_as_canopy,10,tmrt_mean_c,pct_pixels_tmrt_ge_45,0.9288586598523666,24,True
overhead_as_canopy,10,tmrt_mean_c,pct_pixels_tmrt_ge_50,,24,True
overhead_as_canopy,10,tmrt_mean_c,pct_pixels_tmrt_ge_55,,24,True
overhead_as_canopy,10,tmrt_p50_c,tmrt_p75_c,0.9617391304347825,24,False
overhead_as_canopy,10,tmrt_p50_c,tmrt_p90_c,0.9043478260869565,24,True
overhead_as_canopy,10,tmrt_p50_c,tmrt_p95_c,0.7043478260869565,24,False
