hour,metric,cell_id,base_value,overhead_value,base_rank,overhead_rank,rank_delta,abs_rank_delta,cell_metric_mean_abs_rank_delta,cell_metric_max_abs_rank_delta
15,pct_pixels_tmrt_ge_55,TP_0326,38.92,36.4,12,10,-2.0,2.0,1.8,4.0
15,pct_pixels_tmrt_ge_55,TP_0301,38.0,38.0,13,9,-4.0,4.0,2.0,4.0
15,pct_pixels_tmrt_ge_55,TP_0676,28.76,26.0,14,11,-3.0,3.0,1.4,3.0
15,pct_pixels_tmrt_ge_55,TP_0773,20.76,20.56,15,14,-1.0,1.0,0.4,1.0
15,pct_pixels_tmrt_ge_55,TP_0254,10.28,10.28,16,16,0.0,0.0,0.0,0.0
15,pct_pixels_tmrt_ge_55,TP_0141,8.799999999999999,7.720000000000001,17,17,0.0,0.0,0.0,0.0
15,pct_pixels_tmrt_ge_55,TP_0409,7.28,7.12,18,18,0.0,0.0,0.2,1.0
15,pct_pixels_tmrt_ge_55,TP_0542,6.76,6.48,19,19,0.0,0.0,0.0,0.0
15,pct_pixels_tmrt_ge_55,TP_0857,1.24,1.2,20,20,0.0,0.0,0.0,0.0
15,pct_pixels_tmrt_ge_55,TP_0154,0.44,0.44,21,21,0.0,0.0,0.0,0.0
15,pct_pixels_tmrt_ge_55,TP_0433,0.04,0.04,22,22,0.0,0.0,0.0,0.0
15,pct_pixels_tmrt_ge_55,TP_0492,0.0,0.0,23,23,0.0,0.0,0.0,0.0
15,pct_pixels_tmrt_ge_55,TP_0835,0.0,0.0,23,23,0.0,0.0,0.0,0.0
16,pct_pixels_tmrt_ge_55,TP_0037,0.0,0.0,1,1,0.0,0.0,1.2,2.0
16,pct_pixels_tmrt_ge_55,TP_0059,0.0,0.0,1,1,0.0,0.0,2.4,5.0
16,pct_pixels_tmrt_ge_55,TP_0088,0.0,0.0,1,1,0.0,0.0,7.0,13.0
16,pct_pixels_tmrt_ge_55,TP_0098,0.0,0.0,1,1,0.0,0.0,1.6,3.0
16,pct_pixels_tmrt_ge_55,TP_0115,0.0,0.0,1,1,0.0,0.0,1.4,3.0
16,pct_pixels_tmrt_ge_55,TP_0141,0.0,0.0,1,1,0.0,0.0,0.0,0.0
16,pct_pixels_tmrt_ge_55,TP_0154,0.0,0.0,1,1,0.0,0.0,0.0,0.0
16,pct_pixels_tmrt_ge_55,TP_0254,0.0,0.0,1,1,0.0,0.0,0.0,0.0
16,pct_pixels_tmrt_ge_55,TP_0301,0.0,0.0,1,1,0.0,0.0,2.0,4.0
