prediction_source,dataset_label,target_col,ablation_model,station_id,n,MAE,bias,official_ge_31_count,official_ge_33_count,fixed_31_recall,fixed_31_F1,residual_p90,residual_mean_high_tail
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_proxy_weather,S129,385,1.0065685404415559,-0.02085340105929461,47,0,0.02127659574468085,0.04166666666666667,1.6970521486117882,1.9397619205895948
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_proxy_weather,S124,388,1.006078104170212,-0.39430516475336935,10,0,0.1,0.18181818181818182,1.1793595339102283,1.574877002020509
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,L1_proxy_weather,S132,388,0.9935533265910751,0.4607264001110561,45,2,0.022222222222222223,0.04347826086956522,1.7962319139924912,1.6800225283320038
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,S142,388,1.2351143156495816,0.5827570175501404,84,32,0.16666666666666666,0.2857142857142857,2.8122893685570065,2.6249521631074577
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,S137,388,1.1803989777364587,0.6991534994012523,77,26,0.19480519480519481,0.32258064516129037,2.647565109880582,2.4809622051670526
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,S135,388,1.120871590261197,0.10724629446243414,69,14,0.2463768115942029,0.38202247191011235,2.2374304948473522,2.0837520561277323
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,S139,388,1.0694608737688578,-0.7135505879901802,8,0,0.375,0.39999999999999997,0.7562308932921435,0.5645284940052302
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,S128,388,1.0367335506833777,0.12747876277145037,57,9,0.22807017543859648,0.3513513513513513,1.9665603175800699,2.0213838744240347
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,S125,388,1.0235538805492124,0.4563972571286164,52,1,0.3076923076923077,0.4507042253521127,1.7318455593383733,1.3579548650337105
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,S141,388,0.9886013883975414,0.2577496752632724,53,6,0.22641509433962265,0.34285714285714286,1.8444103934241602,1.8280562602048374
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,S187,388,0.973720981541484,-0.1173806718569404,47,1,0.2765957446808511,0.4193548387096774,1.4759767896939386,1.4359565528056173
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,S147,388,0.9285369599338477,-0.07306160224588508,55,4,0.2545454545454545,0.4057971014492754,1.4424380511688237,1.6817781580248081
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,S150,388,0.921555683597218,-0.2708690612064828,34,1,0.35294117647058826,0.489795918367347,1.2283574204929346,1.1298871763035507
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,S143,388,0.9208248520940343,0.13628109717513154,54,6,0.3148148148148148,0.43589743589743596,1.5460007866003842,1.24045931024912
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,S151,388,0.9191021996324424,-0.2006760612219908,58,3,0.3793103448275862,0.5365853658536586,1.1291857393724771,1.3046745698639877
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,S149,388,0.9125839389309285,-0.4965779151624853,31,0,0.3548387096774194,0.4583333333333333,0.6844875204380103,0.9093413448968151
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,S132,388,0.905835460325551,0.3526745495701324,45,2,0.35555555555555557,0.4923076923076923,1.5380316205715239,1.1423468946127393
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,S144,388,0.8959291118021473,0.056371459116800623,44,5,0.2727272727272727,0.41379310344827586,1.3311036192135335,1.580330449547199
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,S126,388,0.8885557992713267,-0.05932399035038402,38,1,0.2894736842105263,0.37931034482758624,1.5566664220226758,1.487264166731246
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,S127,388,0.8859610154812114,0.22201065577433615,56,2,0.21428571428571427,0.34782608695652173,1.6130192132994905,1.4056526769299897
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,S184,388,0.8786015259796188,-0.0801618420939629,36,2,0.3611111111111111,0.4727272727272728,1.0625242898958824,1.4565785958293422
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,S140,388,0.8760645837009507,-0.23942209834581699,27,0,0.5555555555555556,0.6122448979591836,1.101813339514281,0.5885524457362672
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,S180,388,0.8734669668532979,-0.11030951420429665,47,1,0.3191489361702128,0.4477611940298508,1.1519116601439487,1.1580855350420667
