cell_id,tree_building_overlap_proxy,tree_near_tall_building_frac,interaction_method,feature_version
TP_0571,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0572,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0573,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0575,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0581,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0584,0.05692796859648317,0.08894995093228654,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0587,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0588,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0589,1.6123740332862324e-05,0.000251933442699785,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0590,0.0011670120898218462,0.013261501020568375,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0592,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0599,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0600,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0601,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0603,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0605,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0608,0.010647342388216394,0.016762188898484725,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0610,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0611,0.009634575955188131,0.042256912084498284,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0612,0.008588639876502666,0.051738794435857785,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0614,0.18106780512379156,0.08429599866063955,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0616,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0622,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0623,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0627,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0628,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0632,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0636,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0641,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0646,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0647,0.015335860263452211,0.05708549996342082,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0649,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0650,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0651,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0657,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0663,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0669,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0670,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0672,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0673,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0674,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0676,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0677,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0680,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0681,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0684,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0691,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0693,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0704,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0707,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0710,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0711,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0713,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0718,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0719,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0720,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0722,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0727,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0740,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0744,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0745,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0746,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0747,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0759,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0762,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0767,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0772,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0773,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0774,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0777,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0786,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0787,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
