cell_id,overhead_patch_count,overhead_total_area_m2,overhead_mean_patch_area_m2,overhead_edge_density,overhead_total_area_proxy,overhead_shape_source_status,feature_version
TP_0103,2.0,126.7699439124714,63.3849719562357,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0104,0.0,0.0,,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0108,0.0,0.0,,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0110,6.0,699.6868148716773,116.61446914527954,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0112,5.0,411.3359800467973,82.26719600935947,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0114,0.0,0.0,,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0115,0.0,0.0,,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0116,0.0,0.0,,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0117,3.0,140.91797986241187,46.97265995413729,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0119,4.0,2397.307459198763,599.3268647996907,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0122,14.0,2449.282368318449,174.94874059417492,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0123,1.0,11.9859362427101,11.9859362427101,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0126,0.0,0.0,,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0127,9.0,2386.120786567008,265.1245318407787,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0133,0.0,0.0,,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0135,2.0,17.8784808967044,8.9392404483522,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0136,0.0,0.0,,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0139,9.0,2749.5859945893253,305.5095549543695,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0141,2.0,140.84018583680697,70.42009291840348,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0146,0.0,0.0,,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0153,4.0,696.4943494022784,174.1235873505696,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0154,1.0,11.538130123414236,11.538130123414236,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0159,0.0,0.0,,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0160,0.0,0.0,,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0162,0.0,0.0,,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0165,0.0,0.0,,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0166,1.0,53.017569091409015,53.017569091409015,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0168,13.0,2832.023778558968,217.84798296607445,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0169,10.0,2414.808527179564,241.4808527179564,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0170,2.0,1043.2704439210052,521.6352219605026,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0171,1.0,1359.2563138877504,1359.2563138877504,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0183,5.0,1138.367929967201,227.6735859934402,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0192,0.0,0.0,,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0196,6.0,369.2551676919429,61.54252794865715,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0197,4.0,1518.239599787442,379.5598999468605,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0199,3.0,1761.1935525854233,587.0645175284744,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0206,0.0,0.0,,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0207,0.0,0.0,,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0208,0.0,0.0,,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0212,2.0,205.369606456547,102.6848032282735,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0215,3.0,179.07741088835226,59.69247029611742,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0218,0.0,0.0,,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0221,0.0,0.0,,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0226,9.0,960.0906502504744,106.67673891671937,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0227,5.0,1233.253024360551,246.65060487211022,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0230,0.0,0.0,,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0233,0.0,0.0,,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0234,0.0,0.0,,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0236,0.0,0.0,,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0237,0.0,0.0,,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
