candidate_id,dataset_label,target_col,raw_score_col,validation_scheme,calibration_method,event_target,official_event_threshold_c,fixed_score_threshold_c,n,official_positive_count,predicted_positive_count,TP,FP,TN,FN,precision,recall,F1,best_F1_threshold,best_F1_precision,best_F1_recall,best_F1,threshold_offset_ge31,threshold_offset_ge33
existing_v09_proxy,hourly_max,official_wbgt_c_max,candidate_max,LOSO,loso_affine,ge31,31.0,31.0,10473,1196,77,65,12,9265,1131,0.8441558441558441,0.05434782608695652,0.10212097407698349,29.1,0.46036085292509565,0.7040133779264214,0.5566942148760331,-1.8999999999999986,
existing_v09_proxy,hourly_max,official_wbgt_c_max,candidate_max,LOSO,loso_affine,ge33,33.0,33.0,10473,119,0,0,0,10354,119,,0.0,,30.4,0.1322314049586777,0.2689075630252101,0.1772853185595568,,-2.6000000000000014
existing_v09_proxy,hourly_max,official_wbgt_c_max,candidate_max,LOSO,loso_train_bias_corrected,ge31,31.0,31.0,10473,1196,0,0,0,9277,1196,,0.0,,28.6,0.4810049019607843,0.6563545150501672,0.5551626591230552,-2.3999999999999986,
existing_v09_proxy,hourly_max,official_wbgt_c_max,candidate_max,LOSO,loso_train_bias_corrected,ge33,33.0,33.0,10473,119,0,0,0,10354,119,,0.0,,29.4,0.12648221343873517,0.2689075630252101,0.17204301075268816,,-3.6000000000000014
existing_v09_proxy,hourly_max,official_wbgt_c_max,candidate_max,future_block_last_date,future_block_affine,ge31,31.0,31.0,567,83,0,0,0,484,83,,0.0,,28.3,0.41040462427745666,0.8554216867469879,0.5546875,-2.6999999999999993,
existing_v09_proxy,hourly_max,official_wbgt_c_max,candidate_max,future_block_last_date,future_block_affine,ge33,33.0,33.0,567,8,0,0,0,559,8,,0.0,,30.3,0.2,0.25,0.22222222222222224,,-2.6999999999999993
existing_v09_proxy,hourly_max,official_wbgt_c_max,candidate_max,future_block_last_date,future_block_train_bias_corrected,ge31,31.0,31.0,567,83,0,0,0,484,83,,0.0,,28.0,0.41040462427745666,0.8554216867469879,0.5546875,-3.0,
existing_v09_proxy,hourly_max,official_wbgt_c_max,candidate_max,future_block_last_date,future_block_train_bias_corrected,ge33,33.0,33.0,567,8,0,0,0,559,8,,0.0,,29.3,0.2,0.375,0.26086956521739135,,-3.6999999999999993
existing_v09_proxy,hourly_mean,official_wbgt_c_mean,candidate_mean,LOSO,loso_affine,ge31,31.0,31.0,10473,623,2,2,0,9850,621,1.0,0.0032102728731942215,0.0064,29.0,0.33460076045627374,0.565008025682183,0.42029850746268654,-2.0,
existing_v09_proxy,hourly_mean,official_wbgt_c_mean,candidate_mean,LOSO,loso_affine,ge33,33.0,33.0,10473,30,0,0,0,10443,30,,0.0,,29.8,0.036036036036036036,0.26666666666666666,0.06349206349206349,,-3.1999999999999993
existing_v09_proxy,hourly_mean,official_wbgt_c_mean,candidate_mean,LOSO,loso_train_bias_corrected,ge31,31.0,31.0,10473,623,0,0,0,9850,623,,0.0,,28.5,0.3333333333333333,0.5746388443017657,0.42192103712433704,-2.5,
existing_v09_proxy,hourly_mean,official_wbgt_c_mean,candidate_mean,LOSO,loso_train_bias_corrected,ge33,33.0,33.0,10473,30,0,0,0,10443,30,,0.0,,29.1,0.03463203463203463,0.26666666666666666,0.06130268199233717,,-3.8999999999999986
existing_v09_proxy,hourly_mean,official_wbgt_c_mean,candidate_mean,future_block_last_date,future_block_affine,ge31,31.0,31.0,567,48,0,0,0,519,48,,0.0,,29.3,0.45,0.5625,0.5,-1.6999999999999993,
existing_v09_proxy,hourly_mean,official_wbgt_c_mean,candidate_mean,future_block_last_date,future_block_affine,ge33,33.0,33.0,567,2,0,0,0,565,2,,0.0,,29.7,0.25,0.5,0.3333333333333333,,-3.3000000000000007
existing_v09_proxy,hourly_mean,official_wbgt_c_mean,candidate_mean,future_block_last_date,future_block_train_bias_corrected,ge31,31.0,31.0,567,48,0,0,0,519,48,,0.0,,28.7,0.4153846153846154,0.5625,0.47787610619469023,-2.3000000000000007,
existing_v09_proxy,hourly_mean,official_wbgt_c_mean,candidate_mean,future_block_last_date,future_block_train_bias_corrected,ge33,33.0,33.0,567,2,0,0,0,565,2,,0.0,,29.0,0.125,0.5,0.2,,-4.0
k0.0035,hourly_max,official_wbgt_c_max,candidate_max,LOSO,loso_affine,ge31,31.0,31.0,10473,1196,73,61,12,9265,1135,0.8356164383561644,0.05100334448160535,0.09613869188337273,29.1,0.46016713091922007,0.6906354515050167,0.552323637579405,-1.8999999999999986,
k0.0035,hourly_max,official_wbgt_c_max,candidate_max,LOSO,loso_affine,ge33,33.0,33.0,10473,119,0,0,0,10354,119,,0.0,,30.4,0.13793103448275862,0.2689075630252101,0.18233618233618232,,-2.6000000000000014
k0.0035,hourly_max,official_wbgt_c_max,candidate_max,LOSO,loso_train_bias_corrected,ge31,31.0,31.0,10473,1196,0,0,0,9277,1196,,0.0,,28.5,0.45528455284552843,0.7023411371237458,0.5524498520223611,-2.5,
k0.0035,hourly_max,official_wbgt_c_max,candidate_max,LOSO,loso_train_bias_corrected,ge33,33.0,33.0,10473,119,0,0,0,10354,119,,0.0,,29.4,0.13852813852813853,0.2689075630252101,0.18285714285714286,,-3.6000000000000014
k0.0035,hourly_max,official_wbgt_c_max,candidate_max,future_block_last_date,future_block_affine,ge31,31.0,31.0,567,83,0,0,0,484,83,,0.0,,28.3,0.40804597701149425,0.8554216867469879,0.5525291828793774,-2.6999999999999993,
k0.0035,hourly_max,official_wbgt_c_max,candidate_max,future_block_last_date,future_block_affine,ge33,33.0,33.0,567,8,0,0,0,559,8,,0.0,,30.3,0.4,0.25,0.3076923076923077,,-2.6999999999999993
k0.0035,hourly_max,official_wbgt_c_max,candidate_max,future_block_last_date,future_block_train_bias_corrected,ge31,31.0,31.0,567,83,0,0,0,484,83,,0.0,,28.0,0.40588235294117647,0.8313253012048193,0.5454545454545455,-3.0,
k0.0035,hourly_max,official_wbgt_c_max,candidate_max,future_block_last_date,future_block_train_bias_corrected,ge33,33.0,33.0,567,8,0,0,0,559,8,,0.0,,29.2,0.16666666666666666,0.375,0.23076923076923078,,-3.8000000000000007
k0.0035,hourly_mean,official_wbgt_c_mean,candidate_mean,LOSO,loso_affine,ge31,31.0,31.0,10473,623,1,1,0,9850,622,1.0,0.0016051364365971107,0.0032051282051282046,29.0,0.33688286544046464,0.5585874799357945,0.42028985507246375,-2.0,
k0.0035,hourly_mean,official_wbgt_c_mean,candidate_mean,LOSO,loso_affine,ge33,33.0,33.0,10473,30,0,0,0,10443,30,,0.0,,29.8,0.03686635944700461,0.26666666666666666,0.06477732793522267,,-3.1999999999999993
k0.0035,hourly_mean,official_wbgt_c_mean,candidate_mean,LOSO,loso_train_bias_corrected,ge31,31.0,31.0,10473,623,0,0,0,9850,623,,0.0,,28.5,0.33658536585365856,0.5537720706260032,0.4186893203883495,-2.5,
k0.0035,hourly_mean,official_wbgt_c_mean,candidate_mean,LOSO,loso_train_bias_corrected,ge33,33.0,33.0,10473,30,0,0,0,10443,30,,0.0,,29.1,0.038461538461538464,0.26666666666666666,0.06722689075630252,,-3.8999999999999986
k0.0035,hourly_mean,official_wbgt_c_mean,candidate_mean,future_block_last_date,future_block_affine,ge31,31.0,31.0,567,48,0,0,0,519,48,,0.0,,28.9,0.3402061855670103,0.6875,0.4551724137931034,-2.1000000000000014,
k0.0035,hourly_mean,official_wbgt_c_mean,candidate_mean,future_block_last_date,future_block_affine,ge33,33.0,33.0,567,2,0,0,0,565,2,,0.0,,29.6,0.09090909090909091,0.5,0.15384615384615385,,-3.3999999999999986
k0.0035,hourly_mean,official_wbgt_c_mean,candidate_mean,future_block_last_date,future_block_train_bias_corrected,ge31,31.0,31.0,567,48,0,0,0,519,48,,0.0,,28.4,0.336734693877551,0.6875,0.4520547945205479,-2.6000000000000014,
k0.0035,hourly_mean,official_wbgt_c_mean,candidate_mean,future_block_last_date,future_block_train_bias_corrected,ge33,33.0,33.0,567,2,0,0,0,565,2,,0.0,,28.9,0.09090909090909091,0.5,0.15384615384615385,,-4.100000000000001
k0.0045,hourly_max,official_wbgt_c_max,candidate_max,LOSO,loso_affine,ge31,31.0,31.0,10473,1196,77,65,12,9265,1131,0.8441558441558441,0.05434782608695652,0.10212097407698349,29.1,0.46036085292509565,0.7040133779264214,0.5566942148760331,-1.8999999999999986,
k0.0045,hourly_max,official_wbgt_c_max,candidate_max,LOSO,loso_affine,ge33,33.0,33.0,10473,119,0,0,0,10354,119,,0.0,,30.4,0.1322314049586777,0.2689075630252101,0.1772853185595568,,-2.6000000000000014
k0.0045,hourly_max,official_wbgt_c_max,candidate_max,LOSO,loso_train_bias_corrected,ge31,31.0,31.0,10473,1196,0,0,0,9277,1196,,0.0,,28.6,0.4810049019607843,0.6563545150501672,0.5551626591230552,-2.3999999999999986,
k0.0045,hourly_max,official_wbgt_c_max,candidate_max,LOSO,loso_train_bias_corrected,ge33,33.0,33.0,10473,119,0,0,0,10354,119,,0.0,,29.4,0.12648221343873517,0.2689075630252101,0.17204301075268816,,-3.6000000000000014
k0.0045,hourly_max,official_wbgt_c_max,candidate_max,future_block_last_date,future_block_affine,ge31,31.0,31.0,567,83,0,0,0,484,83,,0.0,,28.3,0.41040462427745666,0.8554216867469879,0.5546875,-2.6999999999999993,
