check_name,status,value,details
all_3000_rasters_opened,PASS,3000/3000,All expected local Tmrt rasters must open for content QA.
TP_0005:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0005:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0005:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0005:same_transform,PASS,"(29000.0, 2.0, 0.0, 34400.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0005:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0005:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0006:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0006:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0006:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0006:same_transform,PASS,"(29100.0, 2.0, 0.0, 34400.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0006:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0006:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0018:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0018:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0018:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0018:same_transform,PASS,"(30300.0, 2.0, 0.0, 34400.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0018:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0018:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0020:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0020:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0020:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0020:same_transform,PASS,"(30500.0, 2.0, 0.0, 34400.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0020:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0020:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0023:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0023:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0023:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0023:same_transform,PASS,"(30800.0, 2.0, 0.0, 34400.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0023:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0023:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0028:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0028:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0028:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0028:same_transform,PASS,"(31300.0, 2.0, 0.0, 34400.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0028:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0028:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0037:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0037:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0037:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0037:same_transform,PASS,"(29300.0, 2.0, 0.0, 34500.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0037:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0037:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0040:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0040:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0040:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0040:same_transform,PASS,"(29600.0, 2.0, 0.0, 34500.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0040:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0040:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0041:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0041:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0041:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0041:same_transform,PASS,"(29700.0, 2.0, 0.0, 34500.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0041:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0041:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0049:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0049:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0049:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0049:same_transform,PASS,"(30500.0, 2.0, 0.0, 34500.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0049:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0049:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0050:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0050:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0050:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0050:same_transform,PASS,"(30600.0, 2.0, 0.0, 34500.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0050:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0050:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0053:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0053:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0053:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0053:same_transform,PASS,"(30900.0, 2.0, 0.0, 34500.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0053:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0053:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0056:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0056:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0056:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0056:same_transform,PASS,"(31200.0, 2.0, 0.0, 34500.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0056:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0056:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0059:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0059:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0059:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0059:same_transform,PASS,"(28600.0, 2.0, 0.0, 34600.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0059:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0059:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0060:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0060:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0060:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0060:same_transform,PASS,"(28700.0, 2.0, 0.0, 34600.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0060:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0060:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0065:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0065:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0065:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0065:same_transform,PASS,"(29200.0, 2.0, 0.0, 34600.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0065:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0065:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0066:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0066:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0066:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0066:same_transform,PASS,"(29300.0, 2.0, 0.0, 34600.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0066:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0066:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0081:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0081:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0081:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0081:same_transform,PASS,"(30800.0, 2.0, 0.0, 34600.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0081:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0081:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0082:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0082:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0082:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0082:same_transform,PASS,"(30900.0, 2.0, 0.0, 34600.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0082:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0082:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0088:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0088:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0088:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0088:same_transform,PASS,"(28600.0, 2.0, 0.0, 34700.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0088:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0088:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0089:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0089:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0089:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0089:same_transform,PASS,"(28700.0, 2.0, 0.0, 34700.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0089:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0089:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0097:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0097:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0097:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0097:same_transform,PASS,"(29500.0, 2.0, 0.0, 34700.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0097:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0097:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0098:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0098:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0098:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0098:same_transform,PASS,"(29600.0, 2.0, 0.0, 34700.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0098:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0098:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0108:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0108:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0108:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0108:same_transform,PASS,"(30600.0, 2.0, 0.0, 34700.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0108:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0108:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0114:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0114:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0114:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0114:same_transform,PASS,"(31200.0, 2.0, 0.0, 34700.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0114:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0114:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0115:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0115:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0115:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0115:same_transform,PASS,"(31300.0, 2.0, 0.0, 34700.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0115:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0115:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0126:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0126:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0126:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0126:same_transform,PASS,"(29500.0, 2.0, 0.0, 34800.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0126:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0126:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0133:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0133:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0133:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0133:same_transform,PASS,"(30200.0, 2.0, 0.0, 34800.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0133:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0133:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0135:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0135:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0135:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0135:same_transform,PASS,"(30400.0, 2.0, 0.0, 34800.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0135:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0135:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0141:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0141:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0141:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0141:same_transform,PASS,"(31000.0, 2.0, 0.0, 34800.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0141:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0141:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0154:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0154:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0154:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0154:same_transform,PASS,"(29400.0, 2.0, 0.0, 34900.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0154:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0154:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0160:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0160:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0160:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0160:same_transform,PASS,"(30000.0, 2.0, 0.0, 34900.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0160:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0160:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0162:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0162:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0162:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0162:same_transform,PASS,"(30200.0, 2.0, 0.0, 34900.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0162:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0162:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0166:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0166:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0166:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0166:same_transform,PASS,"(30600.0, 2.0, 0.0, 34900.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0166:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0166:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0170:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0170:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0170:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0170:same_transform,PASS,"(31000.0, 2.0, 0.0, 34900.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0170:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0170:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0183:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0183:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0183:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0183:same_transform,PASS,"(29400.0, 2.0, 0.0, 35000.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0183:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0183:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0192:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0192:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0192:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0192:same_transform,PASS,"(30300.0, 2.0, 0.0, 35000.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0192:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0192:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0207:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0207:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0207:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0207:same_transform,PASS,"(28900.0, 2.0, 0.0, 35100.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0207:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0207:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0208:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0208:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0208:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0208:same_transform,PASS,"(29000.0, 2.0, 0.0, 35100.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0208:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0208:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0215:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0215:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0215:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0215:same_transform,PASS,"(29700.0, 2.0, 0.0, 35100.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0215:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0215:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0218:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0218:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0218:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0218:same_transform,PASS,"(30000.0, 2.0, 0.0, 35100.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0218:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0218:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0226:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0226:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0226:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0226:same_transform,PASS,"(30800.0, 2.0, 0.0, 35100.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0226:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0226:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0233:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0233:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0233:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0233:same_transform,PASS,"(28600.0, 2.0, 0.0, 35200.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0233:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0233:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0237:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0237:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0237:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0237:same_transform,PASS,"(29000.0, 2.0, 0.0, 35200.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0237:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0237:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0248:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0248:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0248:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0248:same_transform,PASS,"(30100.0, 2.0, 0.0, 35200.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0248:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0248:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0254:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0254:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0254:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0254:same_transform,PASS,"(30700.0, 2.0, 0.0, 35200.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0254:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0254:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0257:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0257:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0257:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0257:same_transform,PASS,"(31000.0, 2.0, 0.0, 35200.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0257:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0257:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0263:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0263:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0263:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0263:same_transform,PASS,"(28700.0, 2.0, 0.0, 35300.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0263:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0263:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0276:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0276:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0276:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0276:same_transform,PASS,"(30000.0, 2.0, 0.0, 35300.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0276:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0276:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0285:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0285:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0285:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0285:same_transform,PASS,"(30900.0, 2.0, 0.0, 35300.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0285:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0285:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0286:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0286:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0286:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0286:same_transform,PASS,"(31000.0, 2.0, 0.0, 35300.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0286:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0286:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0293:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0293:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0293:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0293:same_transform,PASS,"(28800.0, 2.0, 0.0, 35400.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0293:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0293:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0301:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0301:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0301:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0301:same_transform,PASS,"(29600.0, 2.0, 0.0, 35400.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0301:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0301:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0313:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0313:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0313:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0313:same_transform,PASS,"(30800.0, 2.0, 0.0, 35400.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0313:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0313:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0318:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0318:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0318:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0318:same_transform,PASS,"(31300.0, 2.0, 0.0, 35400.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0318:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0318:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0319:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0319:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0319:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0319:same_transform,PASS,"(31400.0, 2.0, 0.0, 35400.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0319:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0319:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0326:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0326:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0326:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0326:same_transform,PASS,"(29200.0, 2.0, 0.0, 35500.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0326:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0326:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0337:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0337:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
