cell_id,hour_sgt,fd01_forcing_day_id,fd02_forcing_day_id,contrast_direction,delta_tmrt_p90_fd01_c,delta_tmrt_p90_fd02_c,fd02_minus_fd01_delta_tmrt_p90_c,sign_stable,rank_fd01,rank_fd02,rank_drift,notes
TP_0552,10,FD01_high_shortwave_hot_20260507,FD02_humid_hot_cloudy_or_diffuse_20260508,FD02_minus_FD01,-0.925635,-0.224430,0.701205,yes,6,15,9,FD02 - FD01 for delta_tmrt_p90_c; SOLWEIG Tmrt label only.
TP_0554,10,FD01_high_shortwave_hot_20260507,FD02_humid_hot_cloudy_or_diffuse_20260508,FD02_minus_FD01,-0.003205,-0.007676,-0.004471,yes,97,74,23,FD02 - FD01 for delta_tmrt_p90_c; SOLWEIG Tmrt label only.
TP_0555,10,FD01_high_shortwave_hot_20260507,FD02_humid_hot_cloudy_or_diffuse_20260508,FD02_minus_FD01,0.000000,0.000000,0.000000,yes,101,94,7,FD02 - FD01 for delta_tmrt_p90_c; SOLWEIG Tmrt label only.
TP_0560,10,FD01_high_shortwave_hot_20260507,FD02_humid_hot_cloudy_or_diffuse_20260508,FD02_minus_FD01,-0.021847,-0.013468,0.008379,yes,77,65,12,FD02 - FD01 for delta_tmrt_p90_c; SOLWEIG Tmrt label only.
TP_0565,10,FD01_high_shortwave_hot_20260507,FD02_humid_hot_cloudy_or_diffuse_20260508,FD02_minus_FD01,-0.015594,-0.007315,0.008279,yes,86,75,11,FD02 - FD01 for delta_tmrt_p90_c; SOLWEIG Tmrt label only.
TP_0569,10,FD01_high_shortwave_hot_20260507,FD02_humid_hot_cloudy_or_diffuse_20260508,FD02_minus_FD01,-0.158485,-0.086212,0.072273,yes,46,36,10,FD02 - FD01 for delta_tmrt_p90_c; SOLWEIG Tmrt label only.
TP_0575,10,FD01_high_shortwave_hot_20260507,FD02_humid_hot_cloudy_or_diffuse_20260508,FD02_minus_FD01,-0.407164,-0.228634,0.178530,yes,22,14,8,FD02 - FD01 for delta_tmrt_p90_c; SOLWEIG Tmrt label only.
TP_0584,10,FD01_high_shortwave_hot_20260507,FD02_humid_hot_cloudy_or_diffuse_20260508,FD02_minus_FD01,-0.012362,-0.003070,0.009292,yes,87,85,2,FD02 - FD01 for delta_tmrt_p90_c; SOLWEIG Tmrt label only.
TP_0587,10,FD01_high_shortwave_hot_20260507,FD02_humid_hot_cloudy_or_diffuse_20260508,FD02_minus_FD01,-0.122356,-0.027248,0.095108,yes,52,51,1,FD02 - FD01 for delta_tmrt_p90_c; SOLWEIG Tmrt label only.
TP_0592,10,FD01_high_shortwave_hot_20260507,FD02_humid_hot_cloudy_or_diffuse_20260508,FD02_minus_FD01,0.000000,0.000000,0.000000,yes,101,94,7,FD02 - FD01 for delta_tmrt_p90_c; SOLWEIG Tmrt label only.
