cell_id,hazard_score_proxy_v07,rank_proxy_v07_hazard_score,hazard_score_umep_veg_v08,rank_umep_veg_v08_hazard_score,rank_change_proxy_minus_umep
TP_0360,0.4792051786590413,358.0,0.3435713651618772,556.0,-198.0
TP_0950,0.616483926778673,136.0,0.3323586246564809,573.0,-437.0
TP_0418,0.5195872329172101,283.0,0.5601888775658402,232.0,51.0
TP_0110,0.5283100594904819,270.0,0.1014408543762604,909.0,-639.0
TP_0477,0.5024543019821551,321.0,0.414856118258238,450.0,-129.0
TP_0737,0.5789877918319951,192.0,0.6346633989778879,129.0,63.0
TP_0754,0.5052584454581868,313.0,0.6011382194845541,176.0,137.0
TP_0122,0.5848465560403816,181.0,0.2374762239880476,717.0,-536.0
TP_0949,0.6041036576819928,155.0,0.2055026295394575,760.0,-605.0
TP_0956,0.4928630247602092,340.0,0.6548757237390639,99.0,241.0
TP_0689,0.6086816127063182,147.0,0.5382807991689302,259.0,-112.0
TP_0272,0.4812556097666496,352.0,0.3899818397732885,494.0,-142.0
TP_0854,0.521877380826756,278.0,0.3907866779487504,493.0,-215.0
TP_0690,0.6409451659858282,95.0,0.485976383842043,352.0,-257.0
TP_0470,0.4886168495426234,345.0,0.3274200215391113,578.0,-233.0
TP_0292,0.520932473500133,279.0,0.2817089640952499,652.0,-373.0
TP_0344,0.5691274016722967,206.0,0.6604017180542141,95.0,111.0
TP_0294,0.6129551766081303,141.0,0.576801017100146,208.0,-67.0
TP_0075,0.5130587143451807,295.0,0.5106254962311106,300.0,-5.0
TP_0792,0.478686015414628,361.0,0.2611239633174184,686.0,-325.0
TP_0697,0.6165085236432868,135.0,0.5838036547854666,200.0,-65.0
TP_0636,0.5091394266560147,300.0,0.6000142632925849,178.0,122.0
TP_0695,0.5202965301047954,282.0,0.5079322211518817,304.0,-22.0
TP_0291,0.6085219062987051,148.0,0.4379136467846243,412.0,-264.0
TP_0872,0.5949032822635354,165.0,0.4244124298485582,433.0,-268.0
TP_0247,0.5728657206499728,201.0,0.6138692337172372,160.0,41.0
TP_0403,0.4666088102505598,380.0,0.323922531846721,588.0,-208.0
TP_0822,0.6093919607224939,146.0,0.6242940886396706,144.0,2.0
TP_0284,0.6081579226879766,149.0,0.4944366655691771,333.0,-184.0
TP_0474,0.4586494361075473,394.0,0.4067875128274014,460.0,-66.0
TP_0821,0.4964567381975753,334.0,0.4285975965499601,426.0,-92.0
TP_0087,0.4971491581243629,332.0,0.6189004170074257,152.0,180.0
TP_0071,0.4588937343952015,393.0,0.3097838314153797,608.0,-215.0
TP_0752,0.4791258104411588,359.0,0.6648442323089604,86.0,273.0
TP_0552,0.499480740631681,328.0,0.3185003972313788,597.0,-269.0
TP_0073,0.4977209031118215,331.0,0.2865427103552778,642.0,-311.0
TP_0287,0.5901824896132468,172.0,0.5420201247698337,257.0,-85.0
TP_0355,0.4620758522278331,388.0,0.387332754830591,496.0,-108.0
TP_0838,0.5861169960662894,178.0,0.4228795418307761,436.0,-258.0
TP_0861,0.5860051775547824,179.0,0.5152765840360742,295.0,-116.0
TP_0691,0.5024457497189609,322.0,0.4461109612402066,400.0,-78.0
TP_0654,0.4584784290053547,395.0,0.5606688882014326,230.0,165.0
TP_0980,0.4717528290193681,368.0,0.4837045187384813,355.0,13.0
TP_0132,0.6283035893249314,115.0,0.2034456492608959,766.0,-651.0
TP_0787,0.59142396306853,170.0,0.6987412945333553,36.0,134.0
TP_0707,0.4941929670138192,338.0,0.5663920457139495,223.0,115.0
TP_0718,0.5939200756693881,166.0,0.4062686048606657,462.0,-296.0
TP_0890,0.563865576110223,212.0,0.3493759753163395,545.0,-333.0
TP_0274,0.589631777190826,174.0,0.6456638909892802,118.0,56.0
TP_0954,0.5064365118164427,307.0,0.6862766989958594,49.0,258.0
TP_0126,0.5722081048857313,203.0,0.1825357424219016,801.0,-598.0
TP_0111,0.524161568181017,274.0,0.1032408175818306,905.0,-631.0
TP_0356,0.6180867639834096,131.0,0.458964977522131,385.0,-254.0
TP_0666,0.4899081703528646,342.0,0.4682676529012273,371.0,-29.0
TP_0842,0.591762689659616,169.0,0.5263168691538458,281.0,-112.0
TP_0681,0.4662173348924343,381.0,0.4841349182201673,353.0,28.0
TP_0475,0.4511057037340262,409.0,0.3475968887830888,548.0,-139.0
TP_0386,0.5086668730559958,302.0,0.3815691009794139,503.0,-201.0
TP_0656,0.4415685562332296,420.0,0.5560619675039176,237.0,183.0
TP_0069,0.4562548159609588,403.0,0.3363445299464772,568.0,-165.0
TP_0134,0.5577333528130702,227.0,0.1887752201099111,788.0,-561.0
TP_0727,0.543169744436682,251.0,0.697932168222808,37.0,214.0
TP_0929,0.4862320316647063,349.0,0.2334987115800647,723.0,-374.0
TP_0634,0.4861152004783757,350.0,0.2858407055729065,644.0,-294.0
TP_0031,0.5868312791538975,177.0,0.6614663724794045,91.0,86.0
TP_0894,0.4688936489185964,376.0,0.5608422352108823,229.0,147.0
TP_0077,0.4639131697834979,384.0,0.5832717895784276,202.0,182.0
TP_0701,0.4264267503844133,450.0,0.3213395596174575,593.0,-143.0
TP_0217,0.5360982606194364,257.0,0.3257347303961075,583.0,-326.0
TP_0960,0.5812261693164531,188.0,0.6607563468507834,94.0,94.0
TP_0108,0.475810881004914,363.0,0.4571744082011169,387.0,-24.0
TP_0354,0.4421223333524798,418.0,0.2792253055893128,658.0,-240.0
TP_0365,0.4578921128106238,399.0,0.3561654074323055,532.0,-133.0
TP_0084,0.4251389663240899,454.0,0.2512405176783748,703.0,-249.0
TP_0881,0.5309897123030135,266.0,0.1450565070632505,849.0,-583.0
TP_0456,0.4286189912821848,442.0,0.2574545977151849,694.0,-252.0
TP_0495,0.462273141554897,387.0,0.3269624837035701,579.0,-192.0
TP_0115,0.6266460890641541,117.0,0.5319915426716565,272.0,-155.0
TP_0198,0.5536031601267931,234.0,0.1730707750900645,811.0,-577.0
TP_0798,0.4385307008127748,424.0,0.3624106476782007,522.0,-98.0
TP_0035,0.5423653728177532,252.0,0.4930233765306413,338.0,-86.0
TP_0319,0.4572247832469259,401.0,0.324705652362782,586.0,-185.0
TP_0763,0.4284664740103466,443.0,0.1299775307890084,871.0,-428.0
TP_0789,0.4433565818849044,416.0,0.3690157064545721,517.0,-101.0
TP_0320,0.5609804905118603,221.0,0.2590339274807724,690.0,-469.0
TP_0775,0.5632515852230757,214.0,0.5946379360227767,185.0,29.0
TP_0265,0.5351404619342476,260.0,0.6263783986733961,142.0,118.0
TP_0793,0.5319540072895679,264.0,0.5122164566564988,299.0,-35.0
TP_0884,0.5577279820687421,228.0,0.4007357209993225,472.0,-244.0
TP_0271,0.4237774698355274,459.0,0.25758186088702,693.0,-234.0
TP_0488,0.5662563794756713,209.0,0.638800696714347,126.0,83.0
TP_0921,0.4397186425151674,422.0,0.1180913325340469,886.0,-464.0
TP_0720,0.4643756161203227,383.0,0.6503103431456031,109.0,274.0
TP_0349,0.5586756556024441,225.0,0.6659857866721292,80.0,145.0
TP_0578,0.4307649678266186,438.0,0.3027338061164032,619.0,-181.0
TP_0009,0.4248555113784545,456.0,0.305260588500555,613.0,-157.0
TP_0440,0.478989861045613,360.0,0.1089850850365881,902.0,-542.0
TP_0694,0.4605071116820681,391.0,0.297960216269564,622.0,-231.0
TP_0224,0.4461044978392183,415.0,0.2936105031067382,633.0,-218.0
TP_0400,0.4144364601776639,478.0,0.1406134254489489,856.0,-378.0
TP_0315,0.5186686952029325,285.0,0.7092979724405435,22.0,263.0
TP_0141,0.5239699426730293,275.0,0.0990438223109094,913.0,-638.0
TP_0595,0.5388581731651766,253.0,0.2044685004967562,763.0,-510.0
TP_0875,0.4584179406520546,396.0,0.6687157471731742,78.0,318.0
TP_0749,0.4379213364323341,425.0,0.4933414268356226,337.0,88.0
TP_0795,0.5241679606032006,273.0,0.6274837541666543,140.0,133.0
TP_0558,0.5347147298466058,261.0,0.5264898859936947,279.0,-18.0
TP_0823,0.5056952496146299,310.0,0.1771768557072605,807.0,-497.0
TP_0723,0.4522022281730712,408.0,0.5433533736488037,254.0,154.0
TP_0347,0.578004522335761,195.0,0.2418094586296435,711.0,-516.0
TP_0008,0.4594835014860598,392.0,0.5285767432826209,276.0,116.0
TP_0684,0.4021634990436031,495.0,0.6147249350960323,159.0,336.0
TP_0293,0.5125150254863005,296.0,0.3923554912951782,487.0,-191.0
TP_0676,0.4161911562813317,475.0,0.2779950872449248,664.0,-189.0
TP_0853,0.5054508086266614,312.0,0.1635405771997675,821.0,-509.0
TP_0251,0.3900143417332103,519.0,0.1727819023747781,813.0,-294.0
TP_0735,0.4949608863495284,336.0,0.4983039992921426,323.0,13.0
