record_type,cell_id,hour_sgt,forcing_day_id,scenario,metric,value,status,details
rank_drift_by_cell_hour,TP_0676,16,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,1,PASS,FD01_rank=17; FD02_rank=16; sign_stable=True
rank_drift_by_cell_hour,TP_0773,16,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,0,PASS,FD01_rank=7; FD02_rank=7; sign_stable=True
rank_drift_by_cell_hour,TP_0835,16,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,1,PASS,FD01_rank=12; FD02_rank=11; sign_stable=True
rank_drift_by_cell_hour,TP_0857,16,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,0,PASS,FD01_rank=1; FD02_rank=1; sign_stable=True
rank_drift_by_cell_hour,TP_0960,16,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,0,PASS,FD01_rank=19; FD02_rank=19; sign_stable=True
rank_drift_by_cell_hour,TP_0986,16,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,0,PASS,FD01_rank=20; FD02_rank=20; sign_stable=True
sign_stability_by_hour,,16,FD01_vs_FD02,overhead_as_canopy_minus_base,sign_stability_fraction,1.000000,PASS,24/24 cells have stable delta sign.
top_k_overlap_by_hour,,16,FD01_vs_FD02,overhead_as_canopy_minus_base,top5,1.000000,PASS,overlap=5/5; FD01_top=TP_0037;TP_0141;TP_0433;TP_0542;TP_0857; FD02_top=TP_0037;TP_0141;TP_0433;TP_0542;TP_0857
top_k_overlap_by_hour,,16,FD01_vs_FD02,overhead_as_canopy_minus_base,top10pct,1.000000,PASS,overlap=3/3; FD01_top=TP_0141;TP_0433;TP_0857; FD02_top=TP_0141;TP_0433;TP_0857
top_k_overlap_by_hour,,16,FD01_vs_FD02,overhead_as_canopy_minus_base,top20pct,1.000000,PASS,overlap=5/5; FD01_top=TP_0037;TP_0141;TP_0433;TP_0542;TP_0857; FD02_top=TP_0037;TP_0141;TP_0433;TP_0542;TP_0857
