cell_id,forcing_day_id,date,hour_sgt,scenario,tmrt_mean_c,tmrt_p50_c,tmrt_p90_c,tmrt_p95_c,tmrt_max_c,valid_pixel_count,nodata_fraction,sanity_status
TP_0115,FD01_high_shortwave_hot_20260507,2026-05-07,12,base,54.177114,60.192656,62.132008,62.302227,62.393101,22500,0.000000,PASS
TP_0115,FD01_high_shortwave_hot_20260507,2026-05-07,12,overhead_as_canopy,54.177114,60.192656,62.132008,62.302227,62.393101,22500,0.000000,PASS
TP_0115,FD01_high_shortwave_hot_20260507,2026-05-07,13,base,54.050124,59.665537,62.262337,62.541413,62.624039,22500,0.000000,PASS
TP_0115,FD01_high_shortwave_hot_20260507,2026-05-07,13,overhead_as_canopy,54.050124,59.665537,62.262337,62.541413,62.624039,22500,0.000000,PASS
TP_0115,FD01_high_shortwave_hot_20260507,2026-05-07,15,base,51.706532,56.983948,60.339645,60.730570,60.865498,22500,0.000000,PASS
TP_0115,FD01_high_shortwave_hot_20260507,2026-05-07,15,overhead_as_canopy,51.706532,56.983948,60.339645,60.730570,60.865498,22500,0.000000,PASS
TP_0115,FD01_high_shortwave_hot_20260507,2026-05-07,16,base,44.416228,47.746292,51.330462,51.735316,51.879051,22500,0.000000,PASS
TP_0115,FD01_high_shortwave_hot_20260507,2026-05-07,16,overhead_as_canopy,44.416228,47.746292,51.330462,51.735316,51.879051,22500,0.000000,PASS
TP_0115,FD02_humid_hot_cloudy_or_diffuse_20260508,2026-05-08,10,base,27.519583,27.629678,28.503700,28.751684,29.757967,22500,0.000000,PASS
TP_0115,FD02_humid_hot_cloudy_or_diffuse_20260508,2026-05-08,10,overhead_as_canopy,27.519583,27.629678,28.503700,28.751684,29.757967,22500,0.000000,PASS
TP_0115,FD02_humid_hot_cloudy_or_diffuse_20260508,2026-05-08,12,base,46.366529,49.748116,52.966259,53.399211,53.526283,22500,0.000000,PASS
TP_0115,FD02_humid_hot_cloudy_or_diffuse_20260508,2026-05-08,12,overhead_as_canopy,46.366529,49.748116,52.966259,53.399211,53.526283,22500,0.000000,PASS
TP_0115,FD02_humid_hot_cloudy_or_diffuse_20260508,2026-05-08,13,base,51.223535,55.710558,59.061596,59.487953,59.614838,22500,0.000000,PASS
TP_0115,FD02_humid_hot_cloudy_or_diffuse_20260508,2026-05-08,13,overhead_as_canopy,51.223535,55.710558,59.061596,59.487953,59.614838,22500,0.000000,PASS
TP_0115,FD02_humid_hot_cloudy_or_diffuse_20260508,2026-05-08,15,base,39.294834,40.930929,43.884148,44.294227,44.435715,22500,0.000000,PASS
