station_id,metric_group,metric_name,probability_case_id,n_rows,n_ge31,estimate,ci_low,ci_high,bootstrap_iterations,stability_label,low_support_warning_flag
S148,high_tail_residual_context_adjusted,mean_context_adjusted_high_tail_residual_c,,62,5,0.304485261373606,-0.004558605613363237,0.6135291283605753,1000,unstable_low_support,True
S149,score_residual,mean_score_residual_c,,62,5,-0.3598553485089175,-0.519021546403766,-0.20145196448303823,1000,stable_negative_bias,False
S149,score_residual_context_adjusted,mean_context_adjusted_score_residual_c,,62,5,-0.3536408425385032,-0.513695560409827,-0.21216071618142662,1000,stable_negative_bias,False
S149,high_tail_residual,mean_high_tail_residual_c,,62,5,0.2819316013604471,-0.24447597037670904,0.8083391730976033,1000,unstable_low_support,True
S149,high_tail_residual_context_adjusted,mean_context_adjusted_high_tail_residual_c,,62,5,0.2617350863379754,-0.13561880501993434,0.6576624813360213,1000,unstable_low_support,True
S150,score_residual,mean_score_residual_c,,62,3,-0.39446936904189633,-0.5294194020234837,-0.25846350856360495,1000,stable_negative_bias,False
S150,score_residual_context_adjusted,mean_context_adjusted_score_residual_c,,62,3,-0.38898839450988826,-0.5042196207803777,-0.2634029151942975,1000,stable_negative_bias,False
S150,high_tail_residual,mean_high_tail_residual_c,,62,3,0.3497421793034465,-0.046891989089736796,0.7925028415764999,1000,unstable_low_support,True
S150,high_tail_residual_context_adjusted,mean_context_adjusted_high_tail_residual_c,,62,3,0.23868628002268846,0.042918834322639064,0.496319311879686,1000,unstable_low_support,True
S151,score_residual,mean_score_residual_c,,62,9,-0.18901769183765424,-0.40652372529442676,-0.0003266144624273276,1000,no_station_signal,False
S151,score_residual_context_adjusted,mean_context_adjusted_score_residual_c,,62,9,-0.21892963442112026,-0.44908773523615264,-0.040106261774059696,1000,no_station_signal,False
S151,high_tail_residual,mean_high_tail_residual_c,,62,9,0.8558188023903435,0.3989752610827042,1.3682818457603216,1000,unstable_low_support,True
S151,high_tail_residual_context_adjusted,mean_context_adjusted_high_tail_residual_c,,62,9,0.7637863986876681,0.38228908057451166,1.0984170959018782,1000,unstable_low_support,True
S153,score_residual,mean_score_residual_c,,62,7,0.021879452125299983,-0.13394524691659113,0.17865877884093914,1000,no_station_signal,False
S153,score_residual_context_adjusted,mean_context_adjusted_score_residual_c,,62,7,0.019284664389361026,-0.1267579499473014,0.16534883799682573,1000,no_station_signal,False
S153,high_tail_residual,mean_high_tail_residual_c,,62,7,0.19277516211217666,-0.2604882344615341,0.6657131162856172,1000,unstable_low_support,True
S153,high_tail_residual_context_adjusted,mean_context_adjusted_high_tail_residual_c,,62,7,0.18016348380303546,-0.16442158874380455,0.5528521639649913,1000,unstable_low_support,True
S180,score_residual,mean_score_residual_c,,62,9,-0.19382843021295373,-0.3755362709336656,-0.0009517864009084126,1000,no_station_signal,False
S180,score_residual_context_adjusted,mean_context_adjusted_score_residual_c,,62,9,-0.19228596512785479,-0.3528989526922785,-0.03412129432819804,1000,no_station_signal,False
S180,high_tail_residual,mean_high_tail_residual_c,,62,9,0.09291247587126526,-0.25139310161689504,0.4977192876211712,1000,unstable_low_support,True
S180,high_tail_residual_context_adjusted,mean_context_adjusted_high_tail_residual_c,,62,9,0.07899404072577094,-0.22062806710287408,0.40936313710308503,1000,unstable_low_support,True
S184,score_residual,mean_score_residual_c,,62,6,-0.09618958239495394,-0.28594290488204804,0.1010406595971271,1000,no_station_signal,False
S184,score_residual_context_adjusted,mean_context_adjusted_score_residual_c,,62,6,-0.11143006073726058,-0.30480196033702833,0.05813742480007333,1000,no_station_signal,False
S184,high_tail_residual,mean_high_tail_residual_c,,62,6,0.7567026568140474,-0.14114832723849466,1.5132323079063974,1000,unstable_low_support,True
S184,high_tail_residual_context_adjusted,mean_context_adjusted_high_tail_residual_c,,62,6,0.565122950332736,-0.04922325196260147,1.06316098891166,1000,unstable_low_support,True
